gene,Reg-Arrest1 rep1,Reg-Arrest1 rep2,Reg-Arrest1 rep3,Reg-Arrest2+SHX 400min,Reg-Arrest2+SHX 511min,Reg-Arrest2+SHX 621min,Dis-Arrest1 rep1,Dis-Arrest1 rep2,Dis-Arrest1 rep3,Dis-Arrest2 rep1t6,Dis-Arrest2 rep1t7,Dis-Arrest2 rep1t8
yfeY,2.09671,2.23364,2.27804,2.32807,2.61537,2.38819,3.13077,3.06263,3.06355,2.96918,2.865,2.8477
yfeZ,2.24778,2.22526,2.05771,2.42308,2.5762,2.37735,2.87906,2.9006,2.99282,2.89968,2.85304,2.78353
yffB,1.56801,1.52816,1.96175,1.83615,2.4887,2.38604,1.98372,1.94931,1.94034,2.39504,2.34363,2.21007
yfgG,2.40974,2.36208,2.27804,2.97719,2.77542,2.84883,2.18539,2.62079,2.30783,2.61267,2.74326,2.63319
yfgH,1.46221,1.43446,1.66544,1.13937,1.24552,1.0736,1.80987,1.61395,1.62762,1.54175,1.38421,1.34071
yfgI,2.49535,2.5334,2.61921,2.49086,2.43731,2.65836,1.99549,2.24149,2.05567,2.28749,2.32221,2.3487
yfgJ,1.96829,1.6706,1.73104,2.21119,2.20382,2.14488,2.51937,2.32878,2.40003,2.4883,2.46578,2.3637
yfgM,2.61994,2.67438,2.44756,2.8257,2.72122,2.64906,2.95802,2.86376,2.96174,2.72846,2.74326,2.72777
yfgO,3.00541,2.99121,2.82784,2.24405,2.62525,2.39667,2.53809,2.4953,2.60956,2.40693,2.2588,2.19824
yfhH,2.44228,2.42521,2.13626,2.23027,2.82898,2.65605,2.92719,2.90831,2.9127,2.94021,2.78064,2.71337
yfhL,1.92922,1.6706,1.20669,1.66033,1.73527,1.75158,2.08919,1.96176,2.05567,2.24011,1.99064,1.94085
yfhM,3.70712,3.70411,3.66109,3.49241,3.12701,3.3686,3.26071,3.34711,3.30944,3.38279,3.5422,3.59709
yfhR,1.23026,0,1.49402,0.572803,0.527821,0.846708,1.39498,1.14422,1.31981,0.86104,0.952395,1.12055
yfhb,2.79289,2.79682,2.71116,3.12462,3.00942,2.90832,2.82407,2.87739,2.84731,2.81606,2.88196,2.84984
yfiB,1.56801,1.03432,0.931839,1.7807,1.06713,1.15403,1.74256,1.64046,1.61032,1.66355,1.68221,1.59484
yfiE,2.45465,2.34955,2.51261,2.27671,2.25539,2.22975,2.41357,2.48068,2.53024,2.40586,2.28349,2.1659
yfiF,2.76098,2.7281,2.52256,2.9011,3.23501,3.10342,3.06225,2.94105,2.99428,2.82875,2.84282,2.79884
yfiL,2.23785,2.21671,2.4357,2.73293,2.66488,2.7312,2.06015,2.48805,2.20432,2.61465,2.81417,2.78911
yfiM,1.65302,1.03432,1.58813,1.95659,1.30042,1.57003,1.34601,1.48797,1.51166,1.42607,1.39594,1.67379
yfiR,2.00413,2.22526,1.9244,2.26823,2.1187,2.26242,2.06015,2.22171,2.09208,2.29168,2.29678,2.2193
yfjD,2.11039,2.02437,2.27804,2.17298,1.91185,1.74221,2.52455,2.36902,2.50847,2.3513,2.29533,2.21701
yfjF,1.78514,1.95134,1.73104,1.62419,1.87225,1.73263,1.80087,1.64046,1.61032,1.53386,1.47026,1.41946
yfjI,1.39775,1.37874,1.37369,1.65157,1.24552,1.49318,1.53272,1.42939,1.38378,1.82849,1.78801,1.68954
yfjJ,1.32203,1.03432,1.58813,1.30483,1.14747,1.49318,1.19209,1.40796,1.53326,1.86338,1.77851,1.74057
yfjP,2.33626,2.2808,2.24203,2.32807,2.55377,2.53564,2.4046,2.5587,2.54485,2.53832,2.56652,2.57584
yfjQ,1.23026,0.630847,0,1.19341,1.24552,1.15403,1.80087,1.57087,1.87832,1.65761,1.63812,1.54387
yfjR,0,0,0,0.66769,0.527821,0.664228,1.31928,1.21818,1.38378,1.20488,1.01236,0.901517
ygaC,2.1957,2.22526,2.26041,2.52294,2.80866,2.87821,2.34653,2.63664,2.43045,2.73551,2.77487,2.71702
ygaH,0.954067,1.31481,0,0.964647,0,0.846708,1.2908,1.00247,1.24477,1.20488,1.21112,1.12055
ygaM,3.8698,3.80808,3.86909,4.08508,3.82263,4.0122,3.0387,3.68636,3.28176,3.58674,3.82708,3.68342
ygaP,2.06799,2.06294,2.24203,2.20874,2.11079,2.21724,2.02361,2.13626,1.932,2.27612,2.2524,2.28685
ygaV,1.39775,1.84358,1.73104,1.57433,1.68511,1.75158,1.45942,1.28136,1.38378,1.73918,1.5964,1.60436
ygaZ,1.78514,1.56838,0.931839,1.81844,1.54884,1.57003,2.11641,1.60006,1.87832,1.75381,1.81968,1.81612
ygbA,1.86313,1.86351,2.05771,2.02907,1.93638,2.14861,2.25461,2.47129,2.3825,2.57092,2.71365,2.70673
ygbE,1.69,1.56838,1.58813,1.90549,1.78022,1.70254,2.303,2.12377,2.18595,2.10118,1.96016,1.81031
ygbI,2.61153,2.70628,2.75937,2.66477,2.74871,2.68726,2.34911,2.46939,2.36422,2.5005,2.5618,2.48817
ygbJ,2.4607,2.21671,2.15957,2.28911,2.50187,2.47169,2.18539,2.41025,2.06815,2.46096,2.58188,2.67433
ygbK,2.31995,2.19909,2.34218,2.17827,2.19074,2.25955,2.51762,2.18661,2.11477,2.28889,2.45883,2.63231
ygbL,1.81272,1.52816,1.37369,1.76736,1.60346,1.57003,2.02361,1.68907,1.154,1.72915,1.94733,2.0163
ygbM,1.65302,1.77767,1.37369,1.96954,1.67435,1.73263,1.95916,1.72226,1.70509,1.92894,2.10174,2.3097
ygbN,2.17299,2.20799,2.32701,2.07812,1.93038,1.98863,2.11199,2.19025,2.04929,2.13435,2.16525,2.25439
ygcE,1.75568,2.03761,0.931839,1.63351,1.56315,1.58389,1.66287,1.67742,1.55385,1.52583,1.55024,1.48611
ygcG,0.954067,0.877846,0.931839,1.07765,0.968492,1.39974,1.19209,1.38542,1.0391,1.30987,1.37215,1.43363
ygcN,1.51832,1.14911,1.78803,1.52985,1.50283,1.47603,1.83581,1.61395,1.71906,1.4833,1.5165,1.55455
ygcP,0.954067,0,0,0.964647,0.909259,1.02701,1.22754,1.14422,1.24477,1.32299,1.32024,1.28554
ygcQ,1.11376,1.14911,0,1.1096,1.02061,1.11568,1.80987,1.6274,1.31981,1.50932,1.38421,1.34071
ygcR,0.954067,0.877846,0,1.19341,1.02061,0.664228,1.74256,1.36165,1.48892,1.54175,1.21112,1.26547
ygcS,1.32203,0.877846,1.20669,1.43903,1.37161,0.974806,1.90544,1.70042,1.67574,1.72915,1.67618,1.59484
ygcU,1.61259,1.43446,1.99615,1.58477,1.21523,1.3322,1.80987,1.48797,1.79455,1.69759,1.73832,1.67379
ygdB,1.46221,1.23981,1.58813,1.42436,1.45136,1.18928,1.67519,1.46931,1.67574,1.33573,1.01236,1.28554
ygdD,2.35199,2.25786,2.1817,2.29114,2.43731,2.24787,2.45782,2.34431,2.30427,2.13235,2.14716,2.08988
ygdI,2.77286,2.81243,2.787,2.85435,3.29117,3.35656,3.04289,3.13464,2.92313,2.94425,3.04364,2.92883
ygdQ,2.53256,2.45113,2.51261,2.00623,2.50349,2.15962,2.39079,2.47507,2.4832,2.27756,2.19013,2.16331
ygdR,2.84304,2.88857,2.91972,3.22087,3.17258,3.103,2.55121,3.11049,2.67661,2.86584,2.94845,2.84555
ygeA,1.72408,1.77767,1.66544,1.91524,1.93038,1.87922,2.01813,2.0245,1.932,2.19393,2.00512,1.88047
ygeV,3.55478,3.56521,3.54163,3.74921,3.67397,3.82729,2.36179,2.47507,2.36422,2.88433,3.0968,3.16736
ygeW,1.56801,1.37874,1.83839,1.71713,1.21523,1.64726,1.06413,0.79067,0.967783,1.15075,1.22849,1.19903
ygeY,1.56801,1.31481,1.49402,1.69369,1.30042,1.43956,1.45942,1.28136,1.154,1.45563,1.65118,1.48611
ygfB,2.85774,2.89223,2.81297,2.53002,2.76405,2.69997,2.38609,2.47882,2.33859,2.44661,2.3565,2.35208
ygfF,1.75568,1.60519,0,1.90549,1.99225,1.84321,2.23498,2.20099,2.2347,2.17979,2.04586,2.08369
ygfI,1.75568,1.77767,1.49402,1.68559,1.60346,1.61036,1.95916,1.90269,1.97217,2.06056,1.95379,2.00894
ygfK,2.09671,1.86351,2.13626,2.06123,1.65198,1.94337,1.73204,1.6274,1.5735,1.82444,2.03537,1.97019
ygfM,1.23026,1.31481,1.20669,1.16723,0.759137,1.0736,1.47894,1.10191,0.882412,1.08888,1.21112,1.43363
ygfS,1.72408,1.63912,1.9244,1.57433,1.8582,1.72283,1.87586,1.8343,1.70509,1.633,1.5964,1.66569
ygfT,1.83865,1.98204,2.02802,1.91524,2.06006,2.0147,2.22138,1.93649,2.07426,2.01312,2.07349,1.99
ygfX,1.98658,2.18073,1.78803,2.10696,2.07331,1.90603,2.30012,2.15239,2.25517,2.04857,2.05864,1.98218
ygfZ,3.05709,3.02739,2.98546,3.21073,3.63958,3.45614,2.95929,3.06554,2.98095,3.0948,3.09518,3.12862
yggC,2.09671,2.06294,2.13626,2.48441,2.26668,2.21724,2.4998,2.65692,2.61308,2.55454,2.61737,2.56875
yggE,3.63498,3.59402,3.60055,3.59472,3.9169,3.79822,3.38115,3.51101,3.48828,3.56174,3.62058,3.62838
yggI,1.11376,0.630847,0,1.43903,1.30042,1.0736,1.76288,1.79107,1.74571,1.57192,1.63144,1.70474
