group,names,scores,logfoldchanges,pvals,pvals_adj
2,POLR2M,0.36371222,-0.048269037,0.7160729221628725,0.9999437191164053
2,INAFM2,0.36370656,0.89483994,0.7160771448235296,0.9999437191164053
2,FAM132A,0.36369526,0.6510538,0.7160855901708946,0.9999437191164053
2,FLJ26245,0.36317393,1.8815994,0.7164749583784886,0.9999437191164053
2,RP11-626G11.4,0.36311173,0.74224156,0.7165214172105712,0.9999437191164053
2,RYR3,0.3627035,0.9392454,0.716826382127955,0.9999437191164053
2,LINC00937,0.36252484,0.31251273,0.7169598712882024,0.9999437191164053
2,LCLAT1,0.36249316,0.0012247256,0.7169835284971389,0.9999437191164053
2,CCDC22,0.362146,-0.07937306,0.7172429307005659,0.9999437191164053
2,HIST1H2BN,0.3615625,-0.084575795,0.7176790026580904,0.9999437191164053
2,RP11-626G11.5,0.36154667,1.2634594,0.7176908353504472,0.9999437191164053
2,EFHD1,0.36153194,-0.13607758,0.7177018229111387,0.9999437191164053
2,SPRY4,0.36145958,2.6045227,0.7177559163690076,0.9999437191164053
2,GSG1,0.36136007,0.880768,0.7178302971841433,0.9999437191164053
2,CSRP2BP,0.36125603,-0.07541602,0.7179080618053575,0.9999437191164053
2,FAM71D,0.3610966,0.7721331,0.7180272502121535,0.9999437191164053
2,NUDT13,0.3609315,0.5016306,0.718150672390139,0.9999437191164053
2,DNMBP,0.36069512,-0.0034650404,0.7183273648829642,0.9999437191164053
2,TNFRSF13C,0.360573,3.4295404,0.7184186759982751,0.9999437191164053
2,EHF,0.36045086,-0.09232876,0.7185099911347474,0.9999437191164053
2,STK24-AS1,0.35980064,1.580804,0.718996227332626,0.9999437191164053
2,ATP2A2,0.3596276,-0.084641956,0.7191256276140529,0.9999437191164053
2,DNAJC12,0.35934603,0.48725948,0.7193362374424173,0.9999437191164053
2,SSBP4,0.35919112,-0.019907301,0.7194521242286012,0.9999437191164053
2,HIF1A-AS1,0.35913682,1.9125239,0.7194927284239184,0.9999437191164053
2,TFIP11,0.3589785,-0.09162573,0.7196111618477191,0.9999437191164053
2,FAM57B,0.35896042,1.8209932,0.7196246975247931,0.9999437191164053
2,RP11-91G21.1,0.3588643,0.23985258,0.71969660728323,0.9999437191164053
2,RP11-615I2.2,0.35861892,0.4321729,0.7198801999149718,0.9999437191164053
2,RP6-109B7.4,0.35844475,1.3588703,0.7200105012626237,0.9999437191164053
2,STK35,0.35817224,-0.005436743,0.7202144307341298,0.9999437191164053
2,OSGEPL1,0.35803312,0.31884295,0.720318518594463,0.9999437191164053
