arm,n_cells,repeat,mean_depth,mean_detected,gmp_cor,gmp_cor_per_gene,lambda_max,lambda_max_scrambled,n_modes_above_threshold,p_kept,fraction_non_zero
experimental (sample_2b),900,3,146.52444444444444,100.27111111111111,34.07565033361137,0.016477587201939734,20.042160459191198,6.479564841199142,26.0,2068,0.04848699763593381
experimental (sample_2b),900,4,145.78666666666666,100.02555555555556,27.55444942375825,0.013317761925451064,20.218804151402963,6.717247095163964,19.0,2069,0.048344879437194566
experimental (sample_2b),1000,0,144.773,99.66,32.27498943468042,0.015591782335594407,19.43846174553532,6.2428785892957,24.0,2070,0.04814492753623188
experimental (sample_2b),1000,1,147.195,100.939,32.988923788857484,0.01592898299799975,19.473577370292173,6.228443390508373,23.0,2071,0.04873925639787542
experimental (sample_2b),1000,2,147.07,101.034,34.618665656143044,0.016723993070600504,19.57353034705374,6.193985100184334,25.0,2070,0.04880869565217391
experimental (sample_2b),1000,3,146.241,100.296,32.16133450082922,0.015529374457184558,19.503119268609765,6.258149153781057,23.0,2071,0.04842877836793819
experimental (sample_2b),1000,4,147.839,101.426,32.82409569384515,0.015849394347583368,19.545106161930327,6.1320180908483914,26.0,2071,0.048974408498309994
"simulated (calibrated, rho=0.7)",500,0,422.598,86.784,35.5892834376271,0.017251228035689337,28.68197053624772,9.304659470698157,15.0,2063,0.04206689287445468
"simulated (calibrated, rho=0.7)",500,1,398.168,86.764,32.97179974326996,0.01599796202972827,27.064514288395358,9.3176898784599,12.0,2061,0.04218237542528045
"simulated (calibrated, rho=0.7)",500,2,413.194,88.4,38.08751601460732,0.01845325388304618,31.96808200998052,9.248983207541649,14.0,2064,0.042829457364341086
"simulated (calibrated, rho=0.7)",500,3,415.216,88.672,33.66092314033392,0.01631649206996312,28.41927777526523,9.493142742552703,12.0,2063,0.043068201356663886
"simulated (calibrated, rho=0.7)",500,4,446.408,87.426,35.07339814533204,0.017009407441965104,27.773596549673453,9.356322028162094,14.0,2062,0.04239864209505335
"simulated (calibrated, rho=0.7)",600,0,441.405,87.03,37.38390038979756,0.018077321271662262,24.83002734007164,8.231516667422786,15.0,2068,0.042154396592644736
"simulated (calibrated, rho=0.7)",600,1,417.685,87.00833333333334,34.57698962142332,0.01670385972049436,26.922792215672395,8.203725618679531,16.0,2070,0.04203301127214171
"simulated (calibrated, rho=0.7)",600,2,429.08,86.855,33.31052507822654,0.016115396748053477,24.379485154102053,8.347531471934712,15.0,2067,0.0420899854862119
"simulated (calibrated, rho=0.7)",600,3,396.85333333333335,84.20166666666667,33.751387657213975,0.016360343023370808,23.210304125186322,8.2371661399196,17.0,2063,0.040883294746374026
"simulated (calibrated, rho=0.7)",600,4,416.33,85.47,38.84807101970631,0.01880351937062261,26.395631168937637,8.223027667320771,18.0,2066,0.04143886147774526
