gene,uniprot,GO_ID,GO_name,namespace,is_motility
malE,P0AEX9,GO:0034289,detection of maltose stimulus,biological_process,False
malE,P0AEX9,GO:0008643,carbohydrate transport,biological_process,False
malE,P0AEX9,GO:0042956,maltodextrin transmembrane transport,biological_process,False
malE,P0AEX9,GO:0015768,maltose transport,biological_process,False
fliE,P0A8T5,GO:0071973,bacterial-type flagellum-dependent cell motility,biological_process,True
fliE,P0A8T5,GO:0006935,chemotaxis,biological_process,True
fliE,P0A8T5,GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,biological_process,True
mglB,P0AEE5,GO:0006935,chemotaxis,biological_process,True
mglB,P0AEE5,GO:0015757,galactose transmembrane transport,biological_process,False
mglB,P0AEE5,GO:0015765,methylgalactoside transport,biological_process,False
