"",bulk,single-cell
mgrb,0.003217,0.015
mgts,0.001608,0.076
miab,0.005719,0.049
mind,0.002911,0.088
mipa,0.001859,0.054
mlaa,0.005670,0.023
mlad,0.003164,0.025
mlc,0.000715,0.085
mlic,0.000172,0.057
mlta,0.000647,0.050
mltd,0.002295,0.035
mltf,0.000113,0.025
mltg,0.000427,0.029
mngb,0.000282,0.026
mngr,0.000521,0.094
mnma,0.000698,0.028
mnmg,0.000443,0.041
mnth,0.107487,0.094
moba,0.001441,0.029
mobb,0.001419,0.042
moca,0.006784,0.030
moda,0.001177,0.032
modb,0.000677,0.009
moea,0.002299,0.014
mokc,0.005224,0.009
mota,0.002371,0.026
motb,0.001415,0.048
mpaa,0.011491,0.198
mppa,0.002975,0.022
mqsa,0.016616,0.032
mrda,0.000349,0.070
mrdb,0.001170,0.052
msba,0.001701,0.031
mscl,0.029587,0.037
mscm,0.000356,0.071
mscs,0.008014,0.054
msrb,0.003373,0.051
msrc,0.003324,0.029
mtfa,0.004158,0.015
mtla,0.017841,0.023
mtld,0.008207,0.016
mtr,0.004894,0.030
mukb,0.001119,0.022
mukf,0.000746,0.017
murd,0.000901,0.012
muri,0.001203,0.014
murr,0.000140,0.090
mutm,0.000142,0.015
muty,0.000968,0.015
mzra,0.004604,0.013
nac,0.000293,0.159
nada,0.004985,0.029
nadc,0.000838,0.015
nadk,0.001471,0.013
nadr,0.004012,0.032
naga,0.004003,0.026
nagb,0.006506,0.046
nagc,0.002087,0.054
nage,0.013472,0.032
nana,0.011564,0.013
nanc,0.000405,0.073
nane,0.003279,0.018
nanm,0.005420,0.052
nans,0.001023,0.052
nany,0.000769,0.013
napa,0.000108,0.076
napb,0.000107,0.050
napc,0.000271,0.025
napd,0.000000,0.042
napf,0.000097,0.023
naph,0.000080,0.014
narq,0.000364,0.024
naru,0.003184,0.080
narx,0.001081,0.103
narz,0.001921,0.092
ndh,0.001902,0.022
ndk,0.002278,0.058
nepi,0.000185,0.021
nfo,0.000518,0.002
nfra,0.000968,0.106
nfsb,0.003766,0.020
nhab,0.000229,0.124
nimr,0.000461,0.059
nirb,0.000138,0.023
nlpa,0.001191,0.057
nlpd,0.049323,0.183
nlpe,0.002404,0.011
nlpi,0.015133,0.098
nrdb,0.003160,0.026
