"",bulk,single-cell
fkpa,0.112767,0.064386
fkpb,0.042074,0.008048
flda,0.055962,0.022133
fldb,0.021310,0.001006
flga,0.003086,0.003018
flgb,0.000549,0.008048
flgc,0.001998,0.001006
flgd,0.002264,0.002012
flge,0.002118,0.006036
flgf,0.002309,0.009054
flgg,0.002453,0.004024
flgh,0.002521,0.006036
flgi,0.001435,0.002012
flgj,0.002548,0.013078
flgk,0.296926,0.085513
flgl,0.279754,0.020121
flgm,0.215698,0.019115
flgn,0.234844,0.027163
flha,0.030251,0.008048
flhb,0.054672,0.004024
flhc,0.014044,0.011066
flhd,0.016729,0.003018
flhe,0.031196,0.000000
flia,0.233256,0.053320
flic,0.727058,0.124748
flid,0.043240,0.019115
flie,0.002624,0.001006
flif,0.001360,0.006036
flig,0.001484,0.006036
flih,0.002266,0.004024
flii,0.001749,0.000000
flij,0.000417,0.003018
flik,0.000751,0.000000
flil,0.008493,0.000000
flim,0.009999,0.004024
flin,0.017409,0.006036
flio,0.014387,0.001006
flip,0.004912,0.002012
fliq,0.004185,0.000000
flir,0.001649,0.009054
flis,0.019002,0.004024
flit,0.025850,0.001006
fliz,0.126846,0.026157
flk,0.009040,0.001006
flu,0.006121,0.005030
flxa,0.051835,0.036217
fmt,0.221698,0.007042
foca,0.089595,0.029175
focb,0.003252,0.000000
fola,0.040545,0.007042
folb,0.005179,0.000000
folc,0.025696,0.015091
fold,0.007790,0.007042
fole,0.041915,0.025151
folk,0.007841,0.011066
folm,0.031154,0.031187
folp,0.031555,0.004024
folx,0.133223,0.045272
frc,0.005774,0.023139
frda,0.064359,0.014085
frdb,0.054212,0.025151
frdc,0.049627,0.009054
frdd,0.113519,0.003018
fre,0.224977,0.016097
frla,0.000550,0.000000
frlb,0.004197,0.005030
frlc,0.002064,0.001006
frld,0.006202,0.000000
frlr,0.013977,0.010060
frma,0.156269,0.075453
frmr,0.147184,0.005030
frr,0.773498,0.174044
frsa,0.018906,0.012072
frua,0.215114,0.115694
frub,0.062987,0.013078
fruk,0.117270,0.012072
frva,0.001391,0.000000
frvb,0.001895,0.002012
frvr,0.001369,0.012072
frvx,0.001672,0.005030
frwb,0.001168,0.007042
frwc,0.000836,0.000000
frwd,0.004641,0.003018
fryb,0.001924,0.011066
fryc,0.001447,0.004024
fsaa,0.003957,0.000000
fsr,0.006199,0.016097
ftna,0.066820,0.034205
ftnb,0.095762,0.079477
ftp,0.022918,0.014085
