"",bulk,single-cell
gltf,0.000038,0.016
glti,0.003116,0.055
gltj,0.000177,0.025
gltk,0.000200,0.019
gltx,0.003439,0.037
glya,0.001590,0.020
glyu,0.012321,0.044
gmd,0.000044,0.033
gmk,0.006829,0.005
gmm,0.000028,0.040
gnsb,0.000138,0.010
gntp,0.001789,0.049
gor,0.004444,0.017
gpma,0.084730,0.052
gpr,0.007764,0.014
gpt,0.000702,0.019
grca,0.003223,0.012
grol,0.007100,0.020
grxa,0.000143,0.037
grxb,0.010905,0.063
gsha,0.007894,0.123
gshb,0.002849,0.008
gsib,0.000661,0.005
gspa,0.000048,0.022
gspb,0.000173,0.012
gspf,0.000027,0.003
gspk,0.000004,0.008
gspo,0.000336,0.008
gsta,0.014224,0.004
guaa,0.003289,0.024
guab,0.002296,0.049
guac,0.001495,0.010
gudp,0.000133,0.031
gudx,0.000235,0.051
gyra,0.003227,0.122
gyrb,0.005958,0.078
hcaf,0.000349,0.007
hcar,0.001261,0.070
hcat,0.000268,0.035
hcha,0.025679,0.032
hcp,0.000044,0.018
hcxa,0.000836,0.014
hdfr,0.001149,0.034
hdha,0.011761,0.103
hemb,0.002624,0.026
hemc,0.004709,0.014
hemh,0.001618,0.010
heml,0.008554,0.015
hemx,0.001617,0.047
hflx,0.009307,0.025
hfq,0.023455,0.028
hha,0.004733,0.006
hicb,0.001284,0.012
hipa,0.000422,0.087
hipb,0.000321,0.029
hisj,0.004062,0.083
hism,0.000686,0.036
hlye,0.000084,0.056
hns,0.127995,0.094
hofq,0.000060,0.014
hokd,0.065039,0.034
hole,0.001603,0.002
hprr,0.000760,0.073
hprs,0.000580,0.144
hrpa,0.001719,0.011
hsca,0.001405,0.036
hscb,0.001975,0.023
hscc,0.000163,0.091
hsdm,0.000165,0.043
hsdr,0.000239,0.056
hsds,0.000059,0.046
hslj,0.001310,0.048
hslr,0.008012,0.002
hslu,0.016662,0.009
hslv,0.013878,0.029
hspq,0.154793,0.028
htre,0.000095,0.040
htrl,0.000511,0.040
hybb,0.000336,0.007
hybo,0.000876,0.008
hyca,0.000032,0.022
hycb,0.000026,0.027
hycc,0.000059,0.037
hyce,0.000035,0.036
hycg,0.000252,0.018
hych,0.001012,0.035
hyci,0.006366,0.049
hydn,0.000148,0.013
hyfr,0.000034,0.003
hyi,0.000087,0.006
hypb,0.000340,0.009
idnd,0.000252,0.060
idnk,0.000187,0.007
idno,0.000247,0.069
idnr,0.000184,0.055
idnt,0.000228,0.046
igaa,0.000619,0.010
ihfa,0.346641,0.160
ilvb,0.004912,0.022
ilvi,0.000286,0.011
inaa,0.001373,0.049
infb,0.010210,0.056
insg,0.000164,0.056
insq,0.001515,0.008
intd,0.000520,0.071
intf,0.000324,0.069
intr,0.000404,0.063
isca,0.052661,0.035
iscr,0.024998,0.033
iscu,0.029253,0.041
iscx,0.001239,0.022
ispe,0.001178,0.035
ispf,0.000297,0.018
ispu,0.001484,0.005
ivbl,0.024416,0.025
ivy,0.000988,0.003
kate,0.003922,0.011
katg,0.004397,0.009
kbp,0.054756,0.090
kch,0.000614,0.060
kdgr,0.001847,0.037
kdpa,0.000253,0.026
kdpc,0.000420,0.009
kdpd,0.001437,0.040
kdsa,0.005369,0.007
kdui,0.000264,0.083
kefb,0.001285,0.029
