"",bulk,single-cell
ppta,0.024949,0.004
ppx,0.009279,0.006
pqia,0.056401,0.014
pqib,0.036000,0.008
pqic,0.029263,0.004
prc,0.077934,0.021
pret,0.004202,0.005
prfa,0.035372,0.023
prfb,0.069188,0.012
prkb,0.024108,0.007
prlc,0.154836,0.029
prlf,0.069364,0.013
proa,0.104194,0.023
prok,0.083996,0.026
prop,0.455420,0.124
proq,0.316270,0.009
pros,0.103653,0.018
prox,0.009761,0.001
prpr,0.010289,0.006
prs,0.125229,0.032
psie,0.042307,0.011
pspa,30.224458,1.185
pspb,17.561485,0.170
pspc,13.284472,0.295
pspe,10.379247,0.067
pspf,0.014961,0.006
pssa,0.121839,0.023
psug,0.005592,0.008
psut,0.016238,0.009
pta,0.017293,0.006
pth,0.019037,0.008
ptra,0.020627,0.006
ptsg,0.212381,0.020
ptsh,0.623223,0.027
ptsi,0.612433,0.149
pura,0.044763,0.021
purl,0.003823,0.015
purr,0.035801,0.007
puru,0.049007,0.013
putp,0.016543,0.004
puub,0.014516,0.004
puuc,0.036221,0.008
puud,0.153241,0.035
puur,0.252038,0.038
pykf,0.220533,0.052
pyrc,0.003203,0.002
pyre,0.001495,0.005
pyrg,0.257567,0.113
pyrr,0.051783,0.021
pyrs,0.017481,0.002
qmca,0.068974,0.006
qora,0.067983,0.011
qorb,0.011192,0.002
qseb,0.004764,0.001
quef,0.016280,0.009
racc,0.003666,0.004
racr,0.017889,0.006
radd,0.004310,0.005
raia,0.600587,0.031
rapa,0.044553,0.019
rara,0.066158,0.008
rard,0.023351,0.004
rava,0.023352,0.007
rayt,0.005496,0.003
rbsa,0.005277,0.012
rbsb,0.088326,0.005
rbsc,0.040445,0.005
rbsk,0.018743,0.008
rcba,0.003062,0.001
rcdb,0.013558,0.006
rcla,0.007656,0.006
rcna,0.002975,0.006
rcnb,0.038791,0.002
rcnr,0.010407,0.006
rcsa,0.005538,0.005
rcsb,0.290420,0.018
rcsc,0.026390,0.013
rcsd,0.025111,0.006
rcsf,0.055515,0.003
rdca,0.015327,0.005
reca,2.159663,0.009
recb,0.006606,0.003
recc,0.008932,0.009
recd,0.015126,0.000
rece,0.003045,0.012
recf,0.013323,0.001
recn,0.645950,0.165
rect,0.007041,0.007
rela,0.027610,0.005
relb,0.141075,0.014
rele,0.509817,0.035
rem,0.035453,0.004
rep,0.008947,0.005
rfah,0.035381,0.004
rfba,0.026829,0.013
rfbb,0.035060,0.010
rfbc,0.077245,0.054
rfe,0.044677,0.004
rffm,0.019169,0.008
rflp,0.028240,0.015
rhlb,0.067826,0.020
rho,0.465133,0.162
rhsa,0.003519,0.002
rhsb,0.003755,0.017
rhsc,0.003895,0.006
rhsd,0.009574,0.003
ribb,0.169571,0.011
ribc,0.054836,0.013
ribd,0.023848,0.006
ribf,0.050044,0.003
rimj,0.023471,0.009
riml,0.020165,0.013
rimm,0.580303,0.022
rimp,0.259006,0.023
rlha,0.012279,0.007
rlma,0.038155,0.008
rlmb,0.046916,0.002
rlmd,0.030408,0.012
rlme,0.887171,0.137
rlml,0.035618,0.005
rlmm,0.064729,0.006
rlmn,0.083606,0.013
rlud,0.082860,0.012
rlue,0.020233,0.012
rluf,0.009806,0.002
rna,0.030518,0.011
rnb,0.023699,0.010
rnc,0.105149,0.026
rne,0.075692,0.025
rng,0.028466,0.003
rnla,0.057001,0.024
rnlb,0.085405,0.021
rodz,0.268246,0.017
rof,0.201140,0.007
roxa,0.108072,0.015
rpla,1.867929,0.187
rplb,1.087307,0.008
rplc,1.544528,0.204
