"",bulk,single-cell
lacy,0.005841,0.067243
lacz,0.610821,0.055716
lafu,0.009464,0.005764
ldca,0.071871,0.033622
ldcc,0.191596,0.020173
ldha,0.216572,0.160423
ldrb,0.207750,0.052834
ldrc,0.049063,0.036503
ldta,0.223290,0.150817
ldtb,0.573325,0.080692
lepa,1.670906,0.102786
lepb,1.264574,0.057637
leta,0.142382,0.033622
letb,0.286750,0.017291
leua,0.177616,0.066282
leuc,0.295277,0.052834
leue,0.140184,0.134486
leuo,0.015740,0.024976
leus,0.999045,0.109510
lexa,2.073640,0.126801
lgod,0.005060,0.027858
lgor,0.053260,0.059558
lgot,0.036213,0.039385
lgt,0.677273,0.035543
liga,0.424341,0.126801
ligb,0.018838,0.018252
lipb,0.149225,0.034582
livh,0.428625,0.007685
livj,0.956572,0.017291
livk,0.391390,0.011527
lola,0.685342,0.048991
lolb,0.557638,0.044188
lole,0.323308,0.012488
lon,0.848591,0.035543
lplt,0.332157,0.060519
lpob,0.741275,0.012488
lpp,84.414497,0.127762
lpta,0.947812,0.015370
lptc,0.490262,0.073007
lptd,1.260551,0.146974
lpte,0.799269,0.018252
lptf,0.441136,0.026897
lptg,0.600686,0.024976
lpxa,1.756995,0.008646
lpxc,4.114311,0.040346
lpxd,2.307517,0.018252
lpxl,0.201067,0.047070
lpxm,0.276437,0.077810
lpxt,0.222517,0.010567
lrha,0.199289,0.183477
lrp,2.036802,0.097983
lspa,1.165345,0.011527
lsra,0.215310,0.010567
lsrb,0.456464,0.021134
lsrd,0.170244,0.022094
lsrf,0.534207,0.036503
lsrk,0.388140,0.158501
lsrr,0.319940,0.022094
ltae,0.429110,0.015370
luxs,1.619757,0.050913
lysa,0.032285,0.077810
lyso,0.105746,0.062440
lyxk,0.017415,0.006724
maca,0.101417,0.009606
maea,2.036285,0.134486
maeb,3.142595,0.125841
mak,0.151764,0.015370
male,5.159387,0.041306
malp,0.572376,0.023055
mals,0.026283,0.005764
malx,0.116642,0.018252
many,4.770832,0.057637
manz,4.264652,0.054755
maop,0.501857,0.003842
marb,0.047803,0.003842
mata,0.004047,0.085495
maze,0.238710,0.071085
mazg,0.145304,0.022094
mcbr,0.225671,0.042267
mcrb,0.038344,0.048991
mcrc,0.029574,0.068204
mdh,7.010830,0.012488
mdla,0.100177,0.010567
mdtb,0.065269,0.029779
mdtg,0.031626,0.042267
mdti,0.117211,0.033622
mdtk,0.347992,0.005764
mdto,0.001945,0.029779
mdtp,0.003371,0.045149
melb,0.029670,0.015370
melr,0.042956,0.030740
mena,0.127905,0.025937
menb,0.784070,0.026897
menh,0.248447,0.028818
meni,0.392594,0.091258
mepm,0.799890,0.178674
mete,0.491036,0.019212
metf,0.070915,0.006724
meti,0.256890,0.041306
metk,0.753832,0.022094
metq,0.860272,0.047070
mfd,0.228349,0.100865
mgla,0.852875,0.192123
mglb,8.904380,0.092219
mglc,0.922450,0.060519
mgta,0.766871,0.029779
mgts,0.141770,0.039385
miab,0.431423,0.056676
mind,1.217147,0.120077
mlaa,0.408191,0.026897
mlae,0.772782,0.001921
mlc,0.257639,0.118156
mlic,0.079947,0.055716
mlta,0.251633,0.043228
mltb,0.276127,0.019212
mltf,0.034411,0.024976
mltg,0.119539,0.019212
mmup,0.031928,0.013449
mngb,0.022034,0.017291
mngr,0.028336,0.083573
mnma,0.773174,0.037464
mnme,0.252808,0.004803
mnth,0.606431,0.089337
mntp,0.007981,0.012488
moba,0.074285,0.019212
mobb,0.062368,0.039385
moca,0.109469,0.048031
mode,0.109951,0.024015
modf,0.158112,0.027858
mokc,0.301788,0.009606
mota,1.133579,0.038425
motb,1.112970,0.059558
mpaa,0.405815,0.163305
mpl,0.499056,0.007685
mppa,0.511743,0.033622
mqo,0.152789,0.018252
mqsa,0.198876,0.019212
mrcb,0.283653,0.016330
mrda,0.296043,0.074928
mrdb,0.286894,0.068204
mred,0.719302,0.009606
msba,0.396541,0.026897
mscl,0.535848,0.033622
mscm,0.150039,0.041306
mscs,0.512128,0.015370
msrb,1.075445,0.073007
msrc,1.316985,0.050913
msyb,0.132385,0.018252
mtla,1.233960,0.051873
mukb,0.649178,0.013449
mukf,0.388750,0.021134
murb,0.191927,0.013449
murr,0.027720,0.103746
mutt,0.121449,0.010567
mzra,0.415242,0.002882
nac,0.026156,0.202690
nada,0.466272,0.023055
