"",bulk,single-cell
dfp,0.252374,0.005988
dgcc,0.018862,0.009980
dgce,0.327118,0.035928
dgci,0.008399,0.024950
dgcj,0.055537,0.025948
dgcm,0.419337,0.072854
dgcn,0.074728,0.007984
dgcp,0.364384,0.023952
dgcq,0.216646,0.130739
dgct,0.012095,0.029940
dgcz,0.088701,0.147705
dgka,0.282016,0.000000
dgoa,0.015579,0.001996
dgod,0.023575,0.057884
dgok,0.026204,0.019960
dgot,0.014394,0.005988
dgt,0.096537,0.021956
dhak,0.221737,0.048902
dhal,0.284239,0.026946
dham,0.138778,0.126747
dhar,0.064193,0.025948
diaa,0.565422,0.007984
dica,0.119259,0.001996
dicb,0.000000,0.000998
dicc,0.003284,0.048902
digh,0.085922,0.100798
dinb,0.125115,0.000998
dind,0.078888,0.019960
dinf,0.283048,0.007984
ding,0.155506,0.022954
dini,0.554001,0.025948
dinj,0.230986,0.023952
djla,0.162670,0.000000
djlb,0.003216,0.030938
djlc,0.018773,0.033932
dkga,0.282855,0.076846
dkgb,0.030198,0.041916
dksa,2.349081,0.005988
dld,1.081291,0.017964
dmla,0.038276,0.000998
dmlr,0.143924,0.082834
dmsa,0.011153,0.019960
dmsb,0.014261,0.019960
dmsd,0.173970,0.021956
dnaa,0.811436,0.048902
dnab,0.408900,0.007984
dnac,0.198365,0.059880
dnae,0.509439,0.042914
dnag,0.976716,0.021956
dnaj,0.395501,0.013972
dnak,0.693755,0.094810
dnan,0.727843,0.012974
dnaq,0.203389,0.011976
dnat,0.231236,0.023952
dnax,0.437036,0.006986
dolp,0.690176,0.003992
dosc,0.398950,0.267465
dosp,0.355279,0.197605
dpaa,1.089349,0.075848
dpia,0.025650,0.013972
dpib,0.036532,0.021956
dppa,5.629284,0.036926
dppb,1.215592,0.000998
dppc,1.110906,0.006986
dppd,1.356813,0.014970
dppf,1.223743,0.002994
dps,2.839685,0.064870
drpb,0.043102,0.082834
dsba,0.906315,0.009980
dsbb,0.309355,0.029940
dsbc,0.396890,0.029940
dsbd,0.147626,0.033932
dsbg,0.158238,0.129741
dsda,0.327207,0.023952
dsdx,0.120428,0.150699
dsrb,0.084024,0.001996
dtd,0.446885,0.002994
dtpa,2.386716,0.023952
dtpb,0.071387,0.011976
dtpc,0.007956,0.054890
dtpd,0.023319,0.119760
dusa,0.263975,0.035928
dusb,1.480847,0.000998
dusc,0.076727,0.048902
dxr,0.356663,0.004990
dxs,0.605619,0.008982
eama,0.296030,0.151697
eamb,0.037259,0.004990
ebga,0.037048,0.010978
