"",bulk,single-cell
dmsc,0.013018,0.000
dmsd,0.010383,0.032
dnaa,0.066494,0.190
dnab,0.030159,0.010
dnac,0.023124,0.060
dnae,0.032219,0.091
dnag,0.054298,0.131
dnaj,0.237729,0.226
dnak,0.657612,1.047
dnan,0.064947,0.060
dnaq,0.075321,0.062
dnat,0.024710,0.017
dnax,0.011053,0.033
dolp,0.048763,0.030
dosc,0.086111,0.215
dosp,0.008885,0.045
dpaa,0.063095,0.066
dpia,0.007752,0.028
dpib,0.007971,0.030
dppa,0.040177,0.079
dppb,0.008001,0.000
dppc,0.008515,0.007
dppd,0.005536,0.010
dppf,0.005843,0.005
dps,0.538159,0.209
drpb,0.348751,0.126
dsba,0.079387,0.040
dsbb,0.031404,0.044
dsbc,0.034915,0.114
dsbd,0.005580,0.023
dsbg,0.022815,0.088
dsda,0.008276,0.053
dsdx,0.010666,0.064
dsrb,0.049044,0.001
dtd,0.028966,0.011
dtpa,0.037246,0.090
dtpb,0.042005,0.064
dtpc,0.002883,0.025
dtpd,0.012867,0.055
dusa,0.027594,0.070
dusb,0.133920,0.036
dusc,0.009179,0.008
dut,0.015383,0.001
dxr,0.036769,0.023
dxs,0.021928,0.005
eama,0.024142,0.062
eamb,0.022609,0.009
ebga,0.003407,0.029
ebgc,0.002697,0.014
ebgr,0.007383,0.021
ecna,0.043298,0.023
ecnb,0.053178,0.053
eco,0.016131,0.001
ecpa,0.013375,0.013
ecpb,0.003112,0.005
ecpc,0.003814,0.034
ecpe,0.003774,0.041
eda,0.068316,0.003
edd,0.006767,0.044
efeb,0.004584,0.008
efeo,0.008225,0.007
efp,0.088233,0.025
elaa,0.015990,0.026
elab,1.670348,0.124
elad,0.000458,0.029
elbb,0.013600,0.042
elfa,0.002239,0.038
elfc,0.002786,0.020
elfd,0.001152,0.030
elfg,0.005029,0.033
elyc,0.007076,0.026
emra,0.010668,0.016
emrb,0.014809,0.003
emrd,0.040364,0.000
emre,0.014553,0.018
emrk,0.011674,0.059
emry,0.006153,0.028
emta,0.057220,0.043
enda,0.006419,0.008
eno,0.409785,0.614
enta,0.010398,0.009
entb,0.007076,0.010
entc,0.029078,0.002
entd,0.008544,0.035
ente,0.006395,0.002
entf,0.006585,0.010
enth,0.004078,0.005
ents,0.037207,0.008
envr,0.000527,0.043
envy,0.000897,0.022
envz,0.036244,0.057
epd,0.072877,0.077
epma,0.017034,0.014
epmb,0.019243,0.039
epmc,0.009753,0.003
epta,0.005958,0.016
eptb,0.006512,0.036
eptc,0.008959,0.030
era,0.129120,0.188
erpa,0.182654,0.070
essd,0.004565,0.010
etk,0.011670,0.043
etp,0.004799,0.014
etta,0.201275,0.339
euta,0.005733,0.017
eutb,0.008155,0.010
eutc,0.011420,0.002
eute,0.001261,0.008
eutg,0.003067,0.015
euth,0.010475,0.005
eutj,0.002107,0.003
eutk,0.015210,0.010
eutm,0.002870,0.000
eutn,0.000544,0.004
eutp,0.001724,0.001
eutr,0.004532,0.002
euts,0.001415,0.008
eutt,0.001568,0.000
evga,0.028453,0.088
evgs,0.004289,0.025
exbb,0.111340,0.134
exbd,0.121625,0.126
exox,0.032300,0.055
exur,0.125222,0.103
exut,0.075223,0.052
faba,0.181239,0.084
fabb,0.361558,0.209
fabd,0.142526,0.041
fabf,0.667346,0.624
fabh,0.114763,0.036
fabi,0.240720,0.027
fabr,0.027980,0.014
faby,0.030744,0.065
fabz,0.063856,0.115
fada,0.044862,0.010
fadb,0.049060,0.037
fadd,0.082827,0.124
fade,0.335329,0.273
fadh,0.019182,0.024
fadj,0.061743,0.167
fadk,0.001327,0.029
fadl,0.159408,0.259
fadm,0.160344,0.123
fadr,0.027181,0.047
fau,0.046850,0.004
fbaa,0.235319,0.186
fbab,0.587199,0.692
fbp,0.041142,0.032
fcl,0.002860,0.001
fdhd,0.042652,0.052
fdhe,0.028745,0.027
fdhf,0.021059,0.061
fdng,0.094886,0.054
fdnh,0.010874,0.003
fdni,0.009560,0.031
fdoh,0.085666,0.040
fdoi,0.048354,0.056
fdra,0.002828,0.027
fdx,0.053142,0.000
feab,0.025048,0.014
fear,0.007782,0.060
feca,0.005317,0.006
fecb,0.003691,0.007
fecc,0.002302,0.001
fecd,0.001832,0.000
fece,0.001603,0.015
feci,0.041000,0.000
fecr,0.023855,0.000
feoa,0.035533,0.001
feob,0.035048,0.054
feoc,0.033158,0.000
fepa,0.055609,0.101
fepb,0.037689,0.015
fepc,0.004570,0.021
fepd,0.016534,0.002
fepg,0.008696,0.001
fes,0.017425,0.012
feta,0.003252,0.059
fetb,0.004649,0.022
ffh,0.075915,0.118
ffs,0.335167,0.000
fhua,0.050300,0.093
fhub,0.009918,0.012
fhuc,0.018485,0.000
fhud,0.006732,0.014
fhue,0.021913,0.059
fhuf,0.341409,0.009
fic,0.206148,0.025
fief,0.060341,0.042
fima,0.026987,0.067
fimb,0.006348,0.036
fimc,0.004149,0.046
fime,0.003996,0.020
fimf,0.008234,0.000
fimh,0.008776,0.038
fimi,0.005676,0.043
fimz,0.001126,0.005
fis,0.180068,0.177
fiu,0.010427,0.036
fixa,0.001130,0.014
fixb,0.001750,0.001
fixc,0.001953,0.021
fixx,0.001159,0.017
fklb,0.029577,0.001
fkpa,0.112767,0.200
fkpb,0.042074,0.026
flda,0.055962,0.071
fldb,0.021310,0.000
flga,0.003086,0.009
flgb,0.000549,0.013
flgc,0.001998,0.008
flgd,0.002264,0.000
flge,0.002118,0.022
flgf,0.002309,0.034
flgg,0.002453,0.010
flgh,0.002521,0.021
flgi,0.001435,0.002
flgj,0.002548,0.011
flgk,0.296926,0.232
flgl,0.279754,0.053
flgm,0.215698,0.038
flgn,0.234844,0.069
flha,0.030251,0.023
flhb,0.054672,0.003
flhc,0.014044,0.054
flhd,0.016729,0.001
flhe,0.031196,0.001
flia,0.233256,0.123
flic,0.727058,0.321
flid,0.043240,0.056
flie,0.002624,0.000
flif,0.001360,0.001
flig,0.001484,0.020
flih,0.002266,0.012
flii,0.001749,0.001
flij,0.000417,0.007
flik,0.000751,0.002
flil,0.008493,0.003
flim,0.009999,0.009
flin,0.017409,0.014
flio,0.014387,0.001
flip,0.004912,0.012
fliq,0.004185,0.001
flir,0.001649,0.019
flis,0.019002,0.021
flit,0.025850,0.002
fliz,0.126846,0.080
flk,0.009040,0.011
flu,0.006121,0.008
flxa,0.051835,0.061
fmt,0.221698,0.006
foca,0.089595,0.040
focb,0.003252,0.001
fola,0.040545,0.026
folb,0.005179,0.001
folc,0.025696,0.045
fold,0.007790,0.011
fole,0.041915,0.072
folk,0.007841,0.042
folm,0.031154,0.088
folp,0.031555,0.025
folx,0.133223,0.078
frc,0.005774,0.060
frda,0.064359,0.044
frdb,0.054212,0.048
frdc,0.049627,0.033
frdd,0.113519,0.001
fre,0.224977,0.025
frla,0.000550,0.014
frlb,0.004197,0.015
frlc,0.002064,0.018
frld,0.006202,0.000
frlr,0.013977,0.022
frma,0.156269,0.178
frmr,0.147184,0.003
frr,0.773498,0.380
frsa,0.018906,0.031
frua,0.215114,0.223
frub,0.062987,0.034
fruk,0.117270,0.026
frva,0.001391,0.000
frvb,0.001895,0.000
frvr,0.001369,0.018
frvx,0.001672,0.006
frwb,0.001168,0.002
frwd,0.004641,0.009
fryb,0.001924,0.012
fryc,0.001447,0.007
fsaa,0.003957,0.008
fsr,0.006199,0.030
ftna,0.066820,0.118
ftnb,0.095762,0.245
ftp,0.022918,0.047
ftsa,0.109906,0.246
ftse,0.097261,0.001
ftsh,1.524611,2.110
ftsi,0.025932,0.031
ftsk,0.077206,0.183
ftsl,0.042578,0.001
ftsn,0.019423,0.000
ftsp,0.042494,0.007
ftsq,0.138454,0.004
ftsw,0.009788,0.019
ftsx,0.081451,0.104
ftsy,0.059152,0.020
ftsz,0.285146,0.026
fuca,0.001566,0.023
fuci,0.004550,0.005
fuck,0.003676,0.039
fuco,0.008236,0.001
fucp,0.000582,0.023
fucr,0.008830,0.051
fucu,0.046670,0.054
fumb,0.014085,0.004
fumc,0.050540,0.052
fumd,0.033513,0.045
fume,0.021912,0.042
fur,0.180550,0.114
fusa,1.792229,1.522
fxsa,0.132136,0.131
gabd,0.099933,0.001
gabp,0.008701,0.022
gabt,0.067310,0.001
gada,0.023167,0.009
gadb,0.027773,0.090
gadc,0.021536,0.065
gade,0.001579,0.007
gadw,0.005370,0.042
gadx,0.016129,0.066
gale,0.009265,0.011
galf,0.375810,0.335
galk,0.066183,0.189
galm,0.338496,0.002
galp,0.300098,0.198
galr,0.043843,0.090
gals,0.001797,0.034
galt,0.005519,0.115
galu,0.161008,0.201
gapa,0.612978,1.181
gard,0.010170,0.061
gark,0.015744,0.036
garl,0.003881,0.008
garp,0.001996,0.029
garr,0.012976,0.007
gatb,0.008328,0.033
gatd,0.021893,0.062
gaty,0.144349,0.003
gatz,0.091811,0.155
gcd,0.062969,0.021
gcl,0.013158,0.034
gcva,0.035878,0.080
gcvh,0.019553,0.020
gcvp,0.006888,0.005
gcvr,0.056800,0.114
gcvt,0.022326,0.019
gdha,0.054787,0.033
gdx,0.058807,0.000
gfcb,0.005570,0.026
gfcc,0.003643,0.005
gfcd,0.002940,0.012
gfce,0.003218,0.027
ggt,0.033375,0.047
ghos,0.072275,0.019
ghot,0.012927,0.000
ghra,0.049008,0.094
ghrb,0.013078,0.044
ghxp,0.006462,0.003
ghxq,0.007595,0.019
glah,0.174690,0.329
glar,0.019622,0.044
glcb,0.056151,0.080
glcc,0.042014,0.063
glcd,0.002383,0.001
glce,0.001386,0.007
glcf,0.023444,0.017
glcg,0.034583,0.001
glda,0.006086,0.029
glf,0.010324,0.095
glga,0.179265,0.337
glgb,0.051965,0.179
glgc,0.126136,0.225
glgp,0.057391,0.135
glgs,0.067325,0.028
glgx,0.038503,0.088
glk,0.076907,0.059
glmm,0.085801,0.131
glms,0.178502,0.334
glmu,0.095333,0.061
glna,0.007689,0.015
glnb,0.024605,0.011
glnd,0.009375,0.023
glne,0.014090,0.043
glng,0.075312,0.040
glnh,0.078687,0.149
glnk,0.003769,0.026
glnl,0.072995,0.151
glnp,0.029459,0.018
glnq,0.045115,0.002
glns,0.032697,0.145
gloa,0.081864,0.019
glob,0.011803,0.058
gloc,0.113963,0.002
glpa,0.001171,0.017
glpb,0.001680,0.002
glpc,0.001650,0.004
glpd,0.107408,0.401
glpe,0.032480,0.001
glpf,0.022921,0.057
glpg,0.027024,0.001
glpk,0.019029,0.043
glpq,0.041136,0.075
glpt,0.005020,0.045
glpx,0.012557,0.001
glrk,0.026785,0.018
glrr,0.024737,0.062
glsa,0.004395,0.020
glsb,0.011266,0.023
glta,0.350185,0.523
gltb,0.005750,0.022
gltd,0.005201,0.000
gltf,0.003364,0.049
glti,0.017020,0.037
gltj,0.008169,0.014
gltk,0.008355,0.006
gltl,0.008004,0.002
gltp,0.033589,0.026
glts,0.075764,0.003
gltx,0.127140,0.089
glxk,0.006295,0.015
glxr,0.002100,0.005
glya,0.048206,0.022
glyq,0.132721,0.003
glys,0.092268,0.005
glyu,0.075070,0.061
gmd,0.003677,0.012
gmha,0.044756,0.052
gmhb,0.008242,0.013
gmk,0.118509,0.106
gmm,0.001401,0.006
gnsa,0.030184,0.022
gnsb,0.024670,0.006
gntk,0.011461,0.022
gntp,0.011705,0.042
gntr,0.031310,0.017
gntt,0.024943,0.006
gntu,0.009501,0.017
gor,0.036026,0.121
gph,0.025724,0.021
gpma,0.239826,0.110
gpmm,0.053851,0.025
gpr,0.018060,0.067
gpsa,0.064575,0.019
gpt,0.019428,0.110
