"",bulk,single-cell
nada,0.230945,0.088
nadc,0.007940,0.006
nade,0.066278,0.038
nadk,0.064338,0.034
nadr,0.027772,0.028
naga,0.044089,0.025
nagb,0.050362,0.011
nagc,0.018552,0.014
nage,0.085152,0.056
nagk,0.041498,0.007
nagz,0.040753,0.017
nana,0.102008,0.039
nanc,0.012685,0.004
nanm,0.124417,0.059
nanq,0.062278,0.035
nans,0.015851,0.019
nant,0.076756,0.023
napb,0.001355,0.012
naph,0.002656,0.003
narq,0.009683,0.010
naru,0.037111,0.035
narx,0.027257,0.028
narz,0.005033,0.014
ndh,0.018843,0.013
ndk,0.032389,0.010
nfi,0.050806,0.006
nfo,0.029880,0.006
nfra,0.005804,0.010
nfsa,0.036090,0.007
nhaa,0.308078,0.086
nhab,0.025530,0.034
nhar,0.056204,0.043
nika,0.000592,0.010
nimr,0.028199,0.017
nirb,0.002034,0.007
nlpa,0.059284,0.025
nlpd,0.257602,0.113
nlpe,0.114733,0.030
nlpi,0.315681,0.236
nnr,0.250896,0.018
norv,0.018947,0.011
nrda,0.025083,0.012
nrdb,0.109306,0.015
nrdd,0.378606,0.092
nrde,0.200807,0.135
nrdf,0.015730,0.005
nrdg,0.057529,0.012
nrdi,0.688223,0.052
nrdr,0.030049,0.011
nrfb,0.008607,0.009
nsrr,0.033781,0.023
nudb,0.050355,0.029
nudc,0.088258,0.038
nudi,0.002481,0.003
nudk,0.008483,0.010
nudl,0.038546,0.001
nuob,0.398552,0.108
nuoc,0.172549,0.058
nuof,0.096516,0.021
nuom,0.454329,0.053
nupc,0.046096,0.030
nusa,0.496675,0.133
nusg,0.234310,0.092
obge,0.261217,0.060
ompa,4.333871,0.519
ompc,0.430282,0.174
ompf,0.110503,0.053
ompg,0.007464,0.007
ompn,0.003918,0.008
ompt,0.161303,0.109
opgd,0.043736,0.032
opge,0.025506,0.017
opgg,0.031943,0.051
opgh,0.022632,0.008
oppa,0.193140,0.055
oppd,0.023186,0.012
osmb,0.216033,0.018
osmc,0.752866,0.093
osmf,0.349667,0.148
osmy,3.056087,0.507
otsa,0.196666,0.093
otsb,0.277000,0.132
oxc,0.005483,0.013
oxyr,0.082220,0.022
paai,0.002843,0.006
paaj,0.006615,0.015
paak,0.001550,0.013
paax,0.100692,0.046
paea,0.024698,0.029
pal,0.380471,0.017
panc,0.043358,0.011
pane,0.049057,0.026
paob,0.016439,0.004
parc,0.041265,0.007
pare,0.058855,0.011
pata,0.120483,0.083
pbpg,0.036410,0.024
pck,0.027007,0.018
pcnb,0.078539,0.053
pded,0.018004,0.035
pdef,0.002936,0.006
pdeg,0.047095,0.021
pdei,0.001207,0.010
pden,0.003511,0.006
pder,0.167863,0.071
pdxa,0.021766,0.013
pdxh,0.012816,0.010
pdxi,0.078625,0.015
pepa,0.292385,0.022
pepd,0.049762,0.026
pepn,0.077503,0.063
pepp,0.043676,0.016
pept,0.198464,0.116
perr,0.002002,0.013
pfka,0.335546,0.021
pfkb,0.264922,0.087
pflb,0.269937,0.221
pfld,0.001740,0.007
pgaa,0.003187,0.010
pgad,0.008227,0.011
pgi,0.141276,0.076
pgk,0.359989,0.234
pgl,0.246583,0.085
pgm,0.172075,0.085
pgpb,0.045149,0.030
pgrr,0.026311,0.017
phea,0.008760,0.013
phes,0.122568,0.042
phet,0.390758,0.250
phnj,0.000261,0.004
phoe,0.002207,0.009
phoh,0.088799,0.056
phop,0.072274,0.094
phoq,0.036531,0.026
phou,0.017726,0.008
phr,0.040026,0.034
pinq,0.016605,0.017
pita,0.154535,0.033
plsb,0.018701,0.014
plsx,0.054753,0.026
pmrd,0.012192,0.013
pncb,0.073983,0.025
pnp,0.320477,0.088
pnta,0.122960,0.030
pntb,0.123482,0.083
pnuc,0.265335,0.099
pota,0.018930,0.006
potc,0.023115,0.004
potd,0.046810,0.037
pote,0.011217,0.023
potf,0.116017,0.038
poth,0.007153,0.006
poxb,0.052860,0.019
ppc,0.009685,0.015
ppha,0.184877,0.126
pphb,0.250005,0.057
ppic,0.029263,0.011
ppid,0.056922,0.050
ppnn,0.027326,0.037
ppsr,0.048730,0.035
ppta,0.024949,0.015
ppx,0.009279,0.010
pqia,0.056401,0.031
pqib,0.036000,0.017
pqic,0.029263,0.021
prc,0.077934,0.034
pret,0.004202,0.012
prfa,0.035372,0.031
prfb,0.069188,0.019
prkb,0.024108,0.012
prlc,0.154836,0.075
prlf,0.069364,0.025
proa,0.104194,0.042
prok,0.083996,0.031
prop,0.455420,0.135
proq,0.316270,0.022
pros,0.103653,0.044
prox,0.009761,0.005
prpr,0.010289,0.007
prs,0.125229,0.047
psie,0.042307,0.012
pspa,30.224458,1.857
pspb,17.561485,0.273
pspc,13.284472,0.593
pspe,10.379247,0.117
pspf,0.014961,0.014
pssa,0.121839,0.047
psug,0.005592,0.010
psut,0.016238,0.014
pta,0.017293,0.013
pth,0.019037,0.011
ptra,0.020627,0.015
ptsg,0.212381,0.046
ptsh,0.623223,0.047
ptsi,0.612433,0.295
pura,0.044763,0.039
purl,0.003823,0.022
purr,0.035801,0.016
puru,0.049007,0.031
putp,0.016543,0.006
puub,0.014516,0.005
puuc,0.036221,0.011
puud,0.153241,0.069
puur,0.252038,0.106
pykf,0.220533,0.127
pyrc,0.003203,0.005
pyre,0.001495,0.036
pyrg,0.257567,0.221
pyrr,0.051783,0.041
pyrs,0.017481,0.016
qmca,0.068974,0.030
qora,0.067983,0.027
qorb,0.011192,0.006
qseb,0.004764,0.004
quef,0.016280,0.018
racc,0.003666,0.008
racr,0.017889,0.012
radd,0.004310,0.009
raia,0.600587,0.098
rapa,0.044553,0.021
rara,0.066158,0.011
rard,0.023351,0.011
rava,0.023352,0.020
rayt,0.005496,0.001
rbsa,0.005277,0.016
rbsb,0.088326,0.017
rbsc,0.040445,0.006
rbsk,0.018743,0.013
rcba,0.003062,0.008
rcdb,0.013558,0.001
rcla,0.007656,0.012
rcna,0.002975,0.007
rcnb,0.038791,0.001
rcnr,0.010407,0.009
rcsa,0.005538,0.009
rcsb,0.290420,0.047
rcsc,0.026390,0.020
rcsd,0.025111,0.010
rcsf,0.055515,0.013
rdca,0.015327,0.011
reca,2.159663,0.057
recb,0.006606,0.013
recc,0.008932,0.010
recd,0.015126,0.002
rece,0.003045,0.013
recf,0.013323,0.008
recn,0.645950,0.316
rect,0.007041,0.015
rela,0.027610,0.009
relb,0.141075,0.028
rele,0.509817,0.065
rem,0.035453,0.004
rep,0.008947,0.007
rfah,0.035381,0.013
rfba,0.026829,0.018
rfbb,0.035060,0.023
rfbc,0.077245,0.096
rfe,0.044677,0.022
rffm,0.019169,0.011
rflp,0.028240,0.021
rhlb,0.067826,0.043
rho,0.465133,0.256
rhsa,0.003519,0.013
rhsb,0.003755,0.024
rhsc,0.003895,0.016
rhsd,0.009574,0.004
ribb,0.169571,0.029
ribc,0.054836,0.021
ribd,0.023848,0.010
ribf,0.050044,0.008
rimj,0.023471,0.024
riml,0.020165,0.015
rimm,0.580303,0.033
rimp,0.259006,0.064
rlha,0.012279,0.010
rlma,0.038155,0.010
rlmb,0.046916,0.003
rlmd,0.030408,0.033
rlme,0.887171,0.251
rlml,0.035618,0.016
rlmm,0.064729,0.020
rlmn,0.083606,0.022
rlud,0.082860,0.024
rlue,0.020233,0.018
rluf,0.009806,0.001
rna,0.030518,0.019
rnb,0.023699,0.018
rnc,0.105149,0.062
rne,0.075692,0.044
rng,0.028466,0.003
rnla,0.057001,0.037
rnlb,0.085405,0.014
rodz,0.268246,0.046
rof,0.201140,0.018
roxa,0.108072,0.031
rpla,1.867929,0.266
rplb,1.087307,0.025
rplc,1.544528,0.294
