"",bulk,single-cell
dhar,0.000273,0.020
diaa,0.000632,0.023
dica,0.000608,0.006
dicb,0.000000,0.008
dicc,0.000153,0.043
digh,0.000210,0.072
dinb,0.002709,0.003
dind,0.000220,0.025
dinf,0.002030,0.013
ding,0.001084,0.022
dini,0.002863,0.022
dinj,0.007211,0.019
djla,0.000740,0.000
djlb,0.000013,0.038
djlc,0.000180,0.014
dkga,0.019534,0.043
dkgb,0.000343,0.033
dksa,0.135864,0.023
dld,0.001242,0.021
dmla,0.000518,0.001
dmlr,0.002361,0.070
dmsa,0.000162,0.018
dmsb,0.000235,0.040
dmsc,0.001317,0.001
dmsd,0.000455,0.016
dnaa,0.001733,0.066
dnab,0.000435,0.016
dnac,0.001073,0.043
dnae,0.000912,0.042
dnag,0.002153,0.035
dnaj,0.005606,0.010
dnak,0.033383,0.100
dnan,0.001640,0.029
dnaq,0.006049,0.021
dnat,0.001467,0.023
dnax,0.001074,0.035
dolp,0.000585,0.005
dosc,0.013368,0.170
dosp,0.006363,0.143
dpaa,0.001198,0.065
dpia,0.000275,0.022
dpib,0.000265,0.019
dppa,0.001042,0.050
dppb,0.000069,0.006
dppc,0.000110,0.019
dppd,0.000086,0.016
dppf,0.000123,0.013
dps,0.045911,0.049
drpb,0.004366,0.073
dsba,0.004641,0.008
dsbb,0.002555,0.028
dsbc,0.001309,0.044
dsbd,0.000956,0.032
dsbg,0.000720,0.108
dsda,0.000190,0.031
dsdx,0.000552,0.151
