gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
astB	GO:0006525 - arginine metabolic process; GO:0006527 - L-arginine catabolic process; GO:0019544 - L-arginine catabolic process to L-glutamate; GO:0019545 - L-arginine catabolic process to succinate	GO:0005829 - cytosol	GO:0009015 - N-succinylarginine dihydrolase activity; GO:0016787 - hydrolase activity; GO:0042803 - protein homodimerization activity
astD	GO:0006525 - arginine metabolic process; GO:0006527 - L-arginine catabolic process; GO:0019544 - L-arginine catabolic process to L-glutamate; GO:0019545 - L-arginine catabolic process to succinate	GO:0005829 - cytosol	GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0004030 - aldehyde dehydrogenase [NAD(P)+] activity; GO:0004777 - succinate-semialdehyde dehydrogenase (NAD+) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0043824 - succinylglutamate-semialdehyde dehydrogenase activity
astA	GO:0006525 - arginine metabolic process; GO:0006527 - L-arginine catabolic process; GO:0019544 - L-arginine catabolic process to L-glutamate; GO:0019545 - L-arginine catabolic process to succinate	GO:0005829 - cytosol	GO:0008791 - arginine N-succinyltransferase activity; GO:0009015 - N-succinylarginine dihydrolase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity
astC	GO:0006520 - amino acid metabolic process; GO:0006525 - arginine metabolic process; GO:0006527 - L-arginine catabolic process; GO:0006593 - L-ornithine catabolic process; GO:0019544 - L-arginine catabolic process to L-glutamate; GO:0019545 - L-arginine catabolic process to succinate; GO:0042450 - L-arginine biosynthetic process via ornithine; GO:0043648 - dicarboxylic acid metabolic process	GO:0005829 - cytosol	GO:0003992 - N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity; GO:0008483 - transaminase activity; GO:0016740 - transferase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042802 - identical protein binding; GO:0043825 - succinylornithine transaminase activity
ldcC	GO:0006520 - amino acid metabolic process; GO:0006554 - lysine catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0008923 - lysine decarboxylase activity; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0042802 - identical protein binding
uspB	GO:0000725 - recombinational repair; GO:0006974 - DNA damage response; GO:0045471 - response to ethanol	GO:0005886 - plasma membrane	
yihG	GO:0006629 - lipid metabolic process; GO:0008654 - phospholipid biosynthetic process	GO:0005886 - plasma membrane	GO:0003841 - 1-acylglycerol-3-phosphate O-acyltransferase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity
gadW	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response	GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
gadX	GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005829 - cytosol	GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding
narU	GO:0015706 - nitrate transmembrane transport; GO:0015707 - nitrite transport; GO:0042128 - nitrate assimilation; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015112 - nitrate transmembrane transporter activity; GO:0015113 - nitrite transmembrane transporter activity; GO:0015291 - secondary active transmembrane transporter activity; GO:0015514 - nitrite efflux transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
