gene_name	ontologyTerms_biologicalProcess	ontologyTerms_cellularComponent	ontologyTerms_molecularFunction
sohB	GO:0006508 - proteolysis	GO:0005886 - plasma membrane	GO:0004252 - serine-type endopeptidase activity; GO:0008233 - peptidase activity; GO:0008236 - serine-type peptidase activity; GO:0016787 - hydrolase activity
mglC	GO:0006974 - DNA damage response; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0005354 - galactose transmembrane transporter activity; GO:0015592 - methylgalactoside transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
mglA	GO:0006974 - DNA damage response; GO:0015749 - monosaccharide transmembrane transport; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005354 - galactose transmembrane transporter activity; GO:0005524 - ATP binding; GO:0015407 - ABC-type monosaccharide transporter activity; GO:0015592 - methylgalactoside transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity
mglB	GO:0006935 - chemotaxis; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport; GO:0055085 - transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0005509 - calcium ion binding; GO:0005515 - protein binding; GO:0005534 - galactose binding; GO:0005536 - D-glucose binding; GO:0030246 - carbohydrate binding; GO:0046872 - metal ion binding
pgi	GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process; GO:0034599 - cellular response to oxidative stress; GO:0051156 - glucose 6-phosphate metabolic process; GO:1901135 - carbohydrate derivative metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004347 - glucose-6-phosphate isomerase activity; GO:0016853 - isomerase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0048029 - monosaccharide binding; GO:0097367 - carbohydrate derivative binding
gapA	GO:0006006 - glucose metabolic process; GO:0006096 - glycolytic process; GO:0072524 - pyridine-containing compound metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane	GO:0000166 - nucleotide binding; GO:0004365 - glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0042802 - identical protein binding; GO:0050661 - NADP binding; GO:0051287 - NAD binding
mtn	GO:0008652 - amino acid biosynthetic process; GO:0009086 - methionine biosynthetic process; GO:0009116 - nucleoside metabolic process; GO:0009164 - nucleoside catabolic process; GO:0019284 - L-methionine salvage from S-adenosylmethionine; GO:0019509 - L-methionine salvage from methylthioadenosine; GO:0033353 - S-adenosylmethionine cycle; GO:0046124 - purine deoxyribonucleoside catabolic process; GO:0110052 - toxic metabolite repair	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0008782 - adenosylhomocysteine nucleosidase activity; GO:0008930 - methylthioadenosine nucleosidase activity; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
btuF	GO:0015889 - cobalamin transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:1990191 - cobalamin transport complex	GO:0005515 - protein binding; GO:0031419 - cobalamin binding
yadS		GO:0005886 - plasma membrane	
appX		GO:0005886 - plasma membrane; GO:0009279 - cell outer membrane	GO:0005515 - protein binding
appC	GO:0006119 - oxidative phosphorylation; GO:0019646 - aerobic electron transport chain; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0070069 - cytochrome complex	GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0016682 - oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; GO:0020037 - heme binding; GO:0046872 - metal ion binding
appB	GO:0006119 - oxidative phosphorylation; GO:0019646 - aerobic electron transport chain; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0070069 - cytochrome complex	GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0016682 - oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; GO:0046872 - metal ion binding
appA	GO:0016036 - cellular response to phosphate starvation; GO:0016311 - dephosphorylation; GO:0071454 - cellular response to anoxia	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	GO:0003924 - GTPase activity; GO:0008252 - nucleotidase activity; GO:0016787 - hydrolase activity; GO:0050308 - sugar-phosphatase activity; GO:0052745 - inositol phosphate phosphatase activity
oxyR	GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0006979 - response to oxidative stress; GO:0051409 - response to nitrosative stress; GO:2000142 - regulation of DNA-templated transcription initiation	GO:0005829 - cytosol; GO:0032993 - protein-DNA complex	GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
gadA	GO:0006536 - glutamate metabolic process; GO:0006538 - L-glutamate catabolic process; GO:0019752 - carboxylic acid metabolic process; GO:0051454 - intracellular pH elevation	GO:0005829 - cytosol; GO:0016020 - membrane	GO:0004351 - glutamate decarboxylase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0016830 - carbon-carbon lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding
ftsQ	GO:0000917 - division septum assembly; GO:0043093 - FtsZ-dependent cytokinesis; GO:0051301 - cell division; GO:0090529 - cell septum assembly	GO:0005886 - plasma membrane; GO:0032153 - cell division site; GO:1990586 - divisome complex; GO:1990587 - FtsQBL complex	GO:0005515 - protein binding; GO:0042802 - identical protein binding
ftsA	GO:0000917 - division septum assembly; GO:0043093 - FtsZ-dependent cytokinesis; GO:0051301 - cell division	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009898 - cytoplasmic side of plasma membrane; GO:0032153 - cell division site; GO:1990586 - divisome complex	GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0042802 - identical protein binding
ftsZ	GO:0000917 - division septum assembly; GO:0043093 - FtsZ-dependent cytokinesis; GO:0051258 - protein polymerization; GO:0051301 - cell division; GO:0090529 - cell septum assembly	GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:0032153 - cell division site; GO:1990586 - divisome complex	GO:0000166 - nucleotide binding; GO:0003924 - GTPase activity; GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0042802 - identical protein binding
fbaA	GO:0005975 - carbohydrate metabolic process; GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process	GO:0005829 - cytosol	GO:0004332 - fructose-bisphosphate aldolase activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016829 - lyase activity; GO:0016832 - aldehyde-lyase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
pgk	GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0004618 - phosphoglycerate kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0043531 - ADP binding; GO:0097216 - guanosine tetraphosphate binding
epd	GO:0006006 - glucose metabolic process; GO:0008615 - pyridoxine biosynthetic process; GO:0042823 - pyridoxal phosphate biosynthetic process; GO:0072524 - pyridine-containing compound metabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004365 - glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0048001 - erythrose-4-phosphate dehydrogenase activity; GO:0051287 - NAD binding
asr	GO:0010447 - response to acidic pH	GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space	
hdeD	GO:0009268 - response to pH	GO:0005886 - plasma membrane	
ihfB	GO:0006260 - DNA replication; GO:0006310 - DNA recombination; GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006417 - regulation of translation	GO:0005694 - chromosome; GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1990177 - IHF-DNA complex	GO:0003677 - DNA binding; GO:0030527 - structural constituent of chromatin; GO:0043565 - sequence-specific DNA binding
cpxA	GO:0000160 - phosphorelay signal transduction system; GO:0007155 - cell adhesion; GO:0007165 - signal transduction; GO:0009314 - response to radiation; GO:0018106 - peptidyl-histidine phosphorylation; GO:0036460 - cellular response to cell envelope stress; GO:0043708 - cell adhesion involved in biofilm formation; GO:0046777 - protein autophosphorylation	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0004721 - phosphoprotein phosphatase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0042802 - identical protein binding
cpxR	GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0007155 - cell adhesion; GO:0010810 - regulation of cell-substrate adhesion; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032993 - protein-DNA complex	GO:0000156 - phosphorelay response regulator activity; GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
osmE	GO:0006970 - response to osmotic stress	GO:0005886 - plasma membrane; GO:0019867 - outer membrane	GO:0005515 - protein binding
bolA	GO:0006351 - DNA-templated transcription; GO:0006879 - intracellular iron ion homeostasis; GO:0016226 - iron-sulfur cluster assembly; GO:0045454 - cell redox homeostasis	GO:0005829 - cytosol; GO:1990229 - iron-sulfur cluster assembly complex	GO:0003677 - DNA binding; GO:0005515 - protein binding
yqjK		GO:0005829 - cytosol	
yqjE		GO:0005886 - plasma membrane	
yqjD		GO:0005886 - plasma membrane; GO:0060187 - cell pole	GO:0005515 - protein binding; GO:0043022 - ribosome binding; GO:0043024 - ribosomal small subunit binding
yqjC			
znuA	GO:0006811 - monoatomic ion transport; GO:0006829 - zinc ion transport; GO:0007155 - cell adhesion; GO:0030001 - metal ion transport; GO:0071578 - zinc ion import across plasma membrane	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0008270 - zinc ion binding; GO:0046872 - metal ion binding
gadF	GO:0050794 - regulation of cellular process		GO:0003729 - mRNA binding; GO:0005515 - protein binding
gadE	GO:0006355 - regulation of DNA-templated transcription; GO:1990451 - cellular stress response to acidic pH	GO:0005667 - transcription regulator complex; GO:0005829 - cytosol	GO:0003677 - DNA binding
yehW	GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	
yehX	GO:0006865 - amino acid transport; GO:0015697 - quaternary ammonium group transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0031459 - ABC-type glycine betaine transporter activity
yehY	GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0005515 - protein binding
osmF	GO:0006865 - amino acid transport; GO:0015838 - amino-acid betaine transport; GO:0031460 - glycine betaine transport; GO:0055085 - transmembrane transport; GO:0071474 - cellular hyperosmotic response	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0022857 - transmembrane transporter activity
mdtF	GO:0006855 - xenobiotic transmembrane transport; GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015125 - bile acid transmembrane transporter activity; GO:0015562 - efflux transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding; GO:0042910 - xenobiotic transmembrane transporter activity
mdtE	GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0015125 - bile acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding
gadY	GO:0010468 - regulation of gene expression; GO:0071468 - cellular response to acidic pH; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility		GO:0005515 - protein binding
tktB	GO:0006098 - pentose-phosphate shunt; GO:0009052 - pentose-phosphate shunt, non-oxidative branch	GO:0005829 - cytosol	GO:0004802 - transketolase activity; GO:0016740 - transferase activity; GO:0046872 - metal ion binding
talA	GO:0005975 - carbohydrate metabolic process; GO:0006098 - pentose-phosphate shunt; GO:0009052 - pentose-phosphate shunt, non-oxidative branch	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004801 - transaldolase activity; GO:0016740 - transferase activity
evgL			
evgS	GO:0000160 - phosphorelay signal transduction system; GO:0007165 - signal transduction; GO:0010038 - response to metal ion; GO:0010447 - response to acidic pH; GO:0018106 - peptidyl-histidine phosphorylation; GO:0046777 - protein autophosphorylation	GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0030288 - outer membrane-bounded periplasmic space	GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups
evgA	GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0043565 - sequence-specific DNA binding
otsB	GO:0005992 - trehalose biosynthetic process; GO:0006970 - response to osmotic stress; GO:0070417 - cellular response to cold	GO:0005829 - cytosol	GO:0000287 - magnesium ion binding; GO:0004805 - trehalose-phosphatase activity; GO:0016787 - hydrolase activity; GO:0016791 - phosphatase activity; GO:0046872 - metal ion binding
otsA	GO:0005992 - trehalose biosynthetic process; GO:0006950 - response to stress; GO:0006970 - response to osmotic stress; GO:0006974 - DNA damage response; GO:0070417 - cellular response to cold	GO:0005829 - cytosol	GO:0003824 - catalytic activity; GO:0003825 - alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity; GO:0016740 - transferase activity; GO:0016757 - glycosyltransferase activity; GO:0016758 - hexosyltransferase activity
tam	GO:0032259 - methylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0008168 - methyltransferase activity; GO:0016740 - transferase activity; GO:0030798 - trans-aconitate 2-methyltransferase activity
lsrG	GO:0009372 - quorum sensing	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0002952 - (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase activity; GO:0016491 - oxidoreductase activity; GO:0016853 - isomerase activity; GO:0016861 - intramolecular oxidoreductase activity, interconverting aldoses and ketoses
lsrF		GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0004332 - fructose-bisphosphate aldolase activity; GO:0016740 - transferase activity; GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups; GO:0016829 - lyase activity; GO:0016832 - aldehyde-lyase activity
lsrB	GO:0009372 - quorum sensing; GO:0055085 - transmembrane transport; GO:1905887 - autoinducer AI-2 transmembrane transport	GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	
lsrD	GO:0009372 - quorum sensing; GO:0055085 - transmembrane transport; GO:1905887 - autoinducer AI-2 transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0022857 - transmembrane transporter activity
lsrC	GO:0009372 - quorum sensing; GO:0055085 - transmembrane transport; GO:1905887 - autoinducer AI-2 transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0022857 - transmembrane transporter activity
lsrA	GO:0009372 - quorum sensing; GO:1905887 - autoinducer AI-2 transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0022857 - transmembrane transporter activity
baeR	GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription; GO:2000144 - positive regulation of DNA-templated transcription initiation; GO:2001023 - regulation of response to drug	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032993 - protein-DNA complex	GO:0000156 - phosphorelay response regulator activity; GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0042802 - identical protein binding
baeS	GO:0000160 - phosphorelay signal transduction system; GO:0007165 - signal transduction; GO:0018106 - peptidyl-histidine phosphorylation; GO:0036460 - cellular response to cell envelope stress; GO:0046777 - protein autophosphorylation	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0000155 - phosphorelay sensor kinase activity; GO:0000166 - nucleotide binding; GO:0004673 - protein histidine kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups
mdtD	GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0022857 - transmembrane transporter activity
mdtC	GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0055085 - transmembrane transport; GO:0140330 - xenobiotic detoxification by transmembrane export across the cell outer membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098567 - periplasmic side of plasma membrane; GO:1990281 - efflux pump complex	GO:0005515 - protein binding; GO:0015125 - bile acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042910 - xenobiotic transmembrane transporter activity
mdtB	GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0055085 - transmembrane transport; GO:0140330 - xenobiotic detoxification by transmembrane export across the cell outer membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098567 - periplasmic side of plasma membrane; GO:1990281 - efflux pump complex	GO:0005515 - protein binding; GO:0015125 - bile acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042910 - xenobiotic transmembrane transporter activity
mdtA	GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0055085 - transmembrane transport; GO:0140330 - xenobiotic detoxification by transmembrane export across the cell outer membrane	GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098567 - periplasmic side of plasma membrane; GO:1990281 - efflux pump complex	GO:0015125 - bile acid transmembrane transporter activity; GO:0015562 - efflux transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
dhaR	GO:0006071 - glycerol metabolic process; GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription	GO:0005829 - cytosol; GO:0032993 - protein-DNA complex	GO:0000166 - nucleotide binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0043565 - sequence-specific DNA binding
dhaM	GO:0006974 - DNA damage response; GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0019563 - glycerol catabolic process; GO:0046835 - carbohydrate phosphorylation	GO:0005829 - cytosol; GO:0016020 - membrane; GO:1990234 - transferase complex	GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0042803 - protein homodimerization activity; GO:0047324 - phosphoenolpyruvate-glycerone phosphotransferase activity
dhaL	GO:0006071 - glycerol metabolic process; GO:0019563 - glycerol catabolic process; GO:0046835 - carbohydrate phosphorylation	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1990234 - transferase complex	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004371 - glycerone kinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0043531 - ADP binding; GO:0046872 - metal ion binding; GO:0047324 - phosphoenolpyruvate-glycerone phosphotransferase activity
dhaK	GO:0006071 - glycerol metabolic process; GO:0006974 - DNA damage response; GO:0019563 - glycerol catabolic process; GO:0042182 - ketone catabolic process; GO:0046365 - monosaccharide catabolic process; GO:0046835 - carbohydrate phosphorylation; GO:0061610 - glycerol to glycerone phosphate metabolic process	GO:0005829 - cytosol; GO:1990234 - transferase complex	GO:0004371 - glycerone kinase activity; GO:0005515 - protein binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0047324 - phosphoenolpyruvate-glycerone phosphotransferase activity
yiaG	GO:0006355 - regulation of DNA-templated transcription	GO:0005829 - cytosol	GO:0003677 - DNA binding; GO:0043565 - sequence-specific DNA binding
ytfK	GO:0006979 - response to oxidative stress; GO:0015968 - stringent response; GO:0016036 - cellular response to phosphate starvation		GO:0005515 - protein binding
ansP	GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport	GO:0005886 - plasma membrane; GO:0016020 - membrane	GO:0022857 - transmembrane transporter activity
msyB		GO:0005829 - cytosol	
pfkB	GO:0005975 - carbohydrate metabolic process; GO:0006096 - glycolytic process; GO:0006974 - DNA damage response; GO:0016052 - carbohydrate catabolic process; GO:0044281 - small molecule metabolic process; GO:0046835 - carbohydrate phosphorylation; GO:0061615 - glycolytic process through fructose-6-phosphate	GO:0005829 - cytosol	GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003872 - 6-phosphofructokinase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0008443 - phosphofructokinase activity; GO:0009024 - tagatose-6-phosphate kinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016773 - phosphotransferase activity, alcohol group as acceptor; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
ybjP		GO:0005886 - plasma membrane	
yggE	GO:0006974 - DNA damage response; GO:0034605 - cellular response to heat; GO:0034614 - cellular response to reactive oxygen species	GO:0030288 - outer membrane-bounded periplasmic space	GO:0042802 - identical protein binding
rssB	GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0010468 - regulation of gene expression; GO:0031648 - protein destabilization; GO:0045862 - positive regulation of proteolysis; GO:0045892 - negative regulation of DNA-templated transcription	GO:0005829 - cytosol; GO:0032993 - protein-DNA complex; GO:1903865 - sigma factor antagonist complex	GO:0000156 - phosphorelay response regulator activity; GO:0000976 - transcription cis-regulatory region binding; GO:0005515 - protein binding; GO:0016989 - sigma factor antagonist activity
rssA	GO:0006629 - lipid metabolic process; GO:0016042 - lipid catabolic process; GO:0046470 - phosphatidylcholine metabolic process	GO:0005576 - extracellular region; GO:0005829 - cytosol	GO:0004622 - phosphatidylcholine lysophospholipase activity; GO:0016787 - hydrolase activity
fbaB	GO:0006096 - glycolytic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane	GO:0004332 - fructose-bisphosphate aldolase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0042802 - identical protein binding
yciZ		GO:0016020 - membrane	
dgcC	GO:0043709 - cell adhesion involved in single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility; GO:2001008 - positive regulation of cellulose biosynthetic process	GO:0005886 - plasma membrane	GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0016740 - transferase activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0052621 - diguanylate cyclase activity
yciE		GO:0005829 - cytosol	
yciF	GO:0006974 - DNA damage response	GO:0005829 - cytosol	GO:0042803 - protein homodimerization activity
yciG	GO:0071978 - bacterial-type flagellum-dependent swarming motility	GO:0005829 - cytosol	
rraA	GO:0051252 - regulation of RNA metabolic process; GO:0070207 - protein homotrimerization; GO:1902369 - negative regulation of RNA catabolic process	GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex	GO:0005515 - protein binding; GO:0008428 - ribonuclease inhibitor activity; GO:0019899 - enzyme binding; GO:0042802 - identical protein binding; GO:0060698 - endoribonuclease inhibitor activity
hchA	GO:0006281 - DNA repair; GO:0006974 - DNA damage response; GO:0010447 - response to acidic pH; GO:0019243 - methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione; GO:0019249 - lactate biosynthetic process; GO:0030091 - protein repair; GO:0036525 - protein deglycation; GO:0042245 - RNA repair; GO:0051595 - response to methylglyoxal; GO:0106044 - guanine deglycation	GO:0005737 - cytoplasm; GO:0005829 - cytosol	GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016787 - hydrolase activity; GO:0016790 - thiolester hydrolase activity; GO:0016811 - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; GO:0016829 - lyase activity; GO:0019172 - glyoxalase III activity; GO:0036524 - protein deglycase activity; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
ryjA			
sdsR	GO:0040033 - sRNA-mediated post-transcriptional gene silencing; GO:0061157 - mRNA destabilization; GO:1900191 - negative regulation of single-species biofilm formation; GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility		GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding
