cell,subpopulation,label,umap_1,umap_2,pc_1,pc_2,group_axis_projection
156,A,0,1.7138206958770752,6.921696662902832,6.163491776101935,10.738722166497103,6.351328886505975
157,A,0,4.38069486618042,7.299001216888428,5.04144287172734,-2.612503788059468,5.037815612295521
158,A,0,3.3014559745788574,6.558509349822998,5.779241424429273,-2.691840502147304,5.655083120238419
159,A,0,5.575244903564453,5.66436243057251,4.502326214127611,-2.0587656584133915,4.547829010561484
160,A,0,5.468674182891846,8.360101699829102,4.429911709673979,-3.2737032649617874,4.506448027765815
161,A,0,3.4617366790771484,5.623401165008545,6.0933196748887895,-2.2641835545959794,5.964509552626649
162,A,0,5.646734237670898,5.596229553222656,5.874713535729433,-2.623598406743706,5.897618884366679
163,A,0,3.619255304336548,6.633741855621338,7.961366270972755,1.3332636169334908,7.760534803003371
164,A,0,5.325202465057373,7.328896999359131,6.199074105858521,-1.1450519399336867,6.014082135466364
165,A,0,3.8860442638397217,6.97626256942749,4.8779428556007645,-3.1229158751717425,4.988129800354619
166,A,0,5.1727447509765625,6.9395880699157715,5.9353067308232665,-2.6701256815704215,5.923738456531985
167,A,0,4.066590785980225,5.395509243011475,4.685409599027221,-0.9355053248185644,4.768992927911554
168,A,0,4.278796672821045,7.3036932945251465,6.368040366809626,-2.5701901873277846,6.293159876557459
169,A,0,4.31298828125,6.482594013214111,6.6970800914587265,-2.038245167998019,6.580061558099464
170,A,0,5.67501163482666,5.76930046081543,3.9770632314622643,-2.0401460206919113,4.202000672142955
171,A,0,3.5672812461853027,7.089807510375977,3.8604070116562763,-1.9566305568943514,4.120275533046643
172,A,0,3.7860283851623535,5.936266899108887,4.8234960502827935,-2.531605639575587,4.940819509174868
173,A,0,4.734831809997559,8.811369895935059,5.476658247476247,-2.517592777638101,5.401596558401238
174,A,0,4.8273024559021,6.3577961921691895,5.744454422410432,-2.2841654156083946,5.716519733533145
175,A,0,5.117451190948486,6.983950138092041,5.975042862749587,-3.3248708171944394,5.803554963715417
176,A,0,4.279211044311523,9.361082077026367,5.688753948076967,-3.1459476617993722,5.709295621576958
177,A,0,4.18712043762207,5.587546348571777,5.922134942782432,-2.405095927234847,5.938713079169915
178,A,0,2.175938606262207,6.838401794433594,5.790570258032013,5.966146153965088,5.874312007560525
179,A,0,5.013981819152832,6.374833583831787,5.4362715929583025,-1.5175650390158877,5.373698568208775
180,A,0,4.287655353546143,9.322047233581543,5.49253387466833,-1.9473140139967609,5.485542553449602
181,A,0,4.623063564300537,7.071150779724121,6.005808760469777,0.9098671422901935,5.86433568164948
182,A,0,2.5593247413635254,6.962389945983887,6.0418334048456295,4.2424180695555,6.1262905830567345
183,A,0,3.497868776321411,7.560022354125977,5.85294535627914,-3.339867902839828,5.67669976787937
184,A,0,4.619228839874268,5.8111138343811035,4.654189866783184,-1.942913293721926,4.749075643833182
185,A,0,2.6432197093963623,6.0667924880981445,5.30039125057906,1.0576441541152044,5.3017792711056275
186,A,0,5.682943344116211,8.538215637207031,3.9898363532473247,-3.022005694837952,4.104759465355501
187,A,0,3.5958292484283447,5.747406005859375,6.01085185767564,1.035057772698878,6.055064260740945
188,A,0,2.596794605255127,6.915156364440918,7.294713878062547,4.64044707708021,7.272106873121154
189,A,0,0.9914019703865051,6.846945285797119,6.557269823435732,12.419386055391664,6.758299241850555
190,A,0,2.190089225769043,6.854395389556885,5.899948347037381,5.807977819492998,6.044618337550679
191,A,0,3.683161497116089,7.33249044418335,5.23858169623214,-0.38609021033769814,5.293865386519644
192,A,0,3.109781265258789,7.216984272003174,4.651021252219397,1.8650675696565548,4.781846631447024
193,A,0,5.489964485168457,5.4017109870910645,4.482521543138773,-2.067366742731292,4.609969891755876
194,A,0,4.229875564575195,6.980386257171631,6.818318515160737,-2.372563744166977,6.6655313364209245
195,A,0,3.305943250656128,6.984020233154297,6.770166300461503,0.8678010637770681,6.763554816866632
196,A,0,1.853640079498291,6.9435648918151855,5.221252634456373,8.231201752057409,5.5011028725829405
197,A,0,4.199182033538818,7.110151767730713,6.475352222281074,0.24794646496067285,6.4824748620689565
198,A,0,5.527565002441406,7.1887006759643555,4.608478295225857,-2.902052470323188,4.5643922910726715
199,A,0,0.905562698841095,7.012237548828125,5.4989875254233125,15.756065123771618,5.890310380704304
200,A,0,2.4786770343780518,6.135190963745117,6.758694371234793,5.3307819675550805,6.686157535905048
201,A,0,1.6572219133377075,6.641084671020508,5.867285871500701,10.181794037946506,6.095153356025335
202,A,0,4.115321636199951,8.670836448669434,5.862410346026216,-1.0799474008861705,5.843692795073893
203,A,0,3.5758721828460693,7.539818286895752,5.031847969169332,0.13097079671613673,5.060819165189865
204,A,0,5.830507755279541,5.418251037597656,3.4414044610481396,-0.08468118029554282,3.7391224162495096
205,A,0,2.349358081817627,6.734736919403076,4.733959039582792,4.757650704286255,4.85265595148257
206,A,0,4.760221004486084,6.449571132659912,6.786844114654125,-0.7647265745574204,6.6146874207845245
207,A,0,2.5398108959198,6.602385520935059,6.482677875825098,4.466127286431882,6.540500745475565
208,A,0,4.638182640075684,6.100155830383301,5.705818832785587,0.1790257163046943,5.708335006550779
209,A,0,5.140699863433838,7.927257537841797,5.448855048518132,-2.7918072371949227,5.407428155063492
210,A,0,4.347136974334717,7.000533580780029,5.762407567917342,-2.351926287308479,5.69810855807687
211,A,0,4.256284236907959,6.398559093475342,6.100041780191151,0.005088159087509807,6.062931478128405
212,A,0,3.2545411586761475,6.706479549407959,6.1813282307920705,0.5516927727055493,6.189115641649687
213,A,0,4.229549884796143,6.199477195739746,4.439634824206338,-2.924648826391004,4.49860617712612
214,A,0,2.81585693359375,5.915708065032959,5.229786864397261,-2.37575815209972,5.027139824504497
215,A,0,4.743997573852539,7.604090213775635,4.8951520471719485,-1.0513482173132824,5.015166500680141
216,A,0,5.275989055633545,7.237715721130371,6.340494559559106,0.6626732398662968,6.2843591090114
217,A,0,5.644406318664551,5.370244026184082,4.793804833959908,-1.517472103105459,4.937839738567599
218,A,0,5.18109130859375,6.4577250480651855,4.355569172671096,-2.0412994949216645,4.4409776878515075
219,A,0,5.646668910980225,5.687077522277832,4.33822997307772,-1.2157884536595953,4.528880642940602
220,A,0,5.667808532714844,8.545295715332031,4.335849227008556,-2.819845791954607,4.432760806911651
221,A,0,4.802872657775879,6.434812068939209,6.120054768611253,-0.9428048071671832,6.031812175417306
222,A,0,0.9676384329795837,7.0424723625183105,5.272705222333002,15.721386526684716,5.723434156863118
223,A,0,4.391602993011475,8.657181739807129,5.818921161136305,-1.7228971833656033,5.7581053939112365
224,A,0,3.9891440868377686,5.2442121505737305,5.019528580757342,-2.593803397845352,5.024031276114982
225,A,0,4.412444114685059,8.075448036193848,6.641241803831683,-2.2910904561040635,6.557533605839811
226,A,0,3.7637481689453125,7.067780017852783,6.677497071161062,-1.2011329431880657,6.5767500107938
227,A,0,6.632547378540039,5.4852614402771,0.41261144340721984,-1.4914454590995672,0.3218972145935937
228,A,0,3.77189040184021,6.593498229980469,5.802879848428061,-1.3798597243908335,5.804451473714729
229,A,0,3.5399398803710938,6.688035488128662,5.0381748148018834,-2.2018783408851013,5.06724407993965
230,A,0,3.1256818771362305,8.188475608825684,6.027605784462233,4.602610227803619,6.059638209552492
231,A,0,3.8073854446411133,6.776224136352539,4.512136338075378,-1.5978326936714478,4.58576938611264
232,A,0,5.470734596252441,5.3917975425720215,4.547635685573203,-1.7253687225601906,4.695482149016301
