gene,gene_clean,coordination_score
glpR,glpR,0.011561464354731607
narX,narX,0.011552578157170798
fiu,fiu,0.01152481400738647
yfbU,yfbU,0.011524020394408504
ycjT,ycjT,0.01151787431000035
pstA,pstA,0.011507578868508318
ydhU,ydhU,0.011504084623727545
yhjA,yhjA,0.01148598552219087
yjcS,yjcS,0.011460269714231414
ybdN,ybdN,0.011437062170636855
gldA,gldA,0.011430447921191262
fadR,fadR,0.011409651064938835
ycgZ,ycgZ,0.011387810648201876
yehA,yehA,0.011340486499019328
fepC,fepC,0.011327004258687448
cysN,cysN,0.011304064533370455
yfaT,yfaT,0.011203431600044863
ydjE,ydjE,0.01117352338694502
btuF,btuF,0.011168568676931476
yddL,yddL,0.011162918977157313
elaA,elaA,0.011161870436838396
leuS,leuS,0.011150538492931137
rfaB,rfaB,0.011133419361816327
phoE,phoE,0.011057239993967245
alaS,alaS,0.01105589884218622
pps,pps,0.01103742995619816
argI,argI,0.011004802343816192
ycdM,ycdM,0.010996440992275766
mtr,mtr,0.010991791331300835
insN-2,insN-2,0.010981605756406037
yncA,yncA,0.010975087353986196
dedD,dedD,0.01096925143710576
dacC,dacC,0.010942151037374837
mazG,mazG,0.010930482206585285
ompA,ompA,0.010898469317439959
mdtI,mdtI,0.010887475038776732
insC-2,insC-2,0.010873745143204988
yhjR,yhjR,0.010870351981091752
yagN,yagN,0.010867933185519159
yhaM,yhaM,0.010867752958622554
cpsB,cpsB,0.010770989746120747
yjiO,yjiO,0.010756937228844488
alsE,alsE,0.010750751885046435
raiA,raiA,0.010748051273642392
yccF,yccF,0.010712806579726722
mcrC,mcrC,0.010681886554685974
yfaQ,yfaQ,0.010673977085421305
napH,napH,0.010670709107991982
gapC,gapC,0.010620779101034272
ykgH,ykgH,0.010597809564954916
rtcB,rtcB,0.010594514305678898
nhaB,nhaB,0.010584115568638378
aqpZ,aqpZ,0.01057840786891
ypeC,ypeC,0.010450752733082175
ygaC,ygaC,0.010442807589021497
ybfE,ybfE,0.010441605684229808
yfhM,yfhM,0.010424405682336888
rcsF,rcsF,0.010416616307313144
yaiP,yaiP,0.010400731920674127
zipA,zipA,0.010386402177410456
gnd,gnd,0.0103853143362376
mglC,mglC,0.01037455707156002
yidA,yidA,0.010374039539895071
slyA,slyA,0.010355833657904136
yihT,yihT,0.010350668706520391
yegW,yegW,0.010321743851110525
speD,speD,0.010312465862245712
yeaT,yeaT,0.010304274335202365
ccmE,ccmE,0.010283897206355365
ydeU,ydeU,0.010245468543246388
cbpA,cbpA,0.010230183556926488
speF,speF,0.010226731034373607
yegL,yegL,0.010219582154569928
gcvA,gcvA,0.010207282798169402
panC,panC,0.01019266906835556
flgA,flgA,0.010188389553119436
slyB,slyB,0.010183706663511581
recB,recB,0.010136243948250766
ybhR,ybhR,0.010133047475106587
yibN,yibN,0.01012819291744296
ppiC,ppiC,0.010126126352798394
LELOBEKK_gap,gap,0.010120748769710702
rplF,rplF,0.010088249242479006
lpxM,lpxM,0.010086123347713737
YFP,YFP,0.01005701429499638
msrB,msrB,0.010049190204564025
torY,torY,0.010035749489799068
rbsD,rbsD,0.010034025505328142
yjcR,yjcR,0.010008912852062773
yeaC,yeaC,0.00996380065700706
pgpB,pgpB,0.009944636306190418
maa,maa,0.00993525643869149
entD,entD,0.009899587965999214
cfa,cfa,0.009893420929156146
kduI,kduI,0.00987463300303358
gapA,gapA,0.009867399699701716
talA,talA,0.009854982044772635
pssA,pssA,0.00985235571676102
yzgL,yzgL,0.009833563662429134
yfgI,yfgI,0.009827927863732398
chiA,chiA,0.009826620916237018
rpsD,rpsD,0.009821790595011072
bipA,bipA,0.009818926614586016
frdB,frdB,0.009812849586943768
valS,valS,0.009753555893280703
ydeK,ydeK,0.009744896307167551
rplA,rplA,0.009744085409988928
yihO,yihO,0.009741571384126919
sbcD,sbcD,0.009718064028609063
yijD,yijD,0.009678802552667811
pspF,pspF,0.009676200589176696
yebU,yebU,0.009656852446983555
acrB,acrB,0.00965223086100568
lysA,lysA,0.009643403909618315
yaaW,yaaW,0.009638955168181211
glk,glk,0.009616650171578232
yccT,yccT,0.00959480937906846
yiaA,yiaA,0.009569609875986942
tbpA,tbpA,0.009565476668514103
ynfL,ynfL,0.009563515693133847
nrdD,nrdD,0.009536978542469906
ybhN,ybhN,0.00953034146734038
etp,etp,0.009530272778263661
uvrA,uvrA,0.009529499132654391
yehW,yehW,0.00952473278485234
ilvB,ilvB,0.00951946375234784
rfaI,rfaI,0.009517170747791957
yifO,yifO,0.00951618919572889
ydfT,ydfT,0.009514079454596187
nudD,nudD,0.009487643355639931
ydaC,ydaC,0.009483052311377225
sfcA,sfcA,0.009471981049294812
