gene,gene_clean,coordination_score
glmU,glmU,0.0
glnD,glnD,0.0
glnE,glnE,0.0
glnH,glnH,0.0
glnL,glnL,0.0
glnP,glnP,0.0
glnS,glnS,0.0
gloB,gloB,0.0
glpD,glpD,0.0
glpF,glpF,0.0
glpK,glpK,0.0
glpQ,glpQ,0.0
glpT,glpT,0.0
gltA,gltA,0.0
gltF,gltF,0.0
gltI,gltI,0.0
gltX,gltX,0.0
glvG,glvG,0.0
gmk,gmk,0.0
gmr,gmr,0.0
fliY,fliY,0.0
fliC,fliC,0.0
ddpF,ddpF,0.0
ebgR,ebgR,0.0
dnaN,dnaN,0.0
dnaQ,dnaQ,0.0
dnaX,dnaX,0.0
dppA,dppA,0.0
dps,dps,0.0
dsbC,dsbC,0.0
dsbG,dsbG,0.0
dsdA,dsdA,0.0
dsdC,dsdC,0.0
dusA,dusA,0.0
dusB,dusB,0.0
eamA,eamA,0.0
ebgA,ebgA,0.0
ecfK,ecfK,0.0
fliA,fliA,0.0
ecnA,ecnA,0.0
ecnB,ecnB,0.0
edd,edd,0.0
elaB,elaB,0.0
elaC,elaC,0.0
emrK,emrK,0.0
emrY,emrY,0.0
emtA,emtA,0.0
eno,eno,0.0
entD,entD,0.0
envR,envR,0.0
envZ,envZ,0.0
epd,epd,0.0
dnaK,dnaK,0.0
dnaJ,dnaJ,0.0
dnaG,dnaG,0.0
dnaE,dnaE,0.0
ddpX,ddpX,0.0
deaD,deaD,0.0
dedA,dedA,0.0
dedD,dedD,0.0
def,def,0.0
degP,degP,0.0
degQ,degQ,0.0
degS,degS,0.0
deoA,deoA,0.0
deoB,deoB,0.0
deoD,deoD,0.0
der,der,0.0
dgoD,dgoD,0.0
dgsA,dgsA,0.0
dgt,dgt,0.0
dhaR,dhaR,0.0
diaA,diaA,0.0
dinF,dinF,0.0
dinG,dinG,0.0
djlB,djlB,0.0
dkgA,dkgA,0.0
dkgB,dkgB,0.0
dld,dld,0.0
dmsB,dmsB,0.0
dmsD,dmsD,0.0
dnaA,dnaA,0.0
dnaC,dnaC,0.0
eptB,eptB,0.0
era,era,0.0
erfK,erfK,0.0
fdrA,fdrA,0.0
feoB,feoB,0.0
fepA,fepA,0.0
fepC,fepC,0.0
fepE,fepE,0.0
ffh,ffh,0.0
fhlA,fhlA,0.0
fhuA,fhuA,0.0
fhuE,fhuE,0.0
fic,fic,0.0
fieF,fieF,0.0
fimA,fimA,0.0
fimB,fimB,0.0
fimC,fimC,0.0
fimH,fimH,0.0
fimI,fimI,0.0
fis,fis,0.0
fiu,fiu,0.0
fixA,fixA,0.0
fixX,fixX,0.0
fkpA,fkpA,0.0
fkpB,fkpB,0.0
flgF,flgF,0.0
flgK,flgK,0.0
flgL,flgL,0.0
flgM,flgM,0.0
flgN,flgN,0.0
flhC,flhC,0.0
feaR,feaR,0.0
fdoI,fdoI,0.0
essD,essD,0.0
fdoG,fdoG,0.0
etk,etk,0.0
eutA,eutA,0.0
eutE,eutE,0.0
eutG,eutG,0.0
eutH,eutH,0.0
evgA,evgA,0.0
exbB,exbB,0.0
exbD,exbD,0.0
exuR,exuR,0.0
exuT,exuT,0.0
fabB,fabB,0.0
fabD,fabD,0.0
fabF,fabF,0.0
fabG,fabG,0.0
fabI,fabI,0.0
fabZ,fabZ,0.0
fadB,fadB,0.0
fadD,fadD,0.0
fadE,fadE,0.0
fadJ,fadJ,0.0
fadL,fadL,0.0
fadR,fadR,0.0
fbaA,fbaA,0.0
fbaB,fbaB,0.0
fdhD,fdhD,0.0
fdhF,fdhF,0.0
fdnI,fdnI,0.0
rplJ,rplJ,0.0
rplL,rplL,0.0
rplM,rplM,0.0
ygaQ,ygaQ,0.0
yfjD,yfjD,0.0
yfjH,yfjH,0.0
yfjI,yfjI,0.0
yfjJ,yfjJ,0.0
yfjK,yfjK,0.0
yfjM,yfjM,0.0
yfjN,yfjN,0.0
yfjO,yfjO,0.0
yfjU,yfjU,0.0
yfp_AR,AR,0.0
ygaC,ygaC,0.0
ygaM,ygaM,0.0
ygaP,ygaP,0.0
ygaT,ygaT,0.0
ygdI,ygdI,0.0
ygaU,ygaU,0.0
ygbF,ygbF,0.0
ygbM,ygbM,0.0
ygbN,ygbN,0.0
ygbT,ygbT,0.0
ygcB,ygcB,0.0
ygcE,ygcE,0.0
ygcG,ygcG,0.0
ygcL,ygcL,0.0
ygcP,ygcP,0.0
ygcS,ygcS,0.0
ygcU,ygcU,0.0
ygdE,ygdE,0.0
yfiR,yfiR,0.0
yfiQ,yfiQ,0.0
yfiO,yfiO,0.0
yfiL,yfiL,0.0
yfdV,yfdV,0.0
yfdX,yfdX,0.0
yfdY,yfdY,0.0
yfeC,yfeC,0.0
yfeO,yfeO,0.0
yfeS,yfeS,0.0
yfeT,yfeT,0.0
yfeY,yfeY,0.0
yffQ,yffQ,0.0
yffR,yffR,0.0
yfgA,yfgA,0.0
yfgB,yfgB,0.0
yfgC,yfgC,0.0
yfgD,yfgD,0.0
yfgF,yfgF,0.0
yfgH,yfgH,0.0
yfgI,yfgI,0.0
yfgL,yfgL,0.0
yfgM,yfgM,0.0
yfhA,yfhA,0.0
yfhD,yfhD,0.0
yfhH,yfhH,0.0
yfhL,yfhL,0.0
yfhM,yfhM,0.0
yfhQ,yfhQ,0.0
yfiE,yfiE,0.0
yfiF,yfiF,0.0
ygdH,ygdH,0.0
ygeD,ygeD,0.0
ydiK,ydiK,0.0
yhbX,yhbX,0.0
ygjH,ygjH,0.0
ygjK,ygjK,0.0
ygjN,ygjN,0.0
ygjR,ygjR,0.0
yhaK,yhaK,0.0
yhaV,yhaV,0.0
yhbC,yhbC,0.0
yhbE,yhbE,0.0
yhbN,yhbN,0.0
yhbO,yhbO,0.0
yhbS,yhbS,0.0
yhbT,yhbT,0.0
yhbW,yhbW,0.0
yhcA,yhcA,0.0
ygeQ,ygeQ,0.0
yhcB,yhcB,0.0
yhcD,yhcD,0.0
yhcE,yhcE,0.0
yhcF,yhcF,0.0
yhcG,yhcG,0.0
yhcH,yhcH,0.0
yhcM,yhcM,0.0
yhdA,yhdA,0.0
yhdH,yhdH,0.0
yhdL,yhdL,0.0
yhdN,yhdN,0.0
yhdW,yhdW,0.0
yhdY,yhdY,0.0
ygjG,ygjG,0.0
ygiW,ygiW,0.0
ygiT,ygiT,0.0
ygiS,ygiS,0.0
ygeR,ygeR,0.0
ygeV,ygeV,0.0
ygeX,ygeX,0.0
ygeY,ygeY,0.0
ygfG,ygfG,0.0
ygfI,ygfI,0.0
ygfJ,ygfJ,0.0
ygfO,ygfO,0.0
ygfQ,ygfQ,0.0
ygfT,ygfT,0.0
