file_name,category,GMP_Cor,mode,eigenvalue,threshold_scr,above_threshold,participation_ratio,shannon_entropy,norm_entropy,effective_n_genes,n_genes_kept
sample_13b_filtered.csv,r,24.275396,1,14.258587122087865,6.502535255555692,True,687.0319260666544,6.8751847626680895,0.9031634975871717,967.9541908629424,2023
sample_13b_filtered.csv,r,24.275396,2,12.09296826270188,6.502535255555692,True,580.9866172213078,6.746445112596743,0.8862515226148128,851.028069866813,2023
sample_13b_filtered.csv,r,24.275396,3,8.859420815232266,6.502535255555692,True,26.19797542894077,4.2484006744079394,0.5580941523324136,69.99338057809712,2023
sample_13b_filtered.csv,r,24.275396,4,8.260371090944759,6.502535255555692,True,127.30966921612315,6.069795099925914,0.7973629162453416,432.59203435298724,2023
sample_13b_filtered.csv,r,24.275396,5,7.888706052986479,6.502535255555692,True,136.16805035583377,5.901146608895639,0.7752082882201027,365.45626312452646,2023
sample_15a_filtered.csv,d,0.0,1,6.094979017903905,6.500718957164419,False,18.8464620618079,3.923171593398429,0.5160098587244628,50.56054825335736,2004
sample_15a_filtered.csv,d,0.0,2,5.956931377497044,6.500718957164419,False,25.911733924869356,4.507061689753233,0.5928081936832613,90.6550541097611,2004
sample_15a_filtered.csv,d,0.0,3,5.842413627417047,6.500718957164419,False,53.3904717490743,5.0829183871789265,0.6685499057165004,161.243942193658,2004
sample_15a_filtered.csv,d,0.0,4,5.680795426570622,6.500718957164419,False,113.37609400922241,6.0781052214787294,0.7994455868117663,436.20190519978644,2004
sample_15a_filtered.csv,d,0.0,5,5.644900313460804,6.500718957164419,False,104.49463571129901,5.660513944580885,0.7445203278301765,287.29625897488455,2004
sample_15b_filtered.csv,r,34.36815,1,17.281707289680952,6.5174733914777665,True,662.1093484185384,6.885337538298989,0.9044972241218842,977.8316696502734,2023
sample_15b_filtered.csv,r,34.36815,2,11.145927154640749,6.5174733914777665,True,380.1682525371659,6.586551841043796,0.8652470301740347,725.2756873900616,2023
sample_15b_filtered.csv,r,34.36815,3,8.880147000524845,6.5174733914777665,True,98.9229956626787,5.772832066060396,0.7583521577597769,321.44680334759397,2023
sample_15b_filtered.csv,r,34.36815,4,8.211385090612666,6.5174733914777665,True,15.012445138321677,3.287606840224223,0.4318787923535204,26.77870120045701,2023
sample_15b_filtered.csv,r,34.36815,5,7.936975928770737,6.5174733914777665,True,201.12433298294206,6.188096197909841,0.812903623457129,486.9182273069104,2023
sample_2b_filtered.csv,r,33.99985,1,19.408975736238933,6.198898782352642,True,490.2521051313799,6.808832390139431,0.8917001631571193,905.8125535848759,2071
sample_2b_filtered.csv,r,33.99985,2,9.524443976902507,6.198898782352642,True,80.17947084362953,5.604104132140949,0.7339262126963944,271.5385537733431,2071
sample_2b_filtered.csv,r,33.99985,3,8.41650850119475,6.198898782352642,True,20.545896659684274,3.71152386452905,0.4860695998854398,40.91610965233829,2071
sample_2b_filtered.csv,r,33.99985,4,8.284501213298956,6.198898782352642,True,135.96036354227445,6.088968654381415,0.7974251724030628,440.9663877911405,2071
sample_2b_filtered.csv,r,33.99985,5,7.624198238899461,6.198898782352642,True,146.26665974326767,6.075930387800993,0.7957176513817072,435.25426945465,2071
