,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C
gadC,65.0,68.0,66.0
gadE,9.0,5.0,9.0
gadW,79.0,67.0,73.0
gadX,184.0,168.0,187.0
galE,90.0,84.0,80.0
galF,125.0,161.0,114.0
galP,29.0,26.0,35.0
galR,55.0,41.0,28.0
galS,71.0,83.0,98.0
galU,67.0,82.0,82.0
gapA,172.0,187.0,187.0
gapC,11.0,8.0,7.0
garD,135.0,150.0,156.0
garK,32.0,30.0,29.0
garL,15.0,8.0,13.0
garP,41.0,34.0,43.0
garR,19.0,19.0,12.0
gatA,62.0,56.0,64.0
gatB,32.0,33.0,32.0
gatC,33.0,30.0,35.0
gatD,103.0,111.0,130.0
gatR,52.0,46.0,60.0
gatY,1.0,0.0,0.0
gatZ,101.0,105.0,109.0
gcd,33.0,42.0,42.0
gcl,96.0,106.0,78.0
gcvA,72.0,84.0,69.0
gcvH,54.0,54.0,54.0
gcvP,21.0,15.0,20.0
gcvR,82.0,84.0,88.0
gcvT,38.0,36.0,24.0
gdhA,41.0,39.0,27.0
gfcD,32.0,37.0,38.0
ggt,34.0,31.0,34.0
ghrB,125.0,118.0,115.0
gidA,163.0,194.0,181.0
gidB,79.0,74.0,74.0
glcA,32.0,35.0,44.0
glcB,50.0,47.0,44.0
glcC,57.0,50.0,68.0
glcD,5.0,2.0,0.0
glcE,3.0,1.0,12.0
glcF,40.0,37.0,25.0
glcG,1.0,0.0,0.0
gldA,52.0,50.0,52.0
glf,117.0,106.0,114.0
glgA,192.0,184.0,198.0
glgB,114.0,89.0,97.0
glgC,162.0,168.0,138.0
glgP,92.0,78.0,109.0
glgS,4.0,1.0,3.0
glgX,21.0,25.0,34.0
glk,41.0,38.0,34.0
glmM,102.0,85.0,99.0
glmS,132.0,137.0,146.0
glmU,11.0,9.0,17.0
glnA,40.0,47.0,42.0
glnB,21.0,22.0,29.0
glnD,67.0,59.0,43.0
glnE,169.0,155.0,157.0
glnG,19.0,15.0,14.0
glnH,155.0,173.0,183.0
glnK,98.0,98.0,109.0
glnL,80.0,78.0,73.0
glnP,13.0,12.0,17.0
glnQ,0.0,1.0,0.0
glnS,220.0,211.0,223.0
gloA,7.0,11.0,5.0
gloB,105.0,129.0,113.0
glpA,98.0,100.0,96.0
glpB,2.0,1.0,0.0
glpC,14.0,10.0,16.0
glpD,927.0,872.0,870.0
glpE,1.0,1.0,1.0
glpF,11.0,23.0,13.0
glpG,2.0,2.0,0.0
glpK,58.0,67.0,73.0
glpQ,100.0,113.0,100.0
glpR,126.0,103.0,99.0
glpT,58.0,53.0,51.0
glpX,3.0,1.0,0.0
gltA,143.0,134.0,133.0
gltB,85.0,91.0,93.0
gltD,2.0,0.0,0.0
gltF,90.0,78.0,104.0
gltI,78.0,68.0,69.0
gltJ,18.0,18.0,19.0
gltK,17.0,16.0,24.0
gltL,0.0,1.0,0.0
gltP,19.0,25.0,20.0
gltS,1.0,1.0,5.0
gltX,39.0,36.0,30.0
glvC,6.0,6.0,1.0
glvG,8.0,16.0,14.0
glxK,23.0,22.0,21.0
glxR,7.0,11.0,12.0
glyA,6.0,10.0,7.0
glyQ,0.0,0.0,0.0
glyS,1.0,3.0,2.0
gmd,23.0,30.0,37.0
gmhB,44.0,56.0,44.0
gmk,73.0,76.0,80.0
gmr,70.0,73.0,68.0
gnd,297.0,281.0,264.0
gnsA,8.0,3.0,6.0
gnsB,17.0,20.0,20.0
gntK,51.0,45.0,52.0
gntP,50.0,28.0,49.0
gntR,40.0,35.0,38.0
gntT,5.0,6.0,7.0
gntU,48.0,44.0,43.0
gntX,10.0,11.0,6.0
gntY,0.0,2.0,3.0
gor,86.0,84.0,72.0
gph,81.0,83.0,75.0
gpmA,17.0,24.0,26.0
gpmI,16.0,9.0,10.0
gpp,10.0,16.0,13.0
gpsA,11.0,9.0,7.0
greA,50.0,54.0,49.0
greB,6.0,8.0,6.0
groL,194.0,214.0,223.0
groS,132.0,105.0,122.0
grpE,3.0,1.0,2.0
grxA,49.0,43.0,44.0
grxB,95.0,123.0,89.0
grxC,0.0,0.0,0.0
grxD,34.0,34.0,29.0
gshA,255.0,300.0,287.0
gshB,17.0,22.0,18.0
gsk,137.0,139.0,141.0
gspA,48.0,58.0,50.0
gspC,89.0,74.0,78.0
gspD,75.0,62.0,82.0
gspE,53.0,68.0,64.0
gspF,22.0,22.0,27.0
gspG,14.0,12.0,9.0
gspH,45.0,37.0,39.0
gspI,45.0,53.0,41.0
gspJ,29.0,19.0,19.0
gspK,110.0,126.0,118.0
gspL,81.0,93.0,92.0
gspM,30.0,38.0,27.0
gspO,54.0,56.0,53.0
gss,104.0,80.0,87.0
gst,21.0,13.0,22.0
guaA,73.0,70.0,67.0
guaB,255.0,238.0,233.0
guaC,300.0,256.0,285.0
guaD,83.0,55.0,77.0
gudD,8.0,10.0,17.0
gudP,37.0,50.0,37.0
gudX,75.0,70.0,59.0
gutM,21.0,17.0,16.0
gutQ,0.0,0.0,0.0
gyrA,63.0,64.0,64.0
gyrB,127.0,153.0,145.0
hcaC,1.0,9.0,4.0
hcaD,9.0,4.0,14.0
hcaE,27.0,34.0,25.0
hcaF,26.0,31.0,33.0
hcaR,44.0,41.0,38.0
hcaT,31.0,48.0,24.0
hchA,94.0,66.0,99.0
hcp,24.0,23.0,37.0
hcr,3.0,1.0,4.0
hda,0.0,0.0,2.0
hdeA,6.0,5.0,2.0
hdeB,19.0,19.0,18.0
hdeD,31.0,37.0,55.0
hdfR,99.0,72.0,86.0
hdhA,293.0,251.0,243.0
helD,168.0,147.0,153.0
hemA,3.0,4.0,1.0
hemB,21.0,37.0,37.0
hemC,17.0,14.0,10.0
hemD,0.0,1.0,0.0
hemE,0.0,0.0,0.0
hemF,9.0,4.0,4.0
hemG,33.0,31.0,47.0
hemH,113.0,118.0,120.0
hemL,29.0,23.0,32.0
hemN,0.0,1.0,0.0
hemX,188.0,183.0,175.0
hemY,3.0,5.0,3.0
hepA,52.0,55.0,59.0
hflC,100.0,114.0,115.0
hflD,2.0,0.0,1.0
hflK,2.0,1.0,2.0
hflX,161.0,175.0,190.0
hfq,161.0,167.0,167.0
hha,5.0,7.0,7.0
hinT,28.0,46.0,27.0
hipA,86.0,105.0,113.0
hipB,2.0,2.0,15.0
hisA,1.0,0.0,0.0
hisB,15.0,9.0,22.0
hisC,66.0,60.0,54.0
hisD,0.0,1.0,2.0
hisF,4.0,5.0,2.0
hisG,45.0,43.0,47.0
hisH,0.0,0.0,0.0
hisI,6.0,3.0,7.0
hisJ,161.0,137.0,153.0
hisL,52.0,51.0,50.0
hisM,46.0,51.0,44.0
hisP,1.0,3.0,2.0
hisQ,43.0,44.0,44.0
hisS,47.0,73.0,66.0
hlpA,1.0,0.0,2.0
hlyE,98.0,85.0,111.0
hmp,36.0,31.0,37.0
hns,157.0,183.0,183.0
hofB,54.0,50.0,50.0
hofC,39.0,26.0,37.0
hofQ,13.0,13.0,18.0
hokA,14.0,3.0,5.0
hokB,7.0,1.0,1.0
hokC,346.0,272.0,342.0
hokD,109.0,105.0,118.0
hokE,39.0,38.0,45.0
holA,1.0,3.0,1.0
holB,54.0,58.0,60.0
holC,6.0,6.0,4.0
holD,0.0,0.0,0.0
holE,4.0,3.0,4.0
hpf,23.0,23.0,18.0
hpt,3.0,2.0,2.0
hrpA,94.0,74.0,78.0
hrpB,31.0,34.0,25.0
hscA,120.0,112.0,122.0
hscB,58.0,66.0,42.0
hscC,109.0,87.0,100.0
hsdM,55.0,35.0,40.0
hsdR,165.0,178.0,163.0
hsdS,75.0,74.0,75.0
hslJ,132.0,114.0,120.0
hslO,150.0,135.0,152.0
hslR,21.0,17.0,17.0
hslU,15.0,33.0,23.0
hslV,50.0,42.0,59.0
hspQ,51.0,59.0,55.0
hsrA,35.0,29.0,28.0
htgA,5.0,8.0,12.0
htpG,75.0,73.0,79.0
htpX,0.0,1.0,1.0
htrC,89.0,79.0,70.0
htrE,61.0,63.0,68.0
htrG,42.0,49.0,48.0
htrL,100.0,104.0,112.0
hupA,0.0,2.0,3.0
hupB,490.0,559.0,538.0
hyaA,24.0,34.0,23.0
hyaB,1.0,1.0,0.0
hyaC,42.0,23.0,43.0
hyaD,0.0,0.0,0.0
hyaE,0.0,0.0,0.0
hyaF,28.0,10.0,14.0
hybA,0.0,0.0,0.0
hybB,49.0,46.0,38.0
hybC,75.0,100.0,81.0
hybD,2.0,5.0,2.0
hybE,6.0,7.0,3.0
hybF,14.0,7.0,7.0
hybG,1.0,1.0,0.0
hybO,85.0,83.0,111.0
hycA,17.0,30.0,22.0
hycB,6.0,6.0,10.0
hycC,36.0,57.0,59.0
hycD,0.0,0.0,0.0
hycE,22.0,27.0,21.0
hycF,0.0,0.0,0.0
hycG,13.0,8.0,9.0
hycH,22.0,26.0,29.0
hycI,133.0,156.0,164.0
hydN,0.0,2.0,0.0
hyfA,3.0,6.0,1.0
hyfB,28.0,36.0,35.0
hyfC,33.0,41.0,34.0
hyfD,17.0,12.0,25.0
hyfE,1.0,4.0,2.0
hyfF,20.0,19.0,31.0
hyfG,9.0,16.0,28.0
hyfH,3.0,1.0,6.0
hyfI,0.0,2.0,0.0
hyfJ,51.0,51.0,49.0
hyfR,63.0,68.0,35.0
hyi,175.0,156.0,144.0
hypA,0.0,0.0,0.0
hypB,11.0,15.0,18.0
hypC,4.0,2.0,2.0
hypD,11.0,13.0,11.0
hypE,1.0,0.0,1.0
hypF,2.0,0.0,0.0
hyuA,34.0,25.0,22.0
iaaA,0.0,0.0,3.0
iadA,1.0,2.0,1.0
iap,39.0,32.0,26.0
ibpA,168.0,192.0,167.0
ibpB,1.0,0.0,1.0
icd,295.0,291.0,304.0
icdC,95.0,91.0,120.0
iclR,2.0,0.0,1.0
idi,36.0,25.0,24.0
idnD,61.0,48.0,57.0
idnK,148.0,121.0,153.0
idnO,65.0,54.0,51.0
idnR,46.0,44.0,39.0
idnT,111.0,89.0,112.0
ihfA,271.0,273.0,269.0
ihfB,44.0,62.0,44.0
ileS,42.0,31.0,40.0
ilvA,21.0,18.0,21.0
ilvB,52.0,55.0,70.0
ilvC,93.0,87.0,95.0
ilvD,111.0,91.0,111.0
ilvE,0.0,1.0,1.0
ilvG,11.0,10.0,12.0
ilvH,83.0,65.0,59.0
ilvI,97.0,71.0,94.0
ilvL,0.0,0.0,0.0
ilvM,40.0,35.0,32.0
ilvN,14.0,14.0,15.0
ilvY,0.0,0.0,0.0
imp,346.0,270.0,360.0
inaA,84.0,87.0,87.0
infA,6.0,1.0,1.0
infB,600.0,629.0,584.0
infC,3.0,8.0,6.0
insA-7,24.0,24.0,39.0
insC-2,38.0,52.0,53.0
insD-2,5.0,6.0,5.0
insE-4,191.0,200.0,188.0
insF-4,34.0,38.0,29.0
insG,92.0,89.0,72.0
insH-1,571.0,602.0,638.0
insH-5,1.0,0.0,0.0
insH-6,104.0,97.0,82.0
insI-1,96.0,95.0,119.0
insI-2,8.0,12.0,9.0
insJ,258.0,296.0,270.0
insK,176.0,161.0,172.0
insL-3,157.0,166.0,128.0
insM,104.0,110.0,112.0
insN-1,1.0,1.0,2.0
insN-2,45.0,43.0,48.0
insO-1,3.0,5.0,6.0
insO-2,72.0,67.0,79.0
intA,94.0,101.0,91.0
intB,135.0,133.0,135.0
intD,116.0,112.0,125.0
intE,81.0,99.0,86.0
intF,53.0,36.0,41.0
intG,69.0,64.0,60.0
intQ,111.0,126.0,111.0
intR,48.0,44.0,47.0
intS,67.0,54.0,58.0
intZ,23.0,23.0,15.0
iraP,75.0,50.0,80.0
iscA,73.0,61.0,74.0
iscR,105.0,117.0,100.0
iscS,9.0,16.0,20.0
iscU,541.0,469.0,505.0
ispA,0.0,0.0,0.0
ispB,72.0,61.0,69.0
ispD,51.0,45.0,48.0
ispE,121.0,108.0,104.0
ispF,40.0,40.0,31.0
ispG,42.0,54.0,62.0
ispH,61.0,46.0,52.0
ispU,138.0,142.0,148.0
ivbL,62.0,72.0,56.0
ivy,51.0,55.0,55.0
kanR,7311.0,7341.0,7424.0
katE,119.0,114.0,99.0
katG,132.0,141.0,160.0
kbaY,16.0,17.0,12.0
kbaZ,2.0,1.0,1.0
kbl,6.0,10.0,12.0
kch,93.0,127.0,105.0
kdgK,1.0,1.0,2.0
kdgR,18.0,29.0,30.0
kdgT,31.0,22.0,35.0
kdpA,31.0,42.0,42.0
kdpB,7.0,4.0,2.0
kdpC,14.0,10.0,11.0
kdpD,52.0,63.0,70.0
kdpE,1.0,2.0,0.0
kdpF,0.0,0.0,0.0
kdsA,63.0,72.0,81.0
kdsB,8.0,16.0,15.0
kdsC,22.0,7.0,20.0
kdsD,62.0,60.0,63.0
kdtA,33.0,27.0,24.0
kduD,33.0,34.0,37.0
kduI,39.0,42.0,44.0
kefA,93.0,95.0,99.0
kefB,67.0,81.0,57.0
kefC,19.0,15.0,21.0
kefF,10.0,9.0,8.0
kefG,20.0,20.0,16.0
kgtP,751.0,726.0,760.0
kil,12.0,21.0,39.0
kptA,90.0,88.0,83.0
ksgA,58.0,44.0,53.0
lafU,9.0,6.0,8.0
lamB,24.0,30.0,27.0
lar,14.0,8.0,14.0
ldcA,49.0,51.0,42.0
ldcC,37.0,41.0,49.0
ldhA,93.0,91.0,98.0
ldrB,26.0,28.0,27.0
ldrC,14.0,13.0,14.0
ldrD,44.0,38.0,41.0
lepA,204.0,194.0,236.0
lepB,21.0,21.0,24.0
leuA,57.0,35.0,66.0
leuB,3.0,4.0,5.0
leuC,72.0,85.0,78.0
leuD,9.0,2.0,7.0
leuL,6.0,1.0,0.0
leuO,54.0,51.0,60.0
leuS,133.0,170.0,114.0
lfhA,1.0,2.0,0.0
lgt,14.0,19.0,10.0
lhr,22.0,25.0,20.0
ligA,146.0,153.0,139.0
ligB,80.0,94.0,67.0
ligT,0.0,0.0,0.0
lipA,0.0,1.0,2.0
lipB,22.0,14.0,21.0
lit,190.0,183.0,197.0
livF,0.0,0.0,0.0
livG,42.0,46.0,49.0
livH,63.0,38.0,24.0
livJ,86.0,89.0,82.0
livK,59.0,67.0,60.0
livM,0.0,0.0,1.0
lldD,102.0,110.0,129.0
lldP,22.0,17.0,25.0
lldR,6.0,10.0,7.0
lnt,0.0,0.0,1.0
lolA,148.0,176.0,182.0
lolB,35.0,36.0,21.0
lolC,19.0,18.0,18.0
lolD,37.0,26.0,24.0
lolE,23.0,27.0,36.0
lomR,58.0,38.0,67.0
lon,193.0,194.0,200.0
lpcA,33.0,56.0,45.0
lpd,86.0,90.0,97.0
lplA,43.0,37.0,31.0
lpp,87.0,70.0,69.0
lpxA,65.0,71.0,72.0
lpxB,36.0,48.0,51.0
lpxC,130.0,180.0,153.0
lpxD,32.0,44.0,43.0
lpxH,0.0,0.0,0.0
lpxK,73.0,73.0,75.0
lpxL,18.0,33.0,36.0
lpxM,27.0,18.0,24.0
lpxP,67.0,51.0,66.0
lrhA,249.0,245.0,255.0
lrp,146.0,142.0,156.0
lspA,53.0,55.0,43.0
lsrA,57.0,54.0,40.0
lsrB,46.0,50.0,64.0
lsrC,0.0,1.0,2.0
lsrD,102.0,110.0,86.0
lsrF,73.0,82.0,76.0
lsrG,21.0,26.0,33.0
lsrK,124.0,94.0,111.0
lsrR,7.0,5.0,7.0
ltaE,3.0,2.0,3.0
luxS,196.0,195.0,206.0
lysA,41.0,44.0,44.0
lysC,14.0,6.0,16.0
lysP,32.0,28.0,23.0
lysR,52.0,38.0,48.0
lysS,121.0,134.0,130.0
lysT--lysQoperon,4713.0,4777.0,4817.0
lysU,88.0,82.0,70.0
lyxK,31.0,38.0,32.0
mCherry,6318.0,6657.0,6504.0
maa,19.0,21.0,21.0
macA,38.0,34.0,33.0
macB,30.0,36.0,26.0
maeB,58.0,58.0,57.0
mak,49.0,33.0,29.0
malF,59.0,46.0,63.0
malG,18.0,16.0,24.0
malI,11.0,9.0,9.0
malK,35.0,34.0,33.0
malM,15.0,12.0,6.0
malP,36.0,33.0,51.0
malQ,72.0,73.0,74.0
malS,18.0,32.0,21.0
malT,82.0,83.0,77.0
malX,54.0,45.0,45.0
malY,134.0,108.0,113.0
malZ,133.0,145.0,110.0
manA,9.0,9.0,7.0
manX,16.0,24.0,11.0
manY,52.0,40.0,53.0
manZ,63.0,61.0,61.0
maoC,33.0,55.0,35.0
map,26.0,22.0,27.0
marA,14.0,12.0,8.0
marB,16.0,18.0,12.0
marC,29.0,33.0,25.0
marR,43.0,29.0,39.0
mazG,66.0,92.0,92.0
mcrA,218.0,173.0,243.0
mcrB,62.0,56.0,52.0
mcrC,62.0,66.0,79.0
mdaB,25.0,14.0,23.0
mdh,50.0,74.0,74.0
mdlA,44.0,40.0,44.0
mdlB,14.0,24.0,26.0
mdoB,45.0,48.0,61.0
mdoC,69.0,71.0,68.0
mdoD,108.0,119.0,115.0
mdoG,166.0,165.0,156.0
mdoH,37.0,44.0,38.0
mdtA,41.0,41.0,38.0
mdtB,75.0,93.0,110.0
mdtC,54.0,50.0,49.0
mdtD,5.0,14.0,10.0
mdtE,4.0,3.0,10.0
mdtF,123.0,128.0,127.0
mdtG,63.0,53.0,57.0
mdtH,0.0,0.0,0.0
mdtI,40.0,61.0,47.0
mdtJ,4.0,3.0,1.0
mdtK,28.0,36.0,30.0
mdtL,14.0,18.0,17.0
mdtQ,73.0,71.0,91.0
melA,44.0,57.0,65.0
melB,124.0,101.0,113.0
melR,42.0,46.0,30.0
menA,14.0,19.0,15.0
menB,5.0,4.0,5.0
menC,27.0,21.0,13.0
menD,0.0,0.0,0.0
menE,7.0,14.0,8.0
menF,6.0,7.0,4.0
mepA,0.0,0.0,1.0
metA,64.0,83.0,74.0
metB,0.0,0.0,0.0
metC,72.0,70.0,65.0
metE,107.0,94.0,121.0
metF,73.0,43.0,71.0
metG,49.0,38.0,53.0
metH,139.0,133.0,118.0
metI,76.0,86.0,74.0
metJ,0.0,0.0,1.0
metK,46.0,53.0,49.0
metL,1.0,2.0,0.0
metN,0.0,0.0,0.0
metQ,51.0,38.0,49.0
metR,2.0,0.0,1.0
mfd,87.0,98.0,106.0
mglA,103.0,91.0,76.0
mglB,63.0,61.0,64.0
mglC,23.0,23.0,23.0
mgsA,1.0,0.0,7.0
mgtA,595.0,619.0,618.0
mhpA,42.0,41.0,38.0
mhpB,0.0,1.0,0.0
mhpC,30.0,38.0,18.0
mhpD,6.0,11.0,14.0
mhpE,6.0,6.0,3.0
mhpF,53.0,55.0,48.0
mhpR,0.0,0.0,1.0
mhpT,1.0,0.0,1.0
miaA,129.0,132.0,125.0
miaB,78.0,79.0,80.0
minC,0.0,1.0,4.0
minD,250.0,277.0,253.0
minE,2.0,2.0,2.0
mioC,5.0,2.0,3.0
mipA,55.0,72.0,78.0
mlrA,12.0,17.0,15.0
mltA,60.0,37.0,30.0
mltB,2.0,0.0,1.0
mltC,84.0,86.0,68.0
mltD,279.0,318.0,297.0
mmuM,0.0,1.0,0.0
mmuP,44.0,33.0,35.0
mngA,27.0,28.0,24.0
mngB,63.0,70.0,62.0
mngR,53.0,43.0,66.0
mnmA,35.0,34.0,27.0
mnmC,25.0,29.0,18.0
mnmE,10.0,6.0,13.0
mntH,87.0,82.0,80.0
mntR,1.0,1.0,1.0
moaA,51.0,53.0,58.0
moaB,3.0,9.0,2.0
moaC,0.0,0.0,1.0
moaE,0.0,2.0,1.0
mobA,59.0,57.0,49.0
mobB,115.0,117.0,118.0
modA,397.0,422.0,416.0
modB,59.0,53.0,52.0
modC,0.0,0.0,0.0
modE,38.0,49.0,40.0
modF,16.0,23.0,17.0
moeA,40.0,49.0,39.0
moeB,3.0,1.0,0.0
mog,1.0,1.0,3.0
mokB,12.0,30.0,26.0
mokC,11.0,16.0,11.0
molR,394.0,433.0,400.0
motA,86.0,73.0,65.0
motB,164.0,174.0,189.0
mpaA,37.0,38.0,31.0
mpl,12.0,6.0,10.0
mppA,81.0,84.0,93.0
mprA,56.0,55.0,65.0
mqo,0.0,3.0,2.0
mqsR,4.0,4.0,2.0
mraW,0.0,0.0,0.0
mraY,22.0,39.0,25.0
mraZ,0.0,0.0,0.0
mrcA,37.0,51.0,57.0
mrcB,179.0,163.0,166.0
mrdA,38.0,55.0,44.0
mrdB,58.0,46.0,50.0
mreB,46.0,38.0,34.0
mreC,17.0,16.0,14.0
mreD,18.0,10.0,16.0
mrp,19.0,16.0,6.0
mrr,82.0,77.0,85.0
ms2_rev,11.0,12.0,10.0
msbA,211.0,229.0,211.0
mscL,44.0,42.0,37.0
mscS,91.0,116.0,107.0
msrA,15.0,20.0,18.0
msrB,81.0,93.0,73.0
msyB,3.0,5.0,3.0
mtgA,15.0,12.0,20.0
mtlA,112.0,80.0,105.0
mtlD,25.0,26.0,24.0
mtlR,19.0,17.0,18.0
mtn,1.0,1.0,0.0
mtr,37.0,36.0,40.0
mug,25.0,25.0,32.0
mukB,54.0,49.0,55.0
mukE,14.0,20.0,19.0
mukF,167.0,158.0,171.0
murA,1.0,6.0,1.0
murB,39.0,45.0,33.0
murC,13.0,15.0,5.0
murD,65.0,72.0,81.0
murE,0.0,2.0,2.0
murF,40.0,47.0,42.0
murG,23.0,15.0,19.0
murI,64.0,74.0,77.0
murP,2.0,0.0,0.0
mutH,106.0,113.0,119.0
mutL,52.0,52.0,44.0
mutM,7.0,6.0,12.0
mutS,121.0,113.0,109.0
mutT,15.0,11.0,5.0
mutY,123.0,120.0,96.0
mviM,0.0,0.0,2.0
nac,298.0,317.0,323.0
nadA,127.0,130.0,119.0
nadB,11.0,6.0,8.0
nadC,33.0,32.0,27.0
nadD,24.0,10.0,15.0
nadE,63.0,65.0,57.0
nadK,80.0,73.0,88.0
nadR,75.0,63.0,75.0
nagA,51.0,57.0,72.0
nagB,21.0,32.0,21.0
nagC,90.0,101.0,85.0
nagD,1.0,2.0,2.0
nagE,174.0,178.0,170.0
nagK,40.0,29.0,46.0
nagZ,52.0,51.0,69.0
nanA,54.0,64.0,49.0
nanE,11.0,3.0,15.0
nanK,0.0,3.0,0.0
nanR,0.0,1.0,1.0
nanT,13.0,14.0,8.0
napA,29.0,23.0,28.0
napB,70.0,70.0,60.0
napC,15.0,25.0,19.0
napD,49.0,32.0,51.0
napF,2.0,4.0,7.0
napG,8.0,5.0,6.0
napH,26.0,39.0,32.0
narG,2.0,2.0,2.0
narH,10.0,6.0,10.0
narI,3.0,2.0,0.0
narJ,7.0,8.0,11.0
narK,6.0,3.0,2.0
narL,62.0,52.0,61.0
narP,76.0,94.0,86.0
narQ,75.0,70.0,81.0
narU,37.0,37.0,39.0
narV,14.0,17.0,10.0
narW,16.0,14.0,17.0
narX,249.0,236.0,235.0
narY,3.0,10.0,12.0
narZ,53.0,40.0,48.0
ndh,75.0,73.0,73.0
ndk,149.0,162.0,176.0
nei,20.0,18.0,14.0
nemA,14.0,18.0,18.0
nepI,27.0,30.0,36.0
nfi,18.0,20.0,12.0
nfnB,8.0,10.0,16.0
nfo,9.0,10.0,14.0
nfrA,104.0,66.0,100.0
nfrB,34.0,37.0,34.0
nfsA,20.0,23.0,33.0
nhaA,36.0,44.0,46.0
nhaB,301.0,345.0,358.0
nhaR,192.0,212.0,200.0
nhoA,23.0,17.0,25.0
nikA,112.0,108.0,108.0
nikB,2.0,3.0,3.0
nikC,8.0,6.0,12.0
nikD,0.0,0.0,0.0
nikE,61.0,74.0,80.0
nikR,12.0,10.0,14.0
ninE,25.0,13.0,13.0
nirB,113.0,122.0,113.0
nirC,17.0,20.0,8.0
nirD,20.0,16.0,14.0
nlpA,68.0,62.0,65.0
nlpB,171.0,145.0,136.0
nlpC,5.0,9.0,19.0
nlpD,194.0,211.0,193.0
nlpE,24.0,34.0,36.0
nlpI,683.0,718.0,760.0
nmpC,107.0,96.0,88.0
norR,0.0,0.0,1.0
norV,32.0,29.0,46.0
norW,1.0,1.0,0.0
npr,33.0,38.0,54.0
nrdA,60.0,62.0,48.0
nrdB,34.0,24.0,27.0
nrdD,32.0,41.0,31.0
nrdE,90.0,79.0,97.0
nrdF,34.0,33.0,33.0
nrdG,40.0,28.0,35.0
nrdH,0.0,0.0,0.0
nrdI,46.0,44.0,29.0
nrdR,73.0,66.0,79.0
nrfA,34.0,34.0,38.0
nrfB,86.0,90.0,79.0
nrfC,0.0,0.0,1.0
nrfD,30.0,29.0,26.0
nrfE,0.0,0.0,0.0
nrfF,1.0,1.0,0.0
nrfG,8.0,7.0,6.0
nsrR,149.0,119.0,167.0
nth,21.0,26.0,20.0
nudB,411.0,383.0,372.0
nudC,73.0,88.0,124.0
nudD,26.0,16.0,29.0
nudE,42.0,39.0,43.0
nudF,22.0,17.0,27.0
nudG,0.0,0.0,0.0
nudH,90.0,76.0,79.0
nudI,53.0,59.0,57.0
nudJ,19.0,27.0,22.0
nudK,35.0,36.0,26.0
nuoA,16.0,14.0,10.0
nuoB,39.0,55.0,34.0
nuoC,93.0,112.0,108.0
nuoE,0.0,1.0,0.0
nuoF,5.0,21.0,7.0
nuoG,0.0,0.0,0.0
nuoH,9.0,11.0,15.0
nuoI,0.0,1.0,1.0
nuoJ,7.0,7.0,8.0
nuoK,6.0,6.0,3.0
nuoL,1.0,3.0,1.0
nuoM,54.0,49.0,45.0
nuoN,1.0,1.0,1.0
nupC,120.0,98.0,99.0
nupG,96.0,84.0,85.0
nusA,293.0,307.0,285.0
nusB,0.0,0.0,0.0
nusG,541.0,566.0,545.0
obgE,177.0,165.0,155.0
ogrK,6.0,6.0,7.0
ogt,39.0,32.0,38.0
ompA,299.0,358.0,339.0
ompC,136.0,191.0,154.0
ompF,273.0,251.0,277.0
ompG,48.0,33.0,46.0
ompL,72.0,83.0,87.0
ompN,48.0,54.0,55.0
ompR,1.0,2.0,1.0
ompT,471.0,483.0,462.0
ompW,82.0,78.0,72.0
ompX,0.0,0.0,1.0
oppA,181.0,243.0,187.0
oppB,90.0,98.0,98.0
oppC,24.0,40.0,37.0
oppD,99.0,130.0,112.0
oppF,0.0,1.0,0.0
orn,20.0,17.0,22.0
osmB,4.0,0.0,4.0
osmC,14.0,25.0,19.0
osmE,3.0,1.0,3.0
osmY,22.0,23.0,34.0
otsA,71.0,67.0,92.0
otsB,54.0,74.0,63.0
oxc,66.0,58.0,56.0
oxyR,30.0,19.0,28.0
paaA,19.0,20.0,20.0
paaB,6.0,6.0,5.0
paaC,14.0,11.0,20.0
paaD,0.0,1.0,1.0
paaE,37.0,34.0,31.0
paaF,0.0,1.0,0.0
paaG,43.0,55.0,51.0
paaH,56.0,67.0,59.0
paaI,21.0,30.0,16.0
paaJ,124.0,115.0,101.0
paaK,123.0,105.0,91.0
paaX,32.0,26.0,20.0
paaY,46.0,41.0,39.0
pabA,0.0,0.0,0.0
pabB,57.0,46.0,56.0
pabC,53.0,42.0,39.0
pal,5.0,4.0,5.0
panB,1.0,1.0,2.0
panC,36.0,36.0,29.0
panD,0.0,0.0,2.0
panE,24.0,48.0,27.0
panF,2.0,4.0,3.0
parC,107.0,116.0,105.0
parE,34.0,25.0,38.0
pbl,7.0,7.0,10.0
pbpC,1.0,0.0,0.0
pbpG,53.0,48.0,43.0
pck,99.0,133.0,114.0
pcm,5.0,4.0,6.0
pcnB,269.0,337.0,324.0
pdhR,43.0,46.0,53.0
pdxA,63.0,66.0,81.0
pdxB,46.0,49.0,39.0
pdxH,49.0,63.0,54.0
pdxJ,9.0,12.0,9.0
pdxK,0.0,1.0,0.0
pdxY,0.0,1.0,1.0
pepA,64.0,59.0,62.0
pepB,2.0,1.0,1.0
pepD,80.0,90.0,76.0
pepE,0.0,1.0,0.0
pepN,135.0,128.0,118.0
pepP,95.0,80.0,108.0
pepQ,28.0,32.0,36.0
pepT,184.0,199.0,198.0
perR,173.0,156.0,176.0
pfkA,23.0,32.0,13.0
pfkB,40.0,44.0,29.0
