,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
ddpF,88.0,82.0,84.0
ddpX,187.0,168.0,226.0
deaD,335.0,345.0,312.0
dedA,50.0,75.0,58.0
dedD,76.0,62.0,63.0
def,119.0,143.0,118.0
degP,209.0,247.0,237.0
degQ,266.0,229.0,243.0
degS,232.0,246.0,252.0
deoA,214.0,219.0,185.0
deoB,90.0,95.0,94.0
deoC,14.0,19.0,18.0
deoD,12.0,16.0,7.0
deoR,10.0,6.0,11.0
der,55.0,36.0,46.0
dfp,61.0,52.0,48.0
dgkA,0.0,0.0,2.0
dgoA,3.0,0.0,0.0
dgoD,239.0,251.0,248.0
dgoK,96.0,97.0,99.0
dgoR,1.0,1.0,0.0
dgoT,20.0,20.0,24.0
dgsA,193.0,206.0,211.0
dgt,233.0,216.0,232.0
dhaK,44.0,44.0,43.0
dhaL,42.0,45.0,44.0
dhaM,248.0,255.0,278.0
dhaR,181.0,187.0,172.0
diaA,390.0,360.0,345.0
dicA,6.0,4.0,5.0
dicB,5.0,2.0,2.0
dicC,49.0,64.0,58.0
dinB,1.0,0.0,0.0
dinD,219.0,264.0,249.0
dinF,88.0,97.0,93.0
dinG,246.0,264.0,295.0
dinI,13.0,27.0,16.0
dinJ,23.0,26.0,26.0
dipZ,149.0,121.0,122.0
djlA,1.0,0.0,1.0
djlB,303.0,324.0,297.0
djlC,161.0,156.0,169.0
dkgA,71.0,89.0,65.0
dkgB,248.0,217.0,200.0
dksA,2.0,2.0,3.0
dld,101.0,132.0,140.0
dmsA,146.0,135.0,152.0
dmsB,524.0,511.0,559.0
dmsC,0.0,0.0,0.0
dmsD,176.0,193.0,188.0
dnaA,296.0,299.0,295.0
dnaB,69.0,50.0,62.0
dnaC,321.0,322.0,324.0
dnaE,179.0,166.0,168.0
dnaG,193.0,221.0,240.0
dnaJ,96.0,157.0,110.0
dnaK,86.0,81.0,79.0
dnaN,95.0,101.0,112.0
dnaQ,108.0,126.0,89.0
dnaT,89.0,87.0,82.0
dnaX,361.0,348.0,326.0
dos,266.0,303.0,267.0
dppA,141.0,123.0,144.0
dppB,2.0,3.0,1.0
dppC,26.0,16.0,22.0
dppD,68.0,66.0,72.0
dppF,9.0,24.0,13.0
dps,10.0,20.0,19.0
dsbA,49.0,62.0,50.0
dsbB,30.0,40.0,29.0
dsbC,246.0,256.0,283.0
dsbG,277.0,244.0,295.0
dsdA,240.0,257.0,231.0
dsdC,121.0,122.0,127.0
dsdX,140.0,132.0,120.0
dsrB,1.0,0.0,1.0
dtd,8.0,8.0,14.0
dusA,212.0,206.0,234.0
dusB,55.0,62.0,77.0
dusC,70.0,90.0,68.0
dut,4.0,3.0,3.0
dxr,16.0,15.0,20.0
dxs,4.0,1.0,3.0
eaeH,124.0,122.0,117.0
eamA,184.0,176.0,155.0
ebgA,274.0,271.0,217.0
ebgC,121.0,134.0,115.0
ebgR,117.0,111.0,125.0
ecfK,185.0,179.0,196.0
ecnA,60.0,62.0,82.0
ecnB,37.0,44.0,42.0
eco,0.0,1.0,1.0
ecpD,146.0,177.0,173.0
