,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
yggT,60.0,64.0,81.0
yggU,2.0,2.0,1.0
yggV,26.0,16.0,22.0
yggW,89.0,75.0,89.0
yggX,23.0,22.0,23.0
yghA,22.0,22.0,12.0
yghB,173.0,175.0,173.0
yghD,77.0,83.0,69.0
yghE,0.0,1.0,3.0
yghF,175.0,161.0,177.0
yghG,0.0,0.0,7.0
yghJ,174.0,176.0,180.0
yghO,262.0,289.0,275.0
yghQ,28.0,23.0,26.0
yghR,76.0,81.0,82.0
yghS,67.0,78.0,85.0
yghT,62.0,54.0,63.0
yghU,23.0,22.0,13.0
yghW,115.0,131.0,144.0
yghX,51.0,50.0,47.0
yghY,63.0,60.0,64.0
yghZ,206.0,222.0,198.0
ygiA,0.0,0.0,0.0
ygiB,29.0,33.0,40.0
ygiC,204.0,233.0,208.0
ygiD,10.0,8.0,14.0
ygiF,85.0,70.0,66.0
ygiH,53.0,77.0,74.0
ygiL,133.0,169.0,157.0
ygiN,41.0,52.0,48.0
ygiP,24.0,27.0,19.0
ygiQ,33.0,35.0,33.0
ygiS,233.0,233.0,258.0
ygiT,18.0,14.0,13.0
ygiV,2.0,4.0,6.0
ygiW,50.0,65.0,53.0
ygiZ,18.0,10.0,15.0
ygjD,43.0,37.0,50.0
ygjE,6.0,0.0,3.0
ygjG,219.0,247.0,254.0
ygjH,58.0,58.0,55.0
ygjI,79.0,71.0,92.0
ygjJ,8.0,18.0,24.0
ygjK,100.0,121.0,117.0
ygjM,13.0,22.0,8.0
ygjN,82.0,72.0,72.0
ygjO,39.0,47.0,37.0
ygjP,102.0,100.0,93.0
ygjQ,40.0,30.0,30.0
ygjR,54.0,47.0,57.0
ygjV,54.0,64.0,70.0
yhaB,79.0,91.0,60.0
yhaC,89.0,89.0,63.0
yhaH,4.0,3.0,3.0
yhaI,58.0,60.0,57.0
yhaJ,21.0,36.0,37.0
yhaK,94.0,97.0,97.0
yhaL,1.0,1.0,2.0
yhaM,22.0,13.0,23.0
yhaO,142.0,170.0,134.0
yhaV,265.0,268.0,264.0
yhbC,27.0,41.0,39.0
yhbE,24.0,22.0,25.0
yhbG,7.0,7.0,5.0
yhbJ,14.0,16.0,16.0
yhbN,46.0,39.0,37.0
yhbO,22.0,24.0,14.0
yhbP,89.0,94.0,102.0
yhbQ,0.0,0.0,0.0
yhbS,66.0,55.0,50.0
yhbT,58.0,70.0,62.0
yhbU,5.0,1.0,2.0
yhbV,2.0,4.0,1.0
yhbW,35.0,43.0,33.0
yhbX,188.0,186.0,174.0
yhbY,0.0,4.0,0.0
yhcA,157.0,152.0,141.0
yhcB,137.0,111.0,100.0
yhcC,19.0,26.0,22.0
yhcD,108.0,113.0,87.0
yhcE,109.0,101.0,103.0
yhcF,226.0,247.0,238.0
yhcG,188.0,210.0,181.0
yhcH,87.0,108.0,88.0
yhcM,120.0,109.0,126.0
yhcN,1.0,0.0,0.0
yhcO,40.0,61.0,57.0
yhdA,115.0,124.0,136.0
yhdE,65.0,68.0,67.0
yhdH,124.0,129.0,124.0
yhdJ,171.0,155.0,152.0
yhdL,329.0,362.0,348.0
yhdN,110.0,99.0,104.0
yhdP,198.0,254.0,224.0
yhdT,0.0,1.0,0.0
yhdU,62.0,66.0,59.0
yhdV,56.0,42.0,55.0
yhdW,212.0,246.0,187.0
yhdX,57.0,78.0,83.0
yhdY,112.0,108.0,125.0
yhdZ,173.0,186.0,167.0
yheL,0.0,0.0,0.0
yheM,21.0,13.0,16.0
yheN,0.0,2.0,2.0
yheO,150.0,155.0,138.0
yheS,25.0,31.0,25.0
yheT,1.0,1.0,0.0
yheU,118.0,100.0,105.0
yheV,47.0,45.0,34.0
yhfA,4.0,1.0,2.0
yhfG,0.0,1.0,0.0
yhfK,83.0,92.0,102.0
yhfL,125.0,128.0,119.0
yhfS,0.0,0.0,0.0
yhfT,0.0,0.0,0.0
yhfU,2.0,10.0,2.0
yhfW,51.0,48.0,39.0
yhfX,105.0,110.0,103.0
yhfY,74.0,106.0,79.0
yhfZ,336.0,339.0,382.0
yhgA,238.0,263.0,256.0
yhgE,106.0,101.0,88.0
yhgF,19.0,36.0,29.0
yhgG,1.0,0.0,0.0
yhgN,0.0,0.0,0.0
yhhA,51.0,69.0,56.0
yhhF,29.0,31.0,29.0
yhhH,5.0,2.0,2.0
yhhI,94.0,92.0,100.0
yhhJ,46.0,47.0,47.0
yhhK,2.0,0.0,0.0
yhhL,5.0,4.0,5.0
yhhM,11.0,13.0,7.0
yhhN,15.0,9.0,20.0
yhhQ,123.0,125.0,117.0
yhhS,121.0,111.0,77.0
yhhT,99.0,92.0,110.0
yhhW,46.0,38.0,51.0
yhhX,74.0,58.0,82.0
yhhY,10.0,8.0,19.0
yhhZ,184.0,258.0,192.0
yhiD,185.0,189.0,168.0
yhiF,162.0,175.0,164.0
yhiI,0.0,1.0,0.0
yhiJ,151.0,148.0,125.0
yhiL,191.0,204.0,181.0
yhiM,123.0,153.0,123.0
yhiN,1.0,0.0,0.0
yhiP,91.0,87.0,92.0
yhiQ,0.0,0.0,0.0
yhiR,21.0,16.0,22.0
yhiS,172.0,162.0,166.0
yhjA,189.0,196.0,192.0
yhjB,215.0,224.0,203.0
yhjC,37.0,22.0,34.0
yhjD,7.0,9.0,8.0
yhjE,190.0,200.0,191.0
yhjG,203.0,223.0,220.0
yhjH,29.0,19.0,34.0
yhjJ,87.0,124.0,93.0
yhjK,212.0,264.0,269.0
yhjQ,66.0,68.0,84.0
yhjR,177.0,191.0,173.0
yhjV,100.0,129.0,109.0
