,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C
gadX,353.0,378.0,368.0
galE,129.0,194.0,158.0
galF,195.0,206.0,178.0
galM,0.0,0.0,0.0
galP,51.0,42.0,44.0
galR,57.0,64.0,52.0
galS,160.0,165.0,148.0
galU,124.0,119.0,110.0
gapA,223.0,226.0,212.0
gapC,24.0,30.0,19.0
garD,258.0,239.0,237.0
garK,67.0,62.0,65.0
garL,27.0,28.0,18.0
garP,85.0,83.0,84.0
garR,38.0,36.0,37.0
gatA,105.0,123.0,106.0
gatB,47.0,65.0,57.0
gatC,63.0,67.0,57.0
gatD,200.0,187.0,180.0
gatR,102.0,102.0,96.0
gatY,2.0,0.0,0.0
gatZ,206.0,208.0,204.0
gcd,78.0,54.0,64.0
gcl,146.0,144.0,164.0
gcvA,107.0,118.0,110.0
gcvH,80.0,82.0,93.0
gcvP,23.0,28.0,33.0
gcvR,138.0,142.0,138.0
gcvT,42.0,40.0,45.0
gdhA,47.0,63.0,72.0
gfcD,59.0,69.0,77.0
ggt,70.0,57.0,50.0
ghrB,192.0,199.0,188.0
gidA,152.0,174.0,159.0
gidB,81.0,88.0,83.0
glcA,73.0,67.0,75.0
glcB,80.0,76.0,54.0
glcC,81.0,88.0,62.0
glcD,9.0,7.0,1.0
glcE,6.0,6.0,9.0
glcF,46.0,62.0,52.0
glcG,1.0,1.0,1.0
gldA,117.0,134.0,103.0
glf,105.0,146.0,163.0
glgA,335.0,335.0,327.0
glgB,186.0,167.0,146.0
glgC,305.0,305.0,286.0
glgP,156.0,161.0,163.0
glgS,3.0,5.0,3.0
glgX,42.0,35.0,42.0
glk,50.0,43.0,61.0
glmM,104.0,89.0,107.0
glmS,185.0,188.0,191.0
glmU,19.0,26.0,39.0
glnA,66.0,90.0,88.0
glnB,42.0,50.0,39.0
glnD,82.0,102.0,88.0
glnE,238.0,260.0,236.0
glnG,26.0,25.0,24.0
glnH,218.0,218.0,235.0
glnK,179.0,193.0,178.0
glnL,126.0,122.0,124.0
glnP,37.0,41.0,38.0
glnQ,0.0,1.0,0.0
glnS,334.0,334.0,337.0
gloA,12.0,9.0,8.0
gloB,173.0,180.0,192.0
glpA,207.0,234.0,209.0
glpB,0.0,0.0,1.0
glpC,16.0,24.0,22.0
glpD,610.0,562.0,591.0
glpE,0.0,0.0,0.0
glpF,29.0,17.0,24.0
glpG,0.0,0.0,0.0
glpK,111.0,131.0,121.0
glpQ,147.0,168.0,186.0
glpR,164.0,177.0,166.0
glpT,74.0,82.0,84.0
glpX,1.0,1.0,1.0
gltA,151.0,173.0,180.0
gltB,151.0,145.0,132.0
gltD,1.0,1.0,1.0
gltF,152.0,148.0,155.0
gltI,90.0,102.0,96.0
gltJ,38.0,35.0,42.0
gltK,37.0,40.0,50.0
gltL,3.0,0.0,1.0
gltP,51.0,60.0,39.0
gltS,5.0,4.0,4.0
gltX,42.0,52.0,42.0
glvC,15.0,12.0,14.0
glvG,11.0,20.0,18.0
glxK,26.0,19.0,31.0
glxR,29.0,19.0,23.0
glyA,3.0,5.0,3.0
glyQ,2.0,0.0,0.0
glyS,4.0,1.0,3.0
gmd,58.0,50.0,53.0
gmhB,87.0,80.0,96.0
gmk,102.0,81.0,99.0
gmr,98.0,115.0,110.0
gnd,282.0,272.0,265.0
gnsA,6.0,12.0,7.0
gnsB,19.0,17.0,24.0
gntK,96.0,88.0,86.0
gntP,86.0,102.0,91.0
gntR,54.0,44.0,56.0
gntT,11.0,15.0,13.0
gntU,85.0,88.0,72.0
gntX,13.0,25.0,13.0
gntY,3.0,4.0,2.0
gor,122.0,104.0,122.0
gph,125.0,132.0,138.0
gpmA,18.0,22.0,25.0
gpmI,16.0,10.0,15.0
gpp,18.0,19.0,20.0
gpsA,18.0,8.0,17.0
greA,50.0,43.0,36.0
greB,8.0,15.0,22.0
groL,149.0,168.0,167.0
groS,143.0,149.0,121.0
grpE,1.0,0.0,0.0
grxA,79.0,98.0,80.0
grxB,174.0,166.0,168.0
grxC,0.0,0.0,0.0
grxD,37.0,36.0,38.0
gshA,267.0,260.0,251.0
gshB,26.0,27.0,33.0
gsk,236.0,240.0,245.0
gspA,78.0,99.0,95.0
gspC,138.0,143.0,135.0
gspD,106.0,134.0,131.0
gspE,137.0,143.0,104.0
gspF,60.0,60.0,66.0
gspG,24.0,28.0,29.0
gspH,73.0,77.0,82.0
gspI,97.0,100.0,88.0
gspJ,67.0,64.0,71.0
gspK,177.0,214.0,200.0
gspL,182.0,182.0,173.0
gspM,54.0,61.0,47.0
gspO,110.0,115.0,115.0
gss,182.0,177.0,153.0
gst,39.0,29.0,37.0
guaA,87.0,70.0,82.0
guaB,188.0,184.0,201.0
guaC,373.0,416.0,399.0
guaD,141.0,131.0,107.0
gudD,22.0,21.0,13.0
gudP,96.0,84.0,95.0
gudX,139.0,136.0,136.0
gutM,43.0,51.0,46.0
gutQ,0.0,0.0,0.0
gyrA,64.0,66.0,69.0
gyrB,138.0,152.0,136.0
hcaB,0.0,0.0,0.0
hcaC,14.0,15.0,13.0
hcaD,23.0,28.0,16.0
hcaE,32.0,41.0,33.0
hcaF,69.0,46.0,62.0
hcaR,71.0,64.0,89.0
hcaT,61.0,69.0,89.0
hchA,139.0,129.0,123.0
hcp,47.0,47.0,65.0
hcr,14.0,3.0,7.0
hda,0.0,2.0,2.0
hdeA,12.0,11.0,15.0
hdeB,45.0,40.0,37.0
hdeD,76.0,80.0,61.0
hdfR,123.0,136.0,122.0
hdhA,377.0,432.0,355.0
helD,219.0,251.0,234.0
hemA,1.0,1.0,1.0
hemB,66.0,75.0,65.0
hemC,21.0,18.0,20.0
hemD,0.0,0.0,0.0
hemE,0.0,0.0,0.0
hemF,15.0,11.0,12.0
hemG,55.0,71.0,78.0
hemH,165.0,176.0,189.0
hemL,38.0,29.0,31.0
hemN,0.0,0.0,1.0
hemX,309.0,294.0,295.0
hemY,4.0,4.0,4.0
hepA,84.0,85.0,85.0
hflC,113.0,110.0,120.0
hflD,1.0,1.0,0.0
hflK,1.0,3.0,0.0
hflX,154.0,158.0,160.0
hfq,138.0,152.0,119.0
hha,5.0,8.0,4.0
hinT,37.0,39.0,42.0
hipA,167.0,176.0,141.0
hipB,6.0,6.0,8.0
hisA,0.0,0.0,0.0
hisB,20.0,24.0,27.0
hisC,106.0,114.0,105.0
hisD,4.0,2.0,5.0
hisF,5.0,6.0,5.0
hisG,74.0,73.0,60.0
hisH,0.0,0.0,1.0
hisI,8.0,9.0,10.0
hisJ,210.0,178.0,189.0
hisL,95.0,117.0,89.0
hisM,59.0,60.0,73.0
hisP,2.0,3.0,0.0
hisQ,63.0,81.0,66.0
hisS,60.0,49.0,71.0
hlpA,2.0,0.0,0.0
hlyE,144.0,156.0,159.0
hmp,48.0,60.0,33.0
hns,133.0,99.0,118.0
hofB,91.0,108.0,102.0
hofC,76.0,86.0,85.0
hofQ,34.0,33.0,23.0
hokA,7.0,9.0,10.0
hokB,4.0,8.0,4.0
hokC,557.0,586.0,529.0
hokD,120.0,125.0,109.0
hokE,80.0,95.0,98.0
holA,8.0,3.0,2.0
holB,78.0,78.0,56.0
holC,8.0,5.0,9.0
holD,0.0,0.0,0.0
holE,8.0,2.0,7.0
hpf,13.0,18.0,17.0
hpt,1.0,1.0,5.0
hrpA,102.0,103.0,115.0
hrpB,36.0,55.0,41.0
hscA,99.0,98.0,109.0
hscB,40.0,50.0,31.0
hscC,227.0,194.0,186.0
hsdM,66.0,87.0,88.0
hsdR,284.0,320.0,286.0
hsdS,143.0,122.0,158.0
hslJ,254.0,256.0,272.0
hslO,216.0,183.0,201.0
hslR,27.0,32.0,27.0
hslU,28.0,22.0,32.0
hslV,55.0,53.0,60.0
hspQ,84.0,74.0,78.0
hsrA,74.0,64.0,63.0
htgA,28.0,18.0,20.0
htpG,121.0,105.0,95.0
htpX,0.0,1.0,0.0
htrC,141.0,145.0,116.0
htrE,119.0,110.0,109.0
htrG,80.0,66.0,83.0
htrL,155.0,153.0,151.0
hupA,0.0,2.0,0.0
hupB,388.0,385.0,407.0
hyaA,54.0,73.0,59.0
hyaB,1.0,3.0,0.0
hyaC,73.0,82.0,70.0
hyaD,0.0,0.0,0.0
hyaE,0.0,0.0,0.0
hyaF,45.0,35.0,43.0
hybA,0.0,0.0,0.0
hybB,99.0,126.0,86.0
hybC,123.0,100.0,115.0
hybD,2.0,3.0,2.0
hybE,7.0,8.0,15.0
hybF,22.0,26.0,19.0
hybG,3.0,2.0,3.0
hybO,172.0,154.0,162.0
hycA,30.0,41.0,41.0
hycB,12.0,19.0,21.0
hycC,90.0,81.0,77.0
hycD,0.0,0.0,0.0
hycE,24.0,30.0,42.0
hycF,0.0,0.0,0.0
hycG,14.0,24.0,19.0
hycH,51.0,50.0,38.0
hycI,237.0,278.0,261.0
hydN,0.0,1.0,1.0
hyfA,11.0,7.0,5.0
hyfB,57.0,75.0,75.0
hyfC,74.0,69.0,69.0
hyfD,26.0,30.0,28.0
hyfE,11.0,12.0,14.0
hyfF,43.0,44.0,39.0
hyfG,35.0,38.0,44.0
hyfH,3.0,17.0,8.0
hyfI,0.0,0.0,0.0
hyfJ,101.0,112.0,114.0
hyfR,116.0,108.0,118.0
hyi,241.0,274.0,261.0
hypA,0.0,0.0,0.0
hypB,22.0,24.0,19.0
hypC,1.0,1.0,0.0
hypD,33.0,29.0,29.0
hypE,4.0,2.0,1.0
hypF,1.0,3.0,0.0
hyuA,47.0,43.0,41.0
iaaA,0.0,0.0,2.0
iadA,2.0,1.0,1.0
iap,48.0,61.0,60.0
ibpA,157.0,167.0,174.0
ibpB,1.0,0.0,4.0
icd,215.0,180.0,226.0
icdC,129.0,106.0,105.0
iclR,1.0,0.0,0.0
idi,53.0,59.0,50.0
idnD,101.0,82.0,97.0
idnK,221.0,227.0,205.0
idnO,103.0,110.0,104.0
idnR,91.0,66.0,93.0
idnT,213.0,204.0,207.0
ihfA,136.0,158.0,138.0
ihfB,30.0,35.0,29.0
ileS,28.0,36.0,26.0
ilvA,27.0,32.0,35.0
ilvB,96.0,92.0,87.0
ilvC,171.0,196.0,169.0
ilvD,141.0,151.0,151.0
ilvE,1.0,1.0,0.0
ilvG,18.0,19.0,10.0
ilvH,144.0,112.0,104.0
ilvI,164.0,154.0,154.0
ilvL,0.0,0.0,0.0
ilvM,54.0,66.0,54.0
ilvN,25.0,18.0,18.0
ilvY,0.0,0.0,0.0
imp,531.0,521.0,491.0
inaA,161.0,172.0,152.0
infA,2.0,1.0,0.0
infB,390.0,403.0,366.0
infC,3.0,3.0,3.0
insA-7,73.0,92.0,78.0
insC-2,33.0,40.0,33.0
insD-2,9.0,9.0,5.0
insE-4,273.0,250.0,268.0
insF-4,47.0,55.0,54.0
insG,150.0,148.0,158.0
insH-1,273.0,274.0,265.0
insH-5,0.0,1.0,0.0
insH-6,47.0,49.0,37.0
insI-1,176.0,118.0,155.0
insI-2,36.0,11.0,19.0
insJ,340.0,326.0,341.0
insK,234.0,213.0,228.0
insL-3,104.0,102.0,99.0
insM,145.0,149.0,166.0
insN-1,3.0,3.0,3.0
insN-2,53.0,53.0,55.0
insO-1,4.0,3.0,10.0
insO-2,122.0,157.0,133.0
intA,188.0,180.0,166.0
intB,179.0,191.0,193.0
intD,160.0,192.0,150.0
intE,130.0,144.0,159.0
intF,57.0,59.0,51.0
intG,103.0,106.0,104.0
intQ,171.0,192.0,184.0
intR,85.0,75.0,67.0
intS,131.0,139.0,118.0
intZ,38.0,46.0,36.0
iraP,115.0,105.0,88.0
iscA,35.0,42.0,52.0
iscR,81.0,63.0,85.0
iscS,7.0,6.0,2.0
iscU,271.0,310.0,278.0
ispA,3.0,2.0,1.0
ispB,110.0,124.0,107.0
ispD,28.0,23.0,38.0
ispE,157.0,179.0,183.0
ispF,47.0,49.0,49.0
ispG,58.0,72.0,47.0
ispH,60.0,81.0,74.0
ispU,129.0,125.0,120.0
ivbL,153.0,195.0,169.0
ivy,61.0,86.0,74.0
kanR,15122.0,15666.0,15766.0
katE,153.0,192.0,179.0
katG,165.0,182.0,177.0
kbaY,25.0,19.0,24.0
kbaZ,0.0,1.0,2.0
kbl,9.0,9.0,9.0
kch,197.0,210.0,189.0
kdgK,2.0,2.0,4.0
kdgR,39.0,40.0,43.0
kdgT,47.0,54.0,44.0
kdpA,72.0,67.0,62.0
kdpB,8.0,9.0,10.0
kdpC,20.0,22.0,15.0
kdpD,88.0,98.0,91.0
kdpE,0.0,0.0,0.0
kdpF,1.0,0.0,1.0
kdsA,61.0,64.0,67.0
kdsB,14.0,16.0,10.0
kdsC,20.0,27.0,22.0
kdsD,73.0,77.0,76.0
kdtA,46.0,49.0,41.0
kduD,72.0,69.0,67.0
kduI,72.0,78.0,99.0
kefA,141.0,173.0,150.0
kefB,130.0,133.0,118.0
kefC,29.0,31.0,17.0
kefF,18.0,12.0,17.0
kefG,52.0,47.0,49.0
kgtP,391.0,410.0,423.0
kil,53.0,49.0,38.0
kptA,141.0,135.0,148.0
ksgA,89.0,87.0,104.0
lafU,15.0,19.0,30.0
lamB,62.0,49.0,52.0
lar,15.0,16.0,20.0
ldcA,90.0,77.0,85.0
ldcC,74.0,63.0,67.0
ldhA,138.0,165.0,141.0
ldrB,29.0,40.0,49.0
ldrC,17.0,20.0,27.0
ldrD,72.0,82.0,58.0
lepA,191.0,185.0,241.0
lepB,17.0,29.0,33.0
leuA,109.0,108.0,110.0
leuB,7.0,2.0,4.0
leuC,106.0,107.0,112.0
leuD,11.0,11.0,4.0
leuL,7.0,15.0,9.0
leuO,104.0,133.0,140.0
leuS,145.0,200.0,181.0
lfhA,4.0,5.0,7.0
lgt,33.0,37.0,38.0
lhr,30.0,30.0,41.0
ligA,178.0,184.0,225.0
ligB,192.0,169.0,150.0
ligT,0.0,1.0,0.0
lipA,2.0,1.0,3.0
lipB,33.0,36.0,42.0
lit,280.0,310.0,324.0
livF,0.0,2.0,2.0
livG,75.0,99.0,77.0
livH,80.0,58.0,52.0
livJ,136.0,138.0,163.0
livK,108.0,108.0,80.0
livM,2.0,1.0,1.0
lldD,191.0,220.0,231.0
lldP,43.0,56.0,44.0
lldR,24.0,27.0,26.0
lnt,1.0,0.0,0.0
lolA,211.0,199.0,189.0
lolB,47.0,54.0,42.0
lolC,25.0,36.0,39.0
lolD,33.0,42.0,30.0
lolE,46.0,64.0,39.0
lomR,106.0,115.0,112.0
lon,178.0,145.0,170.0
lpcA,63.0,68.0,81.0
lpd,80.0,77.0,80.0
lplA,78.0,77.0,67.0
lpp,133.0,155.0,124.0
lpxA,84.0,75.0,81.0
lpxB,61.0,54.0,59.0
lpxC,118.0,110.0,89.0
lpxD,37.0,37.0,35.0
lpxH,0.0,1.0,0.0
lpxK,112.0,149.0,111.0
lpxL,45.0,48.0,40.0
lpxM,33.0,30.0,46.0
lpxP,70.0,81.0,93.0
lrhA,256.0,263.0,256.0
lrp,146.0,173.0,147.0
lspA,54.0,47.0,50.0
lsrA,84.0,102.0,83.0
lsrB,102.0,107.0,105.0
lsrC,1.0,2.0,3.0
lsrD,190.0,189.0,186.0
lsrF,118.0,116.0,101.0
lsrG,67.0,69.0,58.0
lsrK,200.0,193.0,191.0
lsrR,15.0,14.0,15.0
ltaE,12.0,5.0,4.0
luxS,243.0,278.0,271.0
lysA,65.0,75.0,58.0
lysC,19.0,25.0,17.0
lysP,52.0,47.0,63.0
lysR,87.0,84.0,78.0
lysS,160.0,146.0,176.0
lysT--lysQoperon,4946.0,5012.0,4984.0
lysU,151.0,132.0,138.0
lyxK,57.0,65.0,66.0
mCherry,10112.0,10248.0,10341.0
maa,24.0,34.0,22.0
macA,31.0,41.0,49.0
macB,48.0,60.0,52.0
maeB,96.0,90.0,89.0
mak,70.0,65.0,61.0
malF,112.0,103.0,96.0
malG,40.0,41.0,41.0
malI,14.0,16.0,19.0
malK,76.0,60.0,64.0
malM,24.0,18.0,16.0
malP,71.0,79.0,62.0
malQ,156.0,167.0,145.0
malS,42.0,43.0,44.0
malT,169.0,167.0,145.0
malX,69.0,80.0,78.0
malY,213.0,221.0,187.0
malZ,247.0,237.0,237.0
manA,13.0,16.0,17.0
manX,42.0,45.0,25.0
manY,73.0,84.0,83.0
manZ,90.0,104.0,103.0
maoC,84.0,104.0,82.0
map,43.0,27.0,34.0
marA,16.0,13.0,13.0
marB,22.0,20.0,19.0
marC,49.0,57.0,44.0
marR,38.0,35.0,42.0
mazG,91.0,130.0,116.0
mcrA,345.0,340.0,320.0
mcrB,81.0,84.0,74.0
mcrC,125.0,123.0,116.0
mdaB,42.0,45.0,40.0
mdh,66.0,52.0,48.0
mdlA,88.0,78.0,58.0
mdlB,27.0,29.0,25.0
mdoB,51.0,52.0,59.0
mdoC,135.0,125.0,107.0
mdoD,153.0,183.0,147.0
mdoG,251.0,236.0,255.0
mdoH,70.0,84.0,68.0
mdtA,81.0,61.0,56.0
mdtB,157.0,156.0,152.0
mdtC,100.0,98.0,76.0
mdtD,25.0,23.0,18.0
mdtE,6.0,4.0,3.0
mdtF,260.0,241.0,253.0
mdtG,107.0,124.0,115.0
mdtH,1.0,1.0,0.0
mdtI,57.0,62.0,65.0
mdtJ,0.0,2.0,2.0
mdtK,25.0,28.0,26.0
mdtL,38.0,34.0,25.0
mdtQ,157.0,160.0,131.0
melA,96.0,100.0,106.0
melB,205.0,234.0,203.0
melR,76.0,67.0,86.0
menA,34.0,40.0,33.0
menB,12.0,14.0,10.0
menC,39.0,39.0,44.0
menD,0.0,0.0,0.0
menE,14.0,9.0,17.0
menF,8.0,13.0,9.0
mepA,0.0,2.0,0.0
metA,133.0,123.0,145.0
metB,0.0,0.0,0.0
metC,135.0,117.0,118.0
metE,189.0,217.0,203.0
metF,113.0,90.0,93.0
metG,49.0,62.0,72.0
metH,234.0,263.0,251.0
metI,88.0,113.0,87.0
metJ,1.0,1.0,0.0
metK,34.0,44.0,54.0
metL,3.0,1.0,1.0
metN,1.0,1.0,0.0
metQ,40.0,46.0,37.0
metR,1.0,1.0,3.0
mfd,144.0,141.0,175.0
mglA,154.0,164.0,163.0
mglB,99.0,112.0,98.0
mglC,38.0,48.0,50.0
mgsA,2.0,1.0,1.0
mgtA,457.0,424.0,435.0
mhpA,107.0,98.0,73.0
mhpB,0.0,2.0,1.0
mhpC,40.0,39.0,42.0
mhpD,19.0,23.0,23.0
mhpE,7.0,9.0,15.0
mhpF,75.0,92.0,66.0
mhpR,0.0,0.0,0.0
mhpT,1.0,3.0,0.0
miaA,127.0,154.0,141.0
miaB,52.0,66.0,56.0
minC,0.0,1.0,1.0
minD,301.0,339.0,300.0
minE,0.0,1.0,0.0
mioC,3.0,2.0,2.0
mipA,85.0,97.0,103.0
mlrA,35.0,39.0,36.0
mltA,51.0,77.0,56.0
mltB,0.0,0.0,0.0
mltC,131.0,117.0,122.0
mltD,261.0,252.0,250.0
mmuM,1.0,1.0,0.0
mmuP,76.0,94.0,64.0
mngA,55.0,52.0,57.0
mngB,125.0,135.0,114.0
mngR,84.0,91.0,76.0
mnmA,52.0,63.0,51.0
mnmC,42.0,37.0,33.0
mnmE,20.0,28.0,30.0
mntH,116.0,125.0,107.0
mntR,3.0,0.0,1.0
moaA,69.0,88.0,55.0
moaB,3.0,4.0,5.0
moaC,0.0,3.0,0.0
moaE,3.0,0.0,2.0
mobA,110.0,112.0,109.0
mobB,214.0,222.0,223.0
modA,490.0,445.0,462.0
modB,65.0,70.0,61.0
modC,0.0,0.0,0.0
modE,49.0,71.0,68.0
modF,29.0,42.0,40.0
moeA,60.0,64.0,76.0
moeB,3.0,4.0,4.0
mog,1.0,3.0,3.0
mokB,23.0,26.0,27.0
mokC,17.0,17.0,17.0
molR,588.0,602.0,564.0
motA,56.0,54.0,63.0
motB,147.0,147.0,187.0
mpaA,52.0,60.0,61.0
mpl,13.0,17.0,12.0
mppA,119.0,141.0,138.0
mprA,71.0,92.0,67.0
mqo,2.0,3.0,1.0
mqsR,0.0,1.0,0.0
mraW,0.0,0.0,0.0
mraY,35.0,25.0,41.0
mraZ,1.0,0.0,0.0
mrcA,73.0,61.0,79.0
mrcB,212.0,218.0,207.0
mrdA,67.0,67.0,71.0
mrdB,94.0,94.0,97.0
mreB,45.0,46.0,54.0
mreC,22.0,23.0,24.0
mreD,26.0,28.0,27.0
mrp,34.0,38.0,54.0
mrr,114.0,113.0,111.0
ms2_rev,2.0,10.0,4.0
msbA,250.0,242.0,241.0
mscL,82.0,91.0,75.0
mscS,161.0,149.0,160.0
msrA,38.0,34.0,32.0
msrB,102.0,98.0,99.0
msyB,20.0,11.0,17.0
mtgA,21.0,26.0,18.0
mtlA,177.0,176.0,149.0
mtlD,22.0,37.0,34.0
mtlR,20.0,40.0,30.0
mtn,4.0,3.0,1.0
mtr,68.0,71.0,45.0
mug,30.0,35.0,34.0
mukB,58.0,72.0,61.0
mukE,22.0,13.0,11.0
mukF,243.0,229.0,202.0
murA,5.0,3.0,2.0
murB,63.0,72.0,89.0
murC,31.0,21.0,20.0
murD,129.0,143.0,108.0
murE,1.0,0.0,3.0
murF,53.0,81.0,67.0
murG,21.0,28.0,24.0
murI,127.0,100.0,122.0
murP,0.0,1.0,6.0
mutH,179.0,192.0,131.0
mutL,80.0,76.0,73.0
mutM,15.0,11.0,12.0
mutS,183.0,197.0,167.0
mutT,28.0,23.0,11.0
mutY,168.0,211.0,194.0
mviM,0.0,0.0,0.0
nac,527.0,577.0,492.0
nadA,191.0,184.0,188.0
nadB,24.0,18.0,27.0
nadC,59.0,55.0,65.0
nadD,28.0,26.0,21.0
nadE,107.0,96.0,105.0
nadK,141.0,149.0,131.0
nadR,99.0,112.0,93.0
nagA,79.0,94.0,100.0
nagB,33.0,28.0,25.0
nagC,160.0,160.0,133.0
nagD,2.0,4.0,2.0
nagE,221.0,229.0,239.0
nagK,77.0,68.0,73.0
nagZ,76.0,83.0,72.0
nanA,84.0,91.0,99.0
nanE,34.0,35.0,35.0
nanK,1.0,1.0,0.0
nanR,3.0,1.0,1.0
nanT,21.0,31.0,32.0
napA,47.0,59.0,52.0
napB,113.0,107.0,107.0
napC,31.0,31.0,17.0
napD,69.0,94.0,69.0
napF,19.0,18.0,11.0
napG,15.0,14.0,12.0
napH,41.0,42.0,35.0
narG,5.0,2.0,0.0
narH,11.0,8.0,5.0
narI,7.0,2.0,5.0
narJ,12.0,11.0,11.0
narK,10.0,10.0,2.0
narL,64.0,79.0,79.0
narP,112.0,130.0,141.0
narQ,132.0,145.0,113.0
narU,49.0,56.0,61.0
narV,23.0,36.0,17.0
narW,36.0,30.0,23.0
narX,366.0,393.0,384.0
narY,17.0,16.0,11.0
narZ,65.0,102.0,106.0
ndh,123.0,139.0,124.0
ndk,151.0,164.0,147.0
nei,28.0,22.0,32.0
nemA,30.0,29.0,24.0
nepI,57.0,52.0,52.0
nfi,28.0,40.0,29.0
nfnB,16.0,29.0,28.0
nfo,19.0,19.0,10.0
nfrA,174.0,150.0,138.0
nfrB,65.0,62.0,65.0
nfsA,30.0,34.0,48.0
nhaA,78.0,80.0,63.0
nhaB,542.0,580.0,531.0
nhaR,315.0,323.0,320.0
nhoA,46.0,36.0,48.0
nikA,179.0,172.0,196.0
nikB,6.0,6.0,9.0
nikC,11.0,14.0,18.0
nikD,3.0,1.0,1.0
nikE,128.0,134.0,147.0
nikR,27.0,26.0,31.0
ninE,31.0,38.0,33.0
nirB,213.0,210.0,208.0
nirC,31.0,24.0,31.0
nirD,23.0,37.0,16.0
nlpA,83.0,85.0,93.0
nlpB,154.0,151.0,172.0
nlpC,20.0,8.0,8.0
nlpD,170.0,176.0,153.0
nlpE,61.0,65.0,61.0
nlpI,450.0,495.0,518.0
nmpC,148.0,161.0,172.0
norR,1.0,0.0,1.0
norV,44.0,53.0,76.0
norW,2.0,0.0,0.0
npr,77.0,81.0,86.0
nrdA,88.0,96.0,86.0
nrdB,56.0,51.0,50.0
nrdD,61.0,71.0,61.0
nrdE,171.0,188.0,162.0
nrdF,43.0,71.0,58.0
nrdG,64.0,78.0,61.0
nrdH,1.0,0.0,0.0
nrdI,59.0,55.0,46.0
nrdR,114.0,88.0,88.0
nrfA,66.0,79.0,68.0
nrfB,173.0,182.0,170.0
nrfC,0.0,0.0,0.0
nrfD,53.0,75.0,66.0
nrfE,0.0,1.0,2.0
nrfF,0.0,0.0,0.0
nrfG,20.0,16.0,17.0
nsrR,146.0,173.0,142.0
nth,39.0,38.0,23.0
nudB,478.0,477.0,528.0
nudC,153.0,145.0,132.0
nudD,39.0,48.0,53.0
nudE,48.0,38.0,34.0
nudF,28.0,38.0,37.0
nudG,0.0,1.0,0.0
nudH,127.0,124.0,117.0
nudI,106.0,101.0,98.0
nudJ,48.0,31.0,33.0
nudK,49.0,65.0,53.0
nuoA,19.0,26.0,31.0
nuoB,53.0,56.0,46.0
nuoC,152.0,126.0,151.0
nuoE,0.0,0.0,2.0
nuoF,20.0,16.0,16.0
nuoG,0.0,0.0,0.0
nuoH,28.0,16.0,19.0
nuoI,0.0,0.0,0.0
nuoJ,16.0,15.0,14.0
nuoK,4.0,8.0,11.0
nuoL,3.0,6.0,3.0
nuoM,81.0,86.0,81.0
nuoN,2.0,0.0,0.0
nupC,215.0,225.0,207.0
nupG,197.0,179.0,169.0
nusA,187.0,175.0,195.0
nusB,0.0,0.0,0.0
nusG,282.0,237.0,256.0
obgE,91.0,80.0,93.0
ogrK,11.0,11.0,10.0
ogt,68.0,66.0,53.0
ompA,146.0,101.0,114.0
ompC,221.0,250.0,237.0
ompF,202.0,225.0,223.0
ompG,62.0,53.0,65.0
ompL,124.0,118.0,119.0
ompN,76.0,106.0,106.0
ompR,5.0,5.0,5.0
ompT,279.0,274.0,252.0
ompW,149.0,144.0,119.0
ompX,3.0,0.0,4.0
oppA,124.0,96.0,111.0
oppB,73.0,74.0,79.0
oppC,19.0,31.0,31.0
oppD,79.0,89.0,91.0
oppF,0.0,0.0,0.0
orn,32.0,42.0,31.0
osmB,7.0,6.0,6.0
osmC,38.0,40.0,30.0
osmE,3.0,0.0,6.0
osmY,47.0,51.0,51.0
otsA,119.0,130.0,111.0
otsB,128.0,130.0,126.0
oxc,107.0,128.0,127.0
oxyR,26.0,45.0,36.0
paaA,35.0,44.0,48.0
paaB,16.0,19.0,20.0
paaC,37.0,30.0,34.0
paaD,0.0,0.0,0.0
paaE,60.0,66.0,81.0
paaF,1.0,1.0,1.0
paaG,118.0,104.0,86.0
paaH,95.0,95.0,84.0
paaI,40.0,38.0,42.0
paaJ,174.0,189.0,155.0
paaK,170.0,177.0,165.0
paaX,43.0,36.0,42.0
paaY,106.0,89.0,89.0
pabA,2.0,1.0,3.0
pabB,88.0,92.0,102.0
pabC,73.0,76.0,82.0
pal,1.0,4.0,3.0
panB,4.0,0.0,0.0
panC,42.0,50.0,37.0
panD,0.0,0.0,1.0
panE,57.0,56.0,58.0
panF,4.0,5.0,4.0
parC,138.0,125.0,128.0
parE,43.0,57.0,32.0
pbl,15.0,11.0,15.0
pbpC,3.0,4.0,5.0
pbpG,84.0,94.0,99.0
pck,164.0,170.0,180.0
pcm,3.0,5.0,5.0
pcnB,304.0,305.0,331.0
pdhR,89.0,68.0,62.0
pdxA,129.0,140.0,130.0
pdxB,54.0,63.0,75.0
pdxH,93.0,100.0,77.0
pdxJ,12.0,13.0,9.0
pdxK,0.0,3.0,4.0
pdxY,2.0,0.0,0.0
pepA,71.0,78.0,82.0
pepB,1.0,1.0,1.0
pepD,114.0,134.0,135.0
pepE,1.0,2.0,2.0
pepN,201.0,210.0,198.0
pepP,158.0,159.0,183.0
pepQ,51.0,57.0,60.0
pepT,335.0,344.0,363.0
perR,306.0,345.0,340.0
pfkA,24.0,23.0,22.0
pfkB,53.0,62.0,48.0
pflA,3.0,0.0,1.0
