,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C
ligB,10.0,12.0,7.0
lipB,2.0,6.0,3.0
lit,29.0,24.0,32.0
livG,10.0,5.0,7.0
livH,5.0,2.0,9.0
livJ,23.0,19.0,21.0
livK,20.0,15.0,13.0
lldD,14.0,12.0,28.0
lldP,4.0,6.0,2.0
lldR,1.0,7.0,5.0
lolA,64.0,57.0,63.0
lolB,12.0,7.0,8.0
lolC,7.0,5.0,3.0
lolD,4.0,8.0,11.0
lolE,7.0,8.0,8.0
lomR,13.0,12.0,8.0
lon,54.0,71.0,57.0
lpcA,25.0,15.0,18.0
lpd,76.0,69.0,62.0
lplA,8.0,4.0,5.0
lpp,18.0,25.0,13.0
lpxA,44.0,43.0,38.0
lpxB,25.0,24.0,22.0
lpxC,140.0,120.0,135.0
lpxD,22.0,29.0,33.0
lpxH,0.0,0.0,0.0
lpxK,34.0,26.0,32.0
lpxL,7.0,10.0,12.0
lpxM,4.0,6.0,3.0
lpxP,16.0,21.0,20.0
lrhA,128.0,133.0,121.0
lrp,88.0,78.0,78.0
lspA,30.0,18.0,22.0
lsrA,5.0,7.0,3.0
lsrB,8.0,6.0,7.0
lsrC,0.0,0.0,0.0
lsrD,16.0,16.0,13.0
lsrF,14.0,7.0,11.0
lsrG,8.0,5.0,5.0
lsrK,23.0,24.0,16.0
lsrR,1.0,0.0,0.0
ltaE,1.0,0.0,1.0
luxS,81.0,83.0,72.0
lysA,7.0,6.0,3.0
lysC,4.0,0.0,1.0
lysP,6.0,8.0,8.0
lysR,10.0,8.0,12.0
lysS,42.0,56.0,35.0
lysT--lysQoperon,3133.0,3097.0,3241.0
lysU,15.0,22.0,15.0
lyxK,6.0,6.0,4.0
mCherry,3406.0,3324.0,3076.0
maa,14.0,7.0,11.0
macA,8.0,11.0,6.0
macB,9.0,8.0,12.0
maeB,19.0,20.0,12.0
mak,7.0,10.0,7.0
malF,9.0,11.0,6.0
malG,1.0,0.0,0.0
malI,2.0,3.0,1.0
malK,2.0,0.0,3.0
malM,3.0,1.0,0.0
malP,7.0,7.0,6.0
malQ,17.0,7.0,11.0
malS,3.0,2.0,0.0
malT,12.0,14.0,12.0
malX,11.0,8.0,7.0
malY,17.0,28.0,16.0
malZ,21.0,27.0,32.0
manA,2.0,0.0,1.0
manX,1.0,2.0,0.0
manY,11.0,9.0,5.0
manZ,13.0,10.0,14.0
maoC,8.0,7.0,8.0
map,0.0,2.0,4.0
marA,3.0,3.0,0.0
marB,7.0,1.0,2.0
marC,7.0,6.0,6.0
marR,6.0,11.0,4.0
mazG,31.0,22.0,35.0
mcrA,57.0,36.0,43.0
mcrB,9.0,9.0,7.0
mcrC,4.0,17.0,15.0
mdaB,8.0,4.0,9.0
mdh,55.0,39.0,51.0
mdlA,13.0,13.0,9.0
mdlB,12.0,5.0,3.0
mdoB,13.0,18.0,12.0
mdoC,14.0,10.0,12.0
mdoD,33.0,19.0,22.0
mdoG,47.0,39.0,34.0
mdoH,9.0,10.0,11.0
mdtA,7.0,9.0,9.0
mdtB,10.0,13.0,11.0
mdtC,6.0,4.0,3.0
mdtD,1.0,4.0,0.0
mdtE,0.0,1.0,1.0
mdtF,27.0,28.0,20.0
mdtG,7.0,10.0,13.0
mdtI,18.0,15.0,20.0
mdtJ,0.0,1.0,0.0
mdtK,21.0,16.0,31.0
mdtL,2.0,1.0,3.0
mdtQ,19.0,15.0,18.0
melA,14.0,11.0,16.0
melB,17.0,19.0,20.0
melR,15.0,7.0,9.0
menA,1.0,4.0,4.0
menB,1.0,2.0,1.0
menC,6.0,5.0,14.0
menE,3.0,1.0,2.0
menF,5.0,5.0,1.0
metA,19.0,16.0,33.0
metC,12.0,9.0,5.0
metE,24.0,26.0,20.0
metF,20.0,16.0,24.0
metG,12.0,19.0,15.0
metH,14.0,29.0,24.0
metI,55.0,65.0,58.0
metK,45.0,48.0,37.0
metQ,22.0,34.0,31.0
mfd,9.0,12.0,11.0
mglA,24.0,16.0,16.0
mglB,11.0,6.0,4.0
mglC,2.0,7.0,8.0
mgtA,530.0,505.0,493.0
mhpA,6.0,9.0,6.0
mhpC,5.0,1.0,4.0
mhpD,3.0,2.0,0.0
mhpE,1.0,1.0,0.0
mhpF,11.0,8.0,6.0
miaA,34.0,40.0,32.0
miaB,39.0,41.0,52.0
minC,0.0,1.0,0.0
minD,113.0,114.0,98.0
mioC,2.0,2.0,0.0
mipA,29.0,35.0,26.0
mlrA,1.0,0.0,1.0
mltA,26.0,12.0,26.0
mltC,28.0,22.0,27.0
mltD,204.0,229.0,194.0
mmuM,0.0,0.0,0.0
mmuP,13.0,10.0,6.0
mngA,5.0,5.0,2.0
mngB,11.0,15.0,11.0
mngR,14.0,21.0,12.0
mnmA,13.0,15.0,14.0
mnmC,9.0,11.0,6.0
mnmE,4.0,1.0,0.0
mntH,28.0,19.0,32.0
mntR,1.0,1.0,1.0
moaA,15.0,22.0,16.0
moaB,0.0,0.0,0.0
mobA,14.0,14.0,0.0
mobB,15.0,17.0,20.0
modA,575.0,562.0,573.0
modB,64.0,75.0,48.0
modE,10.0,8.0,9.0
modF,5.0,1.0,3.0
moeA,8.0,10.0,19.0
moeB,0.0,1.0,1.0
mog,2.0,1.0,0.0
mokB,7.0,3.0,4.0
mokC,2.0,4.0,3.0
molR,93.0,69.0,80.0
motA,144.0,134.0,128.0
motB,195.0,231.0,204.0
mpaA,5.0,6.0,8.0
mpl,9.0,4.0,2.0
mppA,23.0,23.0,31.0
mprA,13.0,17.0,19.0
mqo,1.0,0.0,1.0
mqsR,1.0,1.0,0.0
mraW,0.0,0.0,1.0
mraY,3.0,10.0,7.0
mrcA,36.0,28.0,27.0
mrcB,101.0,80.0,100.0
mrdA,8.0,8.0,13.0
mrdB,13.0,14.0,9.0
mreB,20.0,16.0,16.0
mreC,8.0,4.0,6.0
mreD,4.0,8.0,4.0
mrp,5.0,4.0,6.0
mrr,20.0,19.0,32.0
ms2_rev,5.0,12.0,13.0
msbA,119.0,118.0,112.0
mscL,14.0,11.0,7.0
mscS,33.0,30.0,41.0
msrA,3.0,6.0,0.0
msrB,45.0,33.0,32.0
msyB,1.0,2.0,3.0
mtgA,3.0,7.0,6.0
mtlA,17.0,11.0,8.0
mtlD,6.0,3.0,3.0
mtlR,10.0,5.0,5.0
mtn,0.0,1.0,0.0
mtr,6.0,9.0,13.0
mug,5.0,1.0,7.0
mukB,14.0,17.0,15.0
mukE,5.0,6.0,6.0
mukF,64.0,71.0,52.0
murA,0.0,0.0,3.0
murB,11.0,11.0,16.0
murC,4.0,6.0,2.0
murD,18.0,14.0,18.0
murE,0.0,1.0,0.0
murF,10.0,6.0,7.0
murG,8.0,7.0,9.0
murI,16.0,12.0,7.0
murP,2.0,0.0,0.0
mutH,46.0,50.0,33.0
mutL,16.0,11.0,9.0
mutM,0.0,1.0,0.0
mutS,27.0,21.0,31.0
mutT,2.0,0.0,1.0
mutY,13.0,21.0,19.0
nac,77.0,75.0,64.0
nadA,31.0,24.0,31.0
nadB,0.0,1.0,2.0
nadC,8.0,11.0,17.0
nadD,7.0,1.0,3.0
nadE,16.0,10.0,18.0
nadK,24.0,28.0,15.0
nadR,28.0,26.0,20.0
nagA,9.0,12.0,11.0
nagB,6.0,4.0,3.0
nagC,10.0,17.0,27.0
nagD,1.0,1.0,0.0
nagE,87.0,81.0,73.0
nagK,12.0,4.0,8.0
nagZ,9.0,12.0,8.0
nanA,8.0,6.0,12.0
nanE,6.0,0.0,4.0
nanK,1.0,0.0,0.0
nanR,0.0,1.0,0.0
nanT,0.0,0.0,0.0
napA,2.0,7.0,4.0
napB,5.0,9.0,6.0
napC,7.0,3.0,2.0
napD,9.0,9.0,7.0
napF,1.0,2.0,0.0
napG,1.0,0.0,0.0
napH,5.0,5.0,2.0
narG,1.0,2.0,0.0
narH,4.0,2.0,1.0
narI,1.0,0.0,1.0
narJ,0.0,2.0,3.0
narK,0.0,1.0,1.0
narL,10.0,24.0,20.0
narP,23.0,33.0,29.0
narQ,21.0,16.0,18.0
narU,5.0,4.0,6.0
narV,2.0,0.0,0.0
narW,4.0,6.0,1.0
narX,70.0,49.0,59.0
narY,1.0,0.0,2.0
narZ,10.0,10.0,5.0
ndh,9.0,20.0,18.0
ndk,113.0,91.0,109.0
nei,2.0,5.0,3.0
nemA,3.0,5.0,4.0
nepI,11.0,6.0,9.0
nfi,3.0,3.0,5.0
nfnB,4.0,2.0,2.0
nfo,0.0,0.0,0.0
nfrA,20.0,17.0,11.0
nfrB,6.0,10.0,5.0
nfsA,7.0,3.0,4.0
nhaA,9.0,6.0,10.0
nhaB,103.0,116.0,69.0
nhaR,52.0,61.0,52.0
nhoA,2.0,4.0,3.0
nikA,16.0,21.0,19.0
nikB,0.0,1.0,1.0
nikC,1.0,2.0,0.0
nikE,14.0,8.0,7.0
nikR,3.0,1.0,3.0
ninE,3.0,1.0,3.0
nirB,22.0,27.0,16.0
nirC,3.0,4.0,1.0
nirD,2.0,4.0,4.0
nlpA,13.0,21.0,18.0
nlpB,142.0,98.0,121.0
nlpC,3.0,2.0,2.0
nlpD,171.0,166.0,156.0
nlpE,6.0,7.0,7.0
nlpI,682.0,704.0,640.0
nmpC,25.0,30.0,37.0
norR,0.0,0.0,0.0
norV,5.0,8.0,4.0
npr,7.0,9.0,4.0
nrdA,7.0,7.0,13.0
nrdB,7.0,4.0,4.0
nrdD,7.0,16.0,10.0
nrdE,9.0,10.0,12.0
nrdF,4.0,4.0,9.0
nrdG,5.0,3.0,3.0
nrdI,4.0,3.0,3.0
nrdR,42.0,24.0,18.0
nrfA,6.0,7.0,6.0
nrfB,13.0,11.0,10.0
nrfD,6.0,5.0,8.0
nrfG,7.0,4.0,1.0
nsrR,88.0,79.0,82.0
nth,3.0,3.0,7.0
nudB,161.0,152.0,167.0
nudC,13.0,19.0,22.0
nudD,3.0,1.0,2.0
nudE,19.0,16.0,15.0
nudF,12.0,4.0,6.0
nudH,39.0,30.0,36.0
nudI,9.0,13.0,9.0
nudJ,6.0,5.0,8.0
nudK,5.0,14.0,11.0
nuoA,4.0,4.0,9.0
nuoB,11.0,14.0,9.0
nuoC,21.0,15.0,25.0
nuoE,0.0,0.0,0.0
nuoF,2.0,0.0,1.0
nuoH,0.0,0.0,2.0
nuoI,0.0,0.0,1.0
nuoJ,2.0,0.0,1.0
nuoK,0.0,0.0,0.0
nuoL,0.0,0.0,1.0
nuoM,15.0,2.0,12.0
nuoN,0.0,1.0,0.0
nupC,20.0,14.0,20.0
nupG,14.0,17.0,16.0
nusA,277.0,313.0,264.0
nusG,634.0,629.0,605.0
obgE,136.0,138.0,142.0
ogrK,0.0,2.0,0.0
ogt,3.0,9.0,6.0
ompA,279.0,274.0,254.0
ompC,70.0,65.0,62.0
ompF,194.0,169.0,188.0
ompG,9.0,9.0,4.0
ompL,12.0,6.0,7.0
ompN,4.0,7.0,7.0
ompR,1.0,0.0,0.0
ompT,518.0,519.0,539.0
ompW,12.0,17.0,16.0
ompX,0.0,0.0,0.0
oppA,152.0,132.0,161.0
oppB,44.0,48.0,38.0
oppC,13.0,6.0,5.0
oppD,53.0,37.0,40.0
orn,4.0,4.0,2.0
osmB,3.0,1.0,0.0
osmC,5.0,2.0,3.0
osmE,0.0,0.0,0.0
osmY,9.0,9.0,3.0
otsA,13.0,8.0,13.0
otsB,14.0,14.0,10.0
oxc,17.0,14.0,9.0
oxyR,7.0,11.0,17.0
paaA,6.0,4.0,1.0
paaB,3.0,1.0,0.0
paaC,3.0,1.0,1.0
