,EXP_A,EXP_B,EXP_C,VAPC_T2_A,VAPC_T2_B,VAPC_T2_C,VAPC_T5_A,VAPC_T5_B,VAPC_T5_C,VAPC_T5B_A,VAPC_T5B_B,VAPC_T5B_C,VAPC_TON_A,VAPC_TON_B,VAPC_TON_C
thiQ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0
thiS,0.0,1.0,0.0,6.0,0.0,1.0,6.0,10.0,14.0,17.0,24.0,21.0,22.0,10.0,26.0
thrA,26.0,16.0,24.0,22.0,27.0,20.0,72.0,65.0,99.0,116.0,108.0,97.0,153.0,147.0,140.0
thrC,4.0,4.0,2.0,1.0,1.0,4.0,16.0,10.0,9.0,20.0,18.0,11.0,27.0,18.0,45.0
thrS,95.0,67.0,76.0,163.0,162.0,133.0,211.0,201.0,186.0,144.0,146.0,134.0,166.0,166.0,156.0
thrU---thrToperon,48.0,41.0,26.0,295.0,277.0,309.0,2169.0,2118.0,2165.0,5140.0,5308.0,5303.0,6173.0,6445.0,6053.0
thyA,28.0,11.0,23.0,8.0,5.0,4.0,17.0,27.0,24.0,20.0,33.0,25.0,60.0,43.0,56.0
tig,496.0,488.0,488.0,591.0,524.0,555.0,629.0,645.0,668.0,401.0,360.0,347.0,273.0,310.0,295.0
tilS,9.0,8.0,2.0,13.0,6.0,10.0,42.0,36.0,34.0,65.0,73.0,55.0,75.0,70.0,79.0
tktA,147.0,156.0,146.0,53.0,31.0,46.0,99.0,96.0,92.0,127.0,126.0,135.0,156.0,140.0,171.0
tktB,0.0,0.0,1.0,0.0,0.0,4.0,8.0,8.0,11.0,14.0,9.0,14.0,23.0,23.0,25.0
tldD,14.0,14.0,9.0,8.0,12.0,16.0,35.0,40.0,47.0,48.0,64.0,74.0,73.0,82.0,71.0
tmk,1.0,6.0,9.0,23.0,22.0,17.0,75.0,82.0,92.0,106.0,103.0,94.0,122.0,144.0,127.0
tnaA,3.0,2.0,4.0,7.0,4.0,6.0,25.0,15.0,30.0,27.0,43.0,51.0,58.0,49.0,53.0
tnaB,3.0,2.0,2.0,4.0,7.0,7.0,23.0,33.0,30.0,66.0,66.0,68.0,87.0,77.0,73.0
tolA,30.0,23.0,24.0,82.0,82.0,79.0,199.0,170.0,181.0,214.0,220.0,218.0,277.0,254.0,256.0
tolB,101.0,71.0,73.0,95.0,107.0,107.0,172.0,161.0,167.0,192.0,159.0,135.0,135.0,165.0,154.0
tolC,65.0,53.0,48.0,42.0,22.0,22.0,78.0,94.0,78.0,103.0,105.0,97.0,129.0,139.0,155.0
tolQ,47.0,44.0,62.0,132.0,139.0,164.0,299.0,298.0,326.0,304.0,309.0,295.0,333.0,309.0,286.0
tolR,6.0,2.0,14.0,23.0,17.0,22.0,30.0,33.0,49.0,40.0,49.0,31.0,65.0,62.0,44.0
tonB,6.0,4.0,10.0,9.0,3.0,11.0,38.0,43.0,44.0,44.0,50.0,41.0,76.0,79.0,56.0
topA,38.0,55.0,67.0,208.0,144.0,158.0,321.0,308.0,328.0,233.0,260.0,257.0,213.0,227.0,243.0
topB,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,4.0
torA,7.0,2.0,12.0,22.0,15.0,26.0,115.0,129.0,123.0,204.0,206.0,197.0,303.0,300.0,339.0
torC,2.0,0.0,1.0,17.0,15.0,20.0,107.0,114.0,127.0,237.0,225.0,210.0,307.0,275.0,286.0
torD,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,7.0,2.0,11.0,6.0,3.0,4.0
torI,0.0,2.0,1.0,14.0,4.0,11.0,82.0,80.0,80.0,159.0,151.0,126.0,168.0,214.0,213.0
torR,0.0,1.0,1.0,4.0,4.0,5.0,15.0,16.0,18.0,35.0,43.0,32.0,43.0,50.0,55.0
