,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
ortT,5,5,4,23,14,15,9,9,12,5,4,9,3,3,4,5,56,77,197,69,116,145,347,121
osmB,240,132,142,26,7,5,10,14,12,7,186,207,146,167,98,149,1,8,17,12,10,9,12,16
osmC,2416,1326,1056,462,202,300,201,146,212,111,1848,1386,1233,1577,1030,1446,45,111,201,104,54,88,128,180
osmE,615,335,402,377,120,280,138,120,140,129,535,400,294,356,246,383,12,16,57,28,22,48,36,102
osmF,592,313,316,171,70,138,70,55,74,78,470,452,281,376,263,304,33,57,102,31,37,45,93,96
osmY,1877,997,911,307,143,195,61,53,70,46,1589,1214,923,1292,892,1102,19,25,59,25,49,53,98,128
otsA,1444,851,824,255,108,126,70,62,74,63,1210,1030,719,808,670,712,26,43,75,35,24,43,55,78
otsB,1236,746,746,130,46,67,27,26,24,18,956,884,659,730,613,684,3,6,7,1,14,12,23,64
oxc,6,1,5,10,2,11,6,7,5,3,5,3,4,5,7,4,19,12,38,20,37,49,89,58
oxyR,61,38,43,711,245,400,248,175,233,320,60,48,30,70,40,44,55,152,293,114,113,136,192,115
oxyS,26,14,15,41,18,24,22,18,37,15,27,8,12,16,13,21,26,63,106,53,44,47,75,58
paaA,6,3,2,17,5,10,4,6,4,10,3,2,2,8,3,2,0,3,2,1,1,1,1,0
paaB,2,0,0,6,2,3,2,0,3,7,3,0,2,0,2,2,0,0,2,0,1,0,1,2
paaC,5,1,2,7,5,4,1,6,4,11,1,6,5,0,1,4,1,0,2,4,2,1,11,3
paaD,2,1,2,12,2,6,1,3,2,3,1,3,0,1,0,0,0,0,2,3,0,0,3,0
paaE,6,2,3,14,5,10,2,4,8,13,5,2,2,0,3,3,1,2,3,1,5,1,7,2
paaF,0,4,1,24,14,10,4,7,7,9,5,2,3,2,3,2,4,8,15,5,9,12,19,7
paaG,0,1,2,10,2,8,3,5,5,3,3,5,0,0,2,1,3,4,3,0,3,3,1,5
paaH,1,6,1,18,5,7,10,6,10,5,9,4,4,2,1,5,4,6,8,5,4,9,15,12
paaI,3,3,0,7,3,3,0,3,3,6,0,3,0,2,4,7,1,6,5,4,2,0,2,9
paaJ,117,74,57,415,160,312,180,141,203,291,104,94,68,68,64,63,14,23,79,23,37,32,56,90
paaK,145,59,53,634,244,396,298,246,250,296,99,83,77,73,62,75,31,70,102,40,39,52,86,113
paaX,118,61,58,369,158,256,182,132,149,171,79,62,46,52,56,48,32,82,163,47,49,85,123,122
paaY,40,21,22,200,84,114,94,60,93,92,35,31,19,24,20,22,5,15,26,18,28,36,50,40
paaZ,1,1,0,8,6,6,3,0,3,3,4,3,0,1,1,4,2,10,10,3,4,5,8,6
pabA,103,74,71,43,17,33,17,14,23,17,81,82,72,65,51,77,8,27,84,27,20,27,37,43
pabB,49,12,24,144,66,85,73,41,49,51,24,24,16,25,24,27,29,62,111,26,63,89,178,119
