,T0CASP2_cutadapt_1,T0CASP4_cutadapt_1,T0CASP5_cutadapt_1,T0EXP2_cutadapt_1,T0EXP4_cutadapt_1,T0EXP5_cutadapt_1,T0VapC2_cutadapt_1,T0VapC3_cutadapt_1,T0VapC4_cutadapt_1,T0VapC5_cutadapt_1,T1CASP2_cutadapt_1,T1CASP4_cutadapt_1,T1CASP5_cutadapt_1,T2CASP2_cutadapt_1,T2CASP4_cutadapt_1,T2CASP5_cutadapt_1,T2VapC2_cutadapt_1,T2VapC3_cutadapt_1,T2VapC4_cutadapt_1,T2VapC5_cutadapt_1,T3VapC2_cutadapt_1,T3VapC3_cutadapt_1,T3VapC4_cutadapt_1,T3VapC5_cutadapt_1
phoE,2,0,0,5,5,6,5,4,1,1,0,0,0,1,2,0,7,6,9,5,5,3,7,5
phoH,309,222,176,875,372,580,313,254,350,298,347,332,205,250,195,238,155,403,710,375,441,608,898,826
phoP,117,76,56,442,189,281,205,133,199,203,88,121,61,97,85,80,102,225,390,174,244,318,452,336
phoQ,211,118,98,891,354,555,326,262,310,342,147,166,108,124,125,125,120,284,550,219,471,539,801,633
phoR,42,27,27,139,50,94,57,37,50,25,40,44,19,16,23,19,105,244,407,188,91,118,173,112
phoU,54,27,28,360,169,201,163,107,119,108,43,49,20,33,34,22,23,43,74,35,139,117,219,89
php,6,4,2,7,1,8,2,1,4,3,7,5,1,0,1,1,0,4,6,1,4,7,5,10
phr,143,78,89,206,62,136,61,53,69,49,111,82,73,50,61,58,22,44,123,37,43,45,71,48
pinE,0,0,0,3,0,1,3,1,1,2,0,0,0,0,0,1,1,1,5,4,2,3,5,2
pinQ,5,2,14,102,41,46,32,17,29,34,5,8,4,14,7,8,43,79,158,61,146,194,331,242
pinR,8,6,6,124,60,54,35,28,30,28,9,5,5,6,7,5,60,76,169,69,162,202,365,272
pitA,294,173,141,1201,475,832,587,374,745,462,245,186,138,177,141,146,193,590,909,327,614,718,1120,743
pitB,12,8,2,12,3,8,6,7,4,6,9,7,8,7,6,5,0,3,23,7,14,14,27,22
plaP,23,8,10,646,315,490,460,372,518,338,14,13,8,17,6,14,231,517,1016,371,1400,1747,2671,1384
plaR,63,32,36,129,69,103,40,41,46,53,55,47,29,47,38,34,39,117,169,69,38,75,86,82
pldA,15,3,14,333,140,207,124,96,111,113,11,18,8,4,11,9,53,109,206,87,46,77,109,98
pldB,94,69,57,340,116,234,130,102,166,120,111,107,95,113,73,64,57,131,208,99,56,99,132,108
pliG,17,9,11,14,2,8,5,1,8,2,12,22,11,19,13,17,3,10,18,7,11,14,19,12
plsB,348,209,140,2284,910,1538,1085,829,1161,944,304,324,195,280,210,220,141,322,620,281,243,281,511,359
plsC,86,39,30,502,184,330,171,166,193,203,52,48,37,39,27,31,65,165,356,133,312,379,703,363
plsX,870,433,395,3726,1582,3681,1912,1578,2265,1955,681,499,439,573,440,607,2608,4423,10357,4666,5679,6742,10175,7940
plsY,141,76,64,548,266,349,243,188,229,229,154,143,68,128,71,100,66,130,305,98,74,139,174,179
pmrD,16,3,12,144,53,126,83,72,89,91,6,10,7,6,8,6,20,29,63,37,33,55,72,53
pmrR,2,2,6,140,40,86,42,26,51,30,11,8,1,2,1,3,106,237,468,158,367,495,878,254
pncA,26,23,15,267,110,203,134,84,115,172,40,57,35,20,36,26,9,29,32,16,26,28,42,39
pncB,236,133,106,2886,1140,1527,826,733,892,861,201,136,121,159,153,131,456,1087,1921,766,1125,1388,2165,1270
pncC,15,10,8,233,93,148,120,58,129,123,19,24,18,20,9,17,22,51,88,34,28,55,79,76
pnp,2153,1126,1075,9988,3566,6947,4641,3666,4771,4476,1680,1343,1056,1764,1287,1485,2017,4865,8887,3588,3816,4290,7520,4626
pntA,138,74,55,1211,461,801,531,374,497,513,77,99,71,86,57,84,79,193,352,117,213,224,330,290
pntB,221,137,111,1316,500,831,507,416,554,555,159,133,83,177,83,145,115,239,417,159,302,362,613,423
pnuC,82,61,46,467,179,318,99,74,92,94,67,70,51,70,53,53,18,37,64,35,26,29,63,33
polA,206,125,113,1338,551,864,577,417,489,567,211,167,100,145,133,110,50,116,242,92,137,183,277,173
polB,295,200,161,252,107,175,91,77,88,94,231,245,163,201,154,150,27,71,142,46,60,68,119,130
potA,54,31,42,887,357,597,386,301,409,441,61,45,35,37,31,50,451,985,1713,676,1279,1654,2574,1804
potB,18,13,6,296,126,155,141,106,124,151,12,14,6,4,14,6,69,159,237,108,264,326,542,380
