,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
CDN75_RS20440,2,5,3,3,5,2,0,0,0,0,5,5,4,8,5
CDN75_RS21730,4,14,4,5,7,0,0,1,0,0,2,2,2,4,2
CDN75_RS23015,126,119,88,98,135,39,12,26,21,22,119,96,130,86,105
CDN75_RS23280,2,0,0,3,1,3,0,0,0,0,0,1,2,0,1
CDN75_RS23435,4,10,4,8,5,3,0,0,0,0,2,4,5,0,0
CDN75_RS23975,1,0,0,1,1,0,0,0,0,0,0,8,5,3,4
CDN75_RS23980,0,2,0,0,0,2,0,0,1,3,5,0,4,5,1
CDN75_RS24090,0,0,0,1,0,1,0,0,0,0,3,3,2,0,1
CDN75_RS24150,1,0,3,3,0,1,0,0,0,0,3,2,6,4,0
CDN75_RS24155,8,7,3,12,7,3,0,1,2,1,33,40,50,28,37
CDN75_RS24160,6,4,3,5,5,0,0,0,2,2,7,7,7,13,5
CDN75_RS24260,0,0,0,1,0,0,0,0,1,0,0,2,2,3,2
CDN75_RS24270,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0
CDN75_RS24275,2,0,2,4,1,0,0,0,1,0,0,2,3,2,0
CDN75_RS24315,0,2,0,0,1,0,0,0,1,1,1,4,3,0,0
CDN75_RS24320,0,3,0,2,0,1,0,0,0,0,1,5,2,3,2
CDN75_RS24420,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDN75_RS24555,2,3,0,0,0,6,0,0,0,2,2,3,3,0,2
ERCC-00002,1281093,1359800,1869557,1327319,1546864,3404643,1217846,2918401,3074529,2837707,3054420,2857072,3115156,3352858,2786646
ERCC-00003,43950,45086,63999,39621,49219,80968,28660,75982,89897,89287,86737,96810,92650,103587,68702
ERCC-00004,181209,175360,263087,161833,196346,317199,113824,293485,357777,374073,314713,342110,348906,408805,267913
ERCC-00009,55588,57721,77258,55129,65624,126718,46178,116775,127248,119433,122771,114400,130925,135051,106193
ERCC-00012,7,0,12,7,3,18,8,16,22,14,20,19,17,26,25
ERCC-00013,31,36,31,22,39,73,33,54,72,68,77,55,73,93,72
ERCC-00014,404,332,673,458,493,978,330,889,957,953,975,1008,984,1137,778
ERCC-00016,11,5,13,14,13,38,14,14,25,26,11,33,30,17,20
ERCC-00017,20,7,22,18,20,59,9,43,52,30,44,32,42,31,51
ERCC-00019,1712,1596,2169,1702,1779,3825,1448,3272,4138,3827,3478,3415,3933,4325,3010
ERCC-00022,11298,10298,14271,10305,11919,23972,8429,21292,23307,22057,22211,21986,23430,25265,19218
ERCC-00024,1,13,12,18,3,10,4,8,14,10,1,9,15,13,1
ERCC-00025,10078,11699,16769,11525,14695,27939,9745,24740,25641,25090,26524,24924,26559,26502,24872
ERCC-00028,334,228,386,306,284,783,255,620,640,652,643,592,726,725,593
ERCC-00031,127,147,180,156,159,326,112,317,340,330,350,361,350,367,330
ERCC-00033,129,172,232,173,219,349,132,324,256,365,303,358,343,417,289
ERCC-00034,1014,961,1424,984,1171,2738,924,2192,2343,2136,2300,2145,2311,2619,2145
ERCC-00035,10505,10042,14004,10762,11955,26939,9870,22823,23867,22476,24022,21915,23597,25941,22228
ERCC-00039,187,159,209,134,153,421,132,335,386,393,318,367,315,409,327
ERCC-00040,47,51,70,64,44,150,38,135,134,119,135,117,126,130,99
ERCC-00041,18,17,32,18,20,28,19,46,44,61,56,57,64,57,52
ERCC-00042,38072,39018,55026,36470,45102,82418,27761,75771,83630,81858,81350,83924,86008,95502,67633
ERCC-00043,15027,16226,22218,13105,17150,28738,10864,25985,31494,33170,29234,31362,32897,38416,23906
ERCC-00044,10957,10530,15140,11085,13015,27954,9930,24130,25192,23249,24860,23001,24920,26894,23031
ERCC-00046,105552,117725,164187,98035,113458,249277,103442,206461,230813,238819,207530,203936,234451,279175,186589
ERCC-00048,3,2,0,4,1,9,1,2,4,3,2,3,10,6,4
ERCC-00051,322,399,583,278,413,752,312,647,651,778,564,646,704,910,576
ERCC-00053,1149,1289,1610,934,1316,2054,705,1856,2268,2433,2111,2527,2358,2418,1739
ERCC-00054,2,4,4,1,1,9,1,5,12,8,6,1,12,9,16
ERCC-00057,4,4,1,1,3,3,3,0,2,2,8,8,13,4,5
ERCC-00058,206,193,295,169,233,456,188,430,548,463,458,448,518,539,443
ERCC-00059,534,423,628,478,542,1142,407,828,1128,1057,872,926,1044,1322,821
ERCC-00060,8292,8543,11710,7339,8637,17346,6876,14510,15609,16876,15483,16059,17046,20009,13951
ERCC-00061,2,6,1,14,3,18,3,9,9,2,5,5,17,5,15
ERCC-00062,2131,2279,3315,1853,2511,4878,1670,4328,4660,4555,4409,4726,4811,4996,3852
ERCC-00067,72,62,88,66,80,175,64,150,151,148,95,135,156,188,122
ERCC-00069,167,190,239,187,184,424,176,403,400,393,349,400,402,428,354
ERCC-00071,2524,2576,3481,2403,3019,5805,2180,5309,6021,5573,5382,5283,5710,6336,4628
ERCC-00073,59,57,79,61,58,126,56,99,123,65,101,113,105,118,82
ERCC-00074,414954,387566,563492,356458,419641,714603,253285,640314,827542,873545,658773,738086,810339,988419,573317
ERCC-00075,3,1,8,2,0,6,1,4,5,1,6,11,7,9,2
ERCC-00076,9125,9064,12316,9027,9792,23189,8888,20712,22776,20709,20637,19218,22442,24525,18400
ERCC-00077,38,24,53,28,52,80,25,38,45,47,28,50,39,74,41
ERCC-00078,2736,2770,3931,2893,3375,7723,2686,6349,6804,5845,6778,6337,6203,6937,6325
ERCC-00079,2680,2490,3478,2601,2830,7019,2673,5905,6484,5820,6068,5573,6224,6733,5433
ERCC-00081,0,8,6,8,3,19,6,7,10,26,7,11,14,16,13
ERCC-00083,4,0,3,12,8,12,7,13,8,12,19,9,9,8,0
ERCC-00084,2952,2859,3976,3064,3268,7572,2666,6246,6798,6161,6855,6082,6985,7282,5854
ERCC-00085,445,446,591,381,538,1133,335,944,1034,844,1011,906,1082,1176,863
ERCC-00086,6,7,9,1,9,7,3,11,8,12,2,14,9,20,3
ERCC-00092,20746,21455,29905,20760,24292,55022,19299,44949,47833,45143,47522,46737,48353,54089,42051
ERCC-00095,4878,4729,6735,4716,5418,9504,3548,8998,11163,11146,9947,10247,10942,12731,7760
ERCC-00096,1399440,1368920,1959446,1408494,1690914,3395608,1174731,3005314,3186311,2988211,3210964,3052668,3192753,3308720,2895445
ERCC-00097,24,10,31,12,12,30,2,16,45,35,17,35,39,44,19
ERCC-00098,0,7,9,3,8,15,9,12,18,16,9,14,19,14,12
ERCC-00099,1161,1168,1661,1122,1280,3031,967,2396,2624,2403,2419,2441,2612,3091,2078
ERCC-00104,19,24,25,14,31,53,24,65,44,56,38,54,64,59,34
ERCC-00108,55611,59488,82189,56289,68897,128248,45622,118918,131134,123870,129136,123209,138326,141562,111254
ERCC-00109,27,23,27,17,24,65,21,41,52,36,34,41,39,62,51
ERCC-00111,34996,32652,46226,33287,38198,83292,28368,66356,70525,68942,72372,74140,72897,87280,65367
ERCC-00112,11691,12324,17053,12302,14216,28873,10343,25543,27339,26307,26813,25202,27861,29590,24180
ERCC-00113,285683,256337,370675,273940,314438,679201,241075,595508,632629,592669,612446,572828,616339,658604,563373
ERCC-00116,83256,95384,127054,90175,113995,208604,72938,186320,201542,192434,207010,193910,212519,210938,181865
ERCC-00117,6,7,15,14,5,24,7,11,31,2,34,30,23,28,25
ERCC-00120,28,9,29,17,20,33,8,40,48,30,41,32,39,53,17
ERCC-00123,27,37,44,23,44,48,22,52,33,60,48,66,60,73,45
ERCC-00126,584,578,783,624,644,1477,487,1264,1367,1291,1235,1226,1271,1437,1155
ERCC-00130,1358362,1257750,1803579,1289680,1517781,3549653,1265747,2793416,2870992,2846029,2989423,2876416,2895692,3361956,2706938
ERCC-00131,7988,7842,10765,7563,8665,18563,6729,16066,17303,16724,17168,16117,17055,19289,14719
ERCC-00134,3,4,4,7,6,8,4,8,11,1,10,15,13,17,9
ERCC-00136,87653,86672,121504,81609,96125,176500,68536,153459,186671,194734,159036,161989,184876,224500,141170
ERCC-00137,42,37,56,19,37,87,27,66,66,85,65,60,62,77,41
ERCC-00138,8,34,22,19,10,24,19,24,27,30,41,38,36,37,25
ERCC-00142,0,1,1,1,0,8,1,4,3,1,1,3,1,3,1
ERCC-00143,220,241,284,177,225,461,184,503,488,509,457,395,487,496,430
ERCC-00144,909,918,1177,847,929,2119,877,1882,2169,2011,1818,1783,2174,2354,1633
ERCC-00145,41429,42303,59489,41552,50797,99977,36787,89262,93781,90732,93836,90027,94606,102812,81661
ERCC-00147,11,9,10,7,7,26,10,7,20,14,14,25,26,40,12
ERCC-00148,390,396,538,337,386,1023,371,812,904,771,741,742,828,1044,818
ERCC-00150,114,93,132,99,96,300,94,182,248,218,221,222,249,303,212
ERCC-00154,53,64,79,34,65,204,77,105,65,126,90,129,134,232,95
ERCC-00156,32,12,27,15,18,36,13,25,36,31,18,34,23,34,14
ERCC-00157,1132,1119,1570,1073,1237,2733,1012,2331,2509,2267,2391,2315,2597,2689,2267
ERCC-00158,26,26,40,27,34,57,24,60,60,54,58,84,69,80,63
ERCC-00160,842,883,1195,852,948,1957,758,1777,1956,1848,1901,1927,1952,2187,1521
ERCC-00162,1661,1672,2522,1460,1818,3170,1095,3053,3673,3652,3267,3695,3566,4301,2430
ERCC-00163,632,609,848,635,694,1632,592,1395,1535,1547,1430,1415,1437,1757,1204
ERCC-00164,24,26,45,39,38,47,22,60,70,51,64,73,68,56,49
ERCC-00165,3564,3409,4503,3463,3938,8205,2811,7483,8115,7427,7646,7004,7962,8339,6793
ERCC-00168,31,19,55,49,40,49,13,61,76,85,74,90,62,87,48
ERCC-00170,650,823,1069,655,834,1744,716,1369,1559,1528,1265,1433,1585,1982,1336
ERCC-00171,139183,136859,195847,143027,153169,355253,144396,319024,348447,330641,311717,284696,316462,357884,289759
HQ24_RS02850,1443,2065,1080,935,2049,47,15,35,23,4,69,65,78,95,54
HQ24_RS14730,0,0,0,0,2,0,0,0,0,0,6,4,3,3,0
HQ24_RS14780,15,10,3,6,1,7,2,5,6,0,17,10,10,12,14
HQ24_RS14810,2333,2689,1359,2706,1784,44,9,31,54,27,66,55,56,88,46
HQ24_RS14995,7,6,0,8,12,0,0,6,1,1,17,20,35,35,22
HQ24_RS15045,292,395,254,100,240,0,0,0,3,0,6,13,10,2,3
HQ24_RS15160,252,219,134,368,169,189,36,84,112,37,1158,1131,1259,1974,1040
HQ24_RS15200,69,74,66,60,38,23,6,24,17,8,158,195,216,260,246
HQ24_RS15245,0,1,0,0,0,0,0,0,0,0,1,7,2,1,0
HQ24_RS15255,0,16,7,8,3,1,0,0,0,0,0,3,2,13,1
HQ24_RS24660,4,11,4,2,1,0,0,0,1,0,2,8,6,5,0
HQ24_RS26150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HQ24_RS26650,2,0,1,0,1,0,0,0,0,0,0,4,0,0,0
HQ24_RS27005,26,7,10,12,11,19,8,7,8,2,26,25,22,36,19
HQ24_RS27035,7,6,0,0,2,1,0,1,2,0,4,3,7,1,0
HQ24_RS27050,29,44,30,37,32,28,6,11,22,21,85,103,95,79,42
HQ24_RS27090,0,0,0,0,0,12,2,4,1,0,2,0,4,4,1
HXF02_RS00010,170,244,106,137,166,67,18,26,75,25,161,147,132,130,106
HXF02_RS00020,65,113,63,26,62,6,0,0,2,1,15,7,9,4,4
HXF02_RS00030,9814,10639,5222,10322,6833,4174,1686,2735,6043,2518,5530,5901,7869,22078,10034
HXF02_RS00045,372,344,205,430,260,72,23,60,75,40,88,77,69,72,50
HXF02_RS00050,28,26,19,25,10,45,6,27,15,7,26,39,34,43,36
HXF02_RS00055,464,548,437,499,459,434,135,299,320,286,850,788,837,828,693
HXF02_RS00060,6,4,0,3,4,0,1,0,0,0,1,1,1,2,0
HXF02_RS00070,0,0,0,2,3,3,2,0,1,0,1,1,2,2,0
HXF02_RS00085,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HXF02_RS00095,1392,1814,905,960,1125,277,79,176,218,88,768,726,769,589,486
HXF02_RS00105,3585,4194,2262,4290,3230,1379,412,901,971,497,3602,3354,3666,2843,2607
HXF02_RS00140,1358,1312,669,2217,973,580,163,321,415,165,645,596,783,820,612
HXF02_RS00160,175,220,81,174,145,152,41,77,79,32,352,390,390,477,421
HXF02_RS00165,690,715,385,812,603,109,45,75,73,49,296,237,330,358,212
HXF02_RS00170,82,86,33,55,59,4,5,12,6,2,40,33,40,34,21
HXF02_RS00180,91,153,58,258,73,62,18,28,39,11,115,104,132,152,95
HXF02_RS00185,331,393,204,712,259,170,36,96,107,45,296,330,307,445,284
HXF02_RS00190,659,775,384,876,589,156,41,81,120,55,249,200,293,236,163
HXF02_RS00210,505,602,283,1130,454,119,32,72,79,19,959,912,1119,708,653
HXF02_RS00225,1429,1720,868,1508,1267,849,224,498,695,289,1116,1035,1060,921,740
HXF02_RS00235,2,12,0,16,5,4,0,5,2,1,74,48,73,21,15
HXF02_RS00240,10,17,7,5,10,2,4,2,1,3,61,57,72,18,29
HXF02_RS00245,1,2,0,0,0,0,0,0,0,0,7,4,5,0,0
HXF02_RS00250,8,8,3,8,7,4,1,2,3,0,30,41,28,17,12
HXF02_RS00255,5,14,4,8,5,2,1,4,4,1,74,74,93,13,17
HXF02_RS00260,20,19,8,21,16,14,8,6,10,2,6,11,19,4,9
HXF02_RS00265,9,20,6,6,6,12,4,19,8,11,26,21,13,24,11
HXF02_RS00270,7,1,4,9,4,12,6,13,14,0,10,13,5,7,4
HXF02_RS00280,47,52,27,18,29,6,4,5,5,5,13,22,16,9,39
HXF02_RS00285,12,27,3,17,14,5,2,9,3,3,5,5,4,7,11
HXF02_RS00290,152,179,112,134,126,125,34,63,82,43,94,97,66,80,79
HXF02_RS00305,4565,5093,2286,4280,3317,1355,573,1042,2307,1092,1607,1563,2297,3352,1603
HXF02_RS00320,24,24,11,24,15,0,1,0,3,0,14,6,13,17,19
HXF02_RS00325,29,20,21,16,12,3,0,3,1,0,21,19,9,15,12
HXF02_RS00430,311,558,265,87,277,1,1,4,6,4,34,20,37,20,29
HXF02_RS00445,8,4,12,7,2,1,0,2,1,0,0,0,5,6,0
HXF02_RS00520,231,250,101,168,136,104,19,47,54,25,392,482,431,447,325
KanR,95803,103942,52875,135598,83294,83558,26173,57572,62200,26771,98331,94587,104835,133908,107435
Spc,11631,12099,6473,10894,9006,6404,1854,4052,5886,2452,5681,5397,5851,7494,5678
YFP,34898,31675,16604,31015,23945,6035,1651,3449,5527,2755,2975,3753,4178,11504,4630
aaeA,31,23,19,52,15,4,7,13,17,6,120,98,125,70,75
aaeB,65,95,46,105,77,23,5,15,18,7,252,212,283,148,172
aaeR,208,242,124,278,177,149,45,89,77,30,397,333,390,331,309
aaeX,3,1,2,13,0,18,6,9,10,5,38,30,37,53,24
aas,1012,1128,605,1248,851,358,130,228,316,142,460,464,499,505,380
aat,409,476,249,373,348,211,76,109,109,48,220,208,248,294,192
abgR,262,308,141,184,224,53,17,19,17,16,88,75,85,82,68
abpA,525,516,306,761,491,89,17,38,62,17,182,220,250,205,138
abpB,469,593,303,818,407,65,16,44,45,14,141,152,167,140,93
abrB,35,17,4,20,12,8,4,5,3,4,14,12,8,15,4
accA,2758,3066,1477,2366,2176,558,207,346,529,226,1118,1107,1288,1523,1169
accB,4193,4320,2186,2360,3162,79,34,62,73,29,250,265,300,239,234
accC,9579,11730,5737,6087,8912,222,64,138,189,57,476,487,568,477,477
accD,5179,5592,2714,4172,4398,843,255,628,748,300,1916,1729,1952,2152,1828
aceA,2114,2654,1225,39302,2587,904,226,591,1028,400,1989,1802,2003,1448,1042
aceB,1362,1616,746,23665,1343,1065,304,663,1173,480,2876,2654,3155,2213,1659
aceE,5099,7455,3767,3071,5856,1667,456,1130,1107,559,930,835,913,1158,654
aceF,4807,7075,3483,2780,4781,1577,482,1061,1166,500,644,650,711,710,502
aceK,468,538,301,6636,596,273,64,129,225,92,213,197,238,157,136
ackA,2847,3502,1880,3008,2744,2997,762,1720,1912,893,731,743,790,942,576
acnA,2286,2995,1542,10576,1874,3171,927,2096,2075,1004,3364,3208,3356,4941,3202
acnB,29624,37750,18325,31143,31752,5504,1618,3384,4053,1754,7209,6897,7714,6290,6033
acpH,119,122,49,176,84,72,27,45,48,22,330,280,352,568,395
acpP,8038,8847,4390,7270,6122,1196,359,625,1037,498,2039,2199,2463,3535,1809
acpS,185,238,122,296,157,77,38,53,92,27,48,50,61,39,48
acpT,414,377,148,467,251,70,20,52,61,24,113,107,126,177,136
acrA,2548,3203,1475,4001,2323,344,91,189,254,121,2015,1906,2193,2130,1857
acrB,6533,8496,3983,9710,6684,594,190,354,528,258,4520,4368,4769,4843,4331
acrD,328,364,219,381,279,90,19,48,51,26,403,404,448,255,269
acrE,2,4,4,6,3,1,0,0,2,0,10,18,12,5,7
acrF,113,154,67,148,122,49,10,16,32,6,165,199,205,105,91
acrR,73,87,54,54,54,3,1,1,4,1,30,29,35,54,22
acrS,0,13,2,0,5,2,2,0,0,0,0,5,7,3,0
acrZ,129,101,66,164,93,108,29,66,103,48,30,30,28,126,48
acs,14083,18106,9087,37444,12649,1688,446,1080,1304,551,752,649,762,2421,1217
actP,8464,11822,5612,25129,8180,507,145,303,396,190,165,159,180,475,237
actS,400,357,186,354,232,75,27,30,48,18,156,166,205,210,154
ada,186,221,165,231,200,455,94,252,316,153,521,634,631,1140,789
add,218,182,109,230,153,1047,294,664,862,306,640,660,716,871,632
adeD,97,151,83,140,72,101,23,63,111,38,148,131,163,158,190
adeP,3837,4484,2308,1802,3352,55,16,46,61,26,168,153,195,138,138
adeQ,16,21,18,68,32,76,28,42,63,36,75,94,112,106,94
adhE,10530,12984,6032,25519,9693,22507,5913,13410,13105,5816,2463,2288,2599,6549,3374
adhP,2991,3533,1816,8092,2311,2049,665,1489,1450,601,2575,2501,2603,2984,2297
adiA,46,63,27,54,47,61,18,34,25,2,24,18,38,15,29
adiC,10,6,17,19,13,44,14,18,29,9,47,67,60,29,24
adiY,1,0,0,6,1,27,8,16,34,6,13,37,28,26,24
adk,2863,2671,1312,2281,2081,164,41,78,133,43,326,367,387,453,328
adrA,43,38,25,67,27,270,75,115,203,86,91,96,92,147,100
aegA,111,107,38,93,68,29,14,22,26,21,125,84,120,92,91
aer,777,991,553,840,775,92,23,58,49,26,1381,1294,1442,891,885
aes,28,38,34,29,35,36,19,31,57,6,39,51,33,54,35
agaB,6,14,4,9,3,0,0,0,0,0,16,11,3,12,18
agaC,14,19,8,4,12,2,0,0,0,1,14,9,11,24,10
agaD,11,20,2,17,26,17,10,7,31,8,29,15,16,25,21
agaI,12,18,16,11,17,1,1,4,3,0,16,13,14,13,14
agaR,654,727,392,755,549,147,31,99,158,51,422,399,423,558,367
agaS,22,31,21,19,33,8,9,7,12,1,98,100,106,230,138
agaV,69,105,54,80,95,21,8,10,15,1,32,30,50,94,37
agn43,176,228,147,175,117,63,11,41,44,16,229,229,255,115,137
agp,1150,1133,593,3384,1019,2083,677,1311,1602,718,357,342,376,637,387
ahpC,6096,5953,3011,10011,4307,553,178,358,459,178,662,801,821,998,541
ahpF,959,1156,595,1393,860,440,109,304,324,146,962,844,986,1016,925
ahr,299,374,172,1474,207,1635,483,1030,1344,572,1719,1588,1638,2507,1873
aidB,188,245,129,1100,144,426,116,352,370,173,755,608,698,1044,720
ais,31,17,12,11,8,20,3,5,10,6,30,23,37,31,17
alaA,3386,3650,1885,2558,2694,57,23,55,41,19,669,609,713,525,490
alaC,1249,1392,805,3696,1120,1341,432,895,1297,519,1246,1108,1195,1653,1396
alaE,57,57,14,216,20,1450,440,891,1740,743,52,47,66,60,40
alaS,10396,13148,6483,7428,10310,747,190,386,514,208,2241,2234,2466,2282,2347
alaT,412,374,291,143,365,24,2,6,13,6,36,36,44,74,36
alaV,205,183,117,59,191,13,1,4,7,4,26,17,35,25,23
alaW,301,219,83,108,140,27,3,15,13,11,17,13,14,29,16
aldA,32182,37771,19024,49735,29606,5421,1539,3171,4129,1745,260,286,281,1250,583
aldB,1991,2361,1138,6271,1384,2516,738,1578,2213,961,527,500,610,1223,596
alkA,170,170,84,372,120,85,31,50,77,37,152,148,152,168,115
alkB,45,66,39,70,68,77,27,57,45,22,146,124,128,200,207
allA,48,32,18,14,12,32,3,18,27,16,28,27,25,24,21
allB,49,77,21,93,46,41,11,24,23,11,135,114,152,77,99
allC,90,50,43,144,51,78,16,35,40,10,63,84,59,56,79
allD,18,11,9,13,11,6,1,1,4,0,21,16,9,3,8
allE,74,100,38,151,53,81,19,37,52,25,58,81,78,92,52
allR,883,981,517,1167,610,2887,696,1654,2255,908,1206,1275,1510,3598,1613
allS,15,9,5,11,4,7,1,7,3,0,23,4,12,11,3
alpA,7,8,2,5,9,1,0,0,2,0,6,7,8,2,7
alr,571,651,367,470,509,18,5,13,15,7,311,328,376,165,166
alsA,33,76,32,47,57,7,7,19,17,0,31,52,38,22,13
alsB,173,152,70,117,120,43,20,27,46,10,77,56,71,54,48
alsC,28,51,23,32,27,11,6,1,7,5,38,28,27,11,12
alsE,28,42,28,26,13,10,4,5,5,1,16,30,32,8,13
alsK,68,81,37,53,39,20,1,24,30,2,54,52,54,33,17
alsR,350,312,239,350,275,101,36,54,105,46,52,54,56,63,41
alx,343,388,212,378,243,51,9,27,34,9,384,385,447,508,434
amiA,614,747,395,445,551,84,30,47,48,24,873,889,935,949,736
amiB,677,826,411,844,567,366,91,233,275,114,1190,1093,1149,1577,1463
amiC,1361,1494,715,1370,1289,42,20,26,31,19,1335,1329,1443,730,792
amiD,171,280,176,715,188,425,113,258,317,187,801,851,788,1156,735
amn,1095,1343,600,3050,919,554,106,321,341,125,105,131,128,210,107
ampC,127,196,84,192,106,14,2,6,6,1,68,71,87,100,77
ampD,138,139,39,224,103,92,40,47,92,28,41,49,59,57,65
ampE,236,314,151,537,224,280,85,120,126,52,172,133,167,186,117
ampG,1310,1516,730,793,1074,57,13,15,26,12,88,76,79,100,70
ampH,913,1030,464,913,741,70,19,43,59,23,200,159,171,212,105
amtB,96,152,54,126,89,118,36,85,82,44,245,235,204,201,160
amyA,3299,3993,2072,6832,3230,1239,365,769,879,395,1865,1851,1963,1880,1323
anmK,342,398,212,370,346,117,32,84,134,55,233,246,265,256,231
ansA,927,880,504,690,773,40,10,21,18,2,121,150,156,184,124
ansB,132,159,80,145,71,78,18,39,41,18,451,421,439,307,299
ansP,118,156,99,64,125,17,12,24,25,6,165,145,168,69,92
apaG,480,474,241,515,359,296,76,171,212,90,326,359,439,588,346
apaH,535,747,341,864,414,470,104,295,262,100,533,496,619,619,532
apbC,1363,1551,868,1577,1213,357,99,180,277,111,665,619,739,810,669
apbE,226,284,162,125,252,5,2,3,3,3,251,259,257,171,229
aphA,585,620,272,517,425,26,6,14,14,10,66,52,72,78,84
appA,89,89,49,131,75,98,31,59,37,31,128,113,109,127,103
appB,52,71,15,57,48,111,11,58,43,23,59,49,55,53,33
appC,82,74,50,81,44,137,34,69,107,32,84,65,91,46,47
appY,9,6,13,25,2,5,3,4,17,4,8,14,23,21,26
apt,1400,1316,660,672,1016,20,9,21,28,7,281,262,322,123,133
aqpZ,209,234,127,425,157,1232,429,945,1036,405,342,312,322,465,289
araA,66,76,20,92,63,140,38,67,53,60,53,45,53,45,39
araB,36,35,21,46,25,140,33,102,72,37,41,46,44,57,28
araC,169,185,105,156,202,266,69,157,188,101,262,262,251,474,290
araD,72,67,44,116,50,28,21,35,38,10,97,58,71,129,92
araE,257,297,176,217,220,201,51,123,175,68,343,384,412,466,350
araF,254,251,116,501,176,106,33,65,87,45,180,181,173,142,126
araG,79,132,49,164,72,185,41,103,99,38,162,167,166,123,90
araH,96,132,66,163,51,207,59,108,127,63,154,156,137,148,129
araJ,64,91,48,95,50,148,29,76,109,38,73,63,130,145,83
arcA,3932,4036,1927,10505,2875,4859,1255,2984,4507,2028,5838,5881,6433,11185,6490
arcB,1175,1463,750,1520,1043,1187,346,741,782,414,247,277,280,365,229
arcC,66,77,42,106,50,123,49,61,104,49,67,74,89,133,71
arfA,46,40,20,51,29,17,6,15,29,12,160,175,133,198,143
arfB,119,103,60,217,98,32,20,33,33,9,188,191,217,171,155
argA,152,172,93,188,118,825,203,513,777,254,240,296,321,251,199
argB,83,92,59,274,90,799,256,476,739,279,281,253,285,313,305
argC,26,58,34,91,46,832,244,506,798,329,39,39,56,30,33
argD,272,333,149,224,241,912,240,492,731,316,484,520,534,569,464
argE,241,305,118,804,254,539,149,334,445,230,232,295,304,396,304
argF,84,145,60,186,98,1006,297,545,904,348,281,236,262,171,213
argG,771,829,343,1467,424,1118,294,603,1026,432,967,972,1060,1114,882
argH,284,370,146,921,264,1868,541,1153,1549,649,1334,1216,1332,1720,1457
argL,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
argO,59,62,23,87,36,14,6,10,8,7,613,501,526,654,615
argP,586,710,378,854,466,139,48,105,133,75,226,197,217,207,161
argR,535,385,237,392,388,256,87,171,278,114,508,517,590,969,493
argS,2264,2375,1287,949,2045,307,82,208,188,89,595,539,627,501,478
argT,2786,3401,1664,7490,2366,497,110,282,435,148,755,672,784,883,618
argU,10,18,5,1,6,0,0,0,1,0,1,3,6,5,1
argV,3316,3103,1627,896,2671,48,23,61,62,29,258,274,301,357,259
argW,4,3,0,21,4,8,5,3,6,3,4,0,8,18,6
argX,200,209,114,203,164,619,191,330,554,186,106,123,120,485,152
ariR,8,13,7,13,7,51,22,34,36,35,1235,1550,1544,3083,1113
arnA,501,555,273,1012,362,137,27,97,99,38,187,145,130,178,115
arnB,228,219,127,861,157,142,36,109,135,48,626,620,723,722,569
arnC,121,187,78,516,147,92,12,49,42,23,106,90,112,102,80
arnD,172,159,105,322,140,20,1,11,15,8,119,111,87,81,42
arnE,53,53,32,105,34,25,7,13,20,9,36,36,58,49,44
arnF,39,42,27,75,13,16,7,12,8,7,29,28,34,25,33
arnT,133,162,75,226,109,57,18,22,37,32,109,63,79,83,56
aroA,733,883,483,1243,682,92,19,57,80,36,85,124,99,113,109
aroB,3485,4652,2196,3039,3589,507,158,314,475,165,1002,902,994,985,949
aroC,1513,1976,1012,1631,1511,94,19,52,67,22,427,428,429,353,351
aroD,286,273,154,408,181,39,12,37,56,7,126,149,123,151,116
aroE,1129,1317,566,913,778,429,98,304,356,143,660,556,712,790,642
aroF,490,628,298,1000,472,498,136,265,358,123,586,546,602,472,346
aroG,1581,1666,892,2111,1123,290,85,208,379,111,1160,1017,1127,1595,1158
aroH,1015,839,486,1317,701,67,19,21,30,14,251,214,263,197,180
aroK,2588,3135,1426,1861,2143,296,43,179,218,98,644,634,629,575,477
aroL,508,522,269,522,374,95,18,55,35,17,111,80,102,157,94
aroM,393,423,236,508,298,144,43,83,130,67,212,223,243,234,191
aroP,468,644,260,796,455,382,116,276,316,131,581,539,686,971,662
arsB,76,59,22,75,54,29,8,14,32,23,68,66,70,84,68
arsC,438,504,227,529,336,92,30,52,55,31,122,142,166,89,108
arsR,17,19,8,32,9,6,1,0,6,0,15,15,13,16,15
artJ,955,972,610,2559,708,4084,1224,2551,3359,1481,912,832,917,1630,1177
artM,795,987,476,1577,618,896,279,651,857,358,434,409,400,456,530
artP,413,555,304,1087,366,2142,544,1209,1703,678,621,704,767,1046,803
artQ,685,875,402,1935,602,839,226,577,769,296,508,453,523,635,661
ascB,125,165,92,229,119,228,72,132,196,91,183,140,140,227,159
ascF,131,186,102,117,115,365,108,235,292,119,154,153,177,326,177
ascG,507,496,186,491,378,55,23,40,56,28,218,234,209,191,196
