,EXP_biorep1a,EXP_biorep1b,EXP_biorep1c,EXP_biorep2,EXP_biorep3,CASP_biorep1a,CASP_biorep1b,CASP_biorep1c,CASP_biorep2,CASP_biorep3,Disrupted_biorep1a,Disrupted_biorep1b,Disrupted_biorep1c,Disrupted_biorep2,Disrupted_biorep3
yghB,637,465,264,419,367,640,177,368,517,234,250,171,260,435,246
yghD,45,24,19,26,23,15,7,8,10,2,52,70,83,54,27
yghO,15,22,4,13,6,1,0,6,0,3,6,13,16,7,2
yghR,15,10,10,10,7,4,2,1,0,3,36,22,37,15,8
yghS,20,2,20,11,4,0,0,4,4,0,25,13,10,18,14
yghT,6,1,9,4,0,2,0,6,11,1,4,21,10,4,6
yghU,1361,1638,691,2579,1197,448,145,239,360,154,826,809,1002,911,722
yghW,22,15,8,14,14,5,3,6,2,5,65,73,74,46,52
ygiB,2307,2447,1390,2249,2026,639,176,424,608,228,1283,1291,1336,1373,1102
ygiC,3775,4548,2318,3666,3070,678,168,406,572,210,783,742,793,794,632
ygiD,73,47,42,80,50,106,35,53,116,48,93,93,73,107,76
ygiF,679,825,414,1229,649,291,72,157,207,94,379,390,446,367,334
ygiL,10,8,12,14,10,0,0,1,1,0,3,5,15,13,5
ygiM,1283,1228,670,501,527,57,17,53,38,24,739,590,763,132,117
ygiN,521,470,287,677,374,500,156,250,508,238,192,268,305,852,277
ygiQ,2379,2719,1336,938,2493,57,13,39,29,20,318,268,325,143,131
ygiS,372,470,226,375,370,78,20,81,59,23,1229,984,1110,607,809
ygiV,88,59,47,168,35,57,10,37,21,12,229,294,279,212,202
ygiW,383,284,123,655,142,753,207,368,431,171,749,852,876,931,454
ygiZ,0,2,0,0,1,5,2,0,0,2,8,6,11,3,0
ygjG,2016,2286,1163,6422,1476,9048,2630,5909,7308,3222,967,846,960,2540,1312
ygjH,24,23,7,33,19,32,14,23,27,15,27,27,18,108,45
ygjI,82,93,59,81,91,35,8,35,12,12,25,22,27,75,34
ygjJ,26,37,11,18,23,2,0,3,0,1,11,5,9,4,10
ygjK,56,84,26,68,60,7,1,6,12,4,63,59,80,29,47
ygjP,71,73,23,66,40,14,4,16,11,0,38,31,42,57,17
ygjQ,22,23,8,21,13,6,0,0,0,2,7,7,15,6,9
ygjR,634,770,331,1187,574,1004,304,643,954,400,204,194,179,308,192
ygjV,18,32,18,21,10,9,2,1,9,4,22,21,27,21,17
yhaB,0,10,2,8,7,0,0,0,0,0,2,1,8,4,1
yhaC,3,5,3,13,2,0,0,1,0,0,6,4,2,2,0
yhaH,69,100,60,346,32,148,33,74,101,33,276,310,267,1243,399
yhaI,17,26,9,39,10,60,25,38,39,29,43,85,69,149,85
yhaJ,641,618,333,699,495,159,47,118,157,65,298,339,343,389,337
yhaK,31,26,2,30,14,10,4,16,22,4,19,21,19,23,16
yhaL,80,84,54,51,70,10,2,3,2,1,13,11,31,34,30
yhaV,177,147,80,230,110,297,85,185,228,118,581,642,614,1048,588
yhbE,1494,1761,889,440,1370,1026,297,603,819,356,827,830,928,905,762
yhbO,45,43,20,357,26,467,128,215,343,158,218,177,221,394,231
yhbP,115,120,81,59,67,6,0,11,9,4,84,86,76,92,81
yhbQ,18,36,16,27,21,4,0,7,3,0,19,16,22,27,38
yhbS,562,659,292,732,415,543,151,339,516,211,477,464,570,532,374
yhbW,279,364,158,856,231,428,141,261,290,114,422,360,410,610,357
yhbX,15,11,14,17,15,1,4,5,9,1,39,48,47,36,25
yhbY,919,955,403,491,689,59,14,41,89,47,51,85,63,135,81
yhcA,5,2,5,3,1,2,0,5,0,3,19,26,23,22,11
yhcC,11,22,7,23,10,9,9,18,12,5,37,47,37,26,13
yhcD,73,76,48,163,57,20,4,22,19,9,110,137,138,154,72
