GO_ID,Term,Category,p-value,FDR,Fold Enrichment,Ratio in Study,Ratio in Population
GO:0019240,citrulline biosynthetic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0046050,UMP catabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0000902,cell morphogenesis,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0036386,bacterial nucleoid packaging,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0042256,cytosolic ribosome assembly,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0050918,positive chemotaxis,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0060567,negative regulation of termination of DNA-templated transcription,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0009164,nucleoside catabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0015886,heme transport,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0044209,AMP salvage,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0006566,threonine metabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0006535,cysteine biosynthetic process from serine,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0006650,glycerophospholipid metabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0006536,glutamate metabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0006538,glutamate catabolic process,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0042941,D-alanine transmembrane transport,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:0015794,glycerol-3-phosphate transmembrane transport,BP,0.05252304097189642,0.7262826529217016,e,"(2, 500)","(3, 3597)"
GO:1902021,regulation of bacterial-type flagellum-dependent cell motility,BP,0.0544786960723364,0.7454069208627615,e,"(4, 500)","(11, 3597)"
GO:0051302,regulation of cell division,BP,0.06067256883237069,0.8171836614609927,e,"(3, 500)","(7, 3597)"
GO:0032297,negative regulation of DNA-templated DNA replication initiation,BP,0.06067256883237069,0.8171836614609927,e,"(3, 500)","(7, 3597)"
GO:0042450,arginine biosynthetic process via ornithine,BP,0.08732161935993646,0.8758422066256297,e,"(3, 500)","(8, 3597)"
GO:0035351,heme transmembrane transport,BP,0.08732161935993646,0.8758422066256297,e,"(3, 500)","(8, 3597)"
GO:0006139,nucleobase-containing compound metabolic process,BP,0.08732161935993646,0.8758422066256297,e,"(3, 500)","(8, 3597)"
GO:0009102,biotin biosynthetic process,BP,0.08732161935993646,0.8758422066256297,e,"(3, 500)","(8, 3597)"
GO:0000917,division septum assembly,BP,0.09304486236629551,0.8758422066256297,e,"(5, 500)","(18, 3597)"
GO:0036506,maintenance of unfolded protein,BP,0.09546648521021017,0.8758422066256297,e,"(2, 500)","(4, 3597)"
GO:0015820,L-leucine transport,BP,0.09546648521021017,0.8758422066256297,e,"(2, 500)","(4, 3597)"
GO:0009094,L-phenylalanine biosynthetic process,BP,0.09546648521021017,0.8758422066256297,e,"(2, 500)","(4, 3597)"
GO:1904981,maltose transmembrane transport,BP,0.09546648521021017,0.8758422066256297,e,"(2, 500)","(4, 3597)"
GO:2001059,D-tagatose 6-phosphate catabolic process,BP,0.09546648521021017,0.8758422066256297,e,"(2, 500)","(4, 3597)"
