position,trench,track_id,event_type,frame,time_h,time_h_post_drug,has_time,G,D,daughters,L_pre,L_products,delta_dip,n_obs,confirmed_by
Pos13,19,r19c28,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0265737242064911,0.0,,,,,16.0,fate=HALTED
Pos13,19,r19c29,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0202582280619418,0.0,,,,,16.0,fate=HALTED
Pos13,19,r19c34,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0192909519300039,0.0,,,,,14.0,fate=HALTED
Pos13,22,r22c23,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0299029869507565,0.0,,,,,16.0,fate=HALTED
Pos13,24,r24c1,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0904791978540942,0.0,,,,,16.0,fate=HALTED
Pos13,29,r29c15,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0166495434397928,0.0,,,,,16.0,fate=HALTED
Pos13,2,r2c26,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0590747637872683,0.0,,,,,14.0,fate=HALTED
Pos13,5,r5c16,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0589608005933097,0.0,,,,,14.0,fate=HALTED
Pos13,7,r7c14,halt,23.0,3.8333333333333335,0.8333333333333334,True,0.0133391146058228,0.0,,,,,16.0,fate=HALTED
Pos13,7,r7c19,halt,23.0,3.8333333333333335,0.8333333333333334,True,-0.0285435309292436,0.0,,,,,14.0,fate=HALTED
Pos13,5,r5c5,halt,25.0,4.166666666666667,1.1666666666666667,True,0.1106287792027824,0.0,,,,,16.0,fate=HALTED
Pos13,22,r22c30,halt,32.0,5.333333333333333,2.3333333333333335,True,-0.063571463073706,0.0,,,,,14.0,fate=HALTED
Pos13,15,r15c30,halt,33.0,5.5,2.5,True,0.1685592375976274,0.0,,,,,11.0,fate=HALTED
Pos13,17,r17c11,halt,33.0,5.5,2.5,True,-0.0539651302213135,0.0,,,,,16.0,fate=HALTED
Pos13,19,r19c21,halt,34.0,5.666666666666667,2.6666666666666665,True,-0.0219547468220397,0.0,,,,,16.0,fate=HALTED
Pos13,11,r11c26,halt,,,,False,-0.0699920471678297,0.0,,,,,16.0,fate=HALTED
Pos13,13,r13c20,halt,,,,False,-0.3017130279276303,0.0,,,,,16.0,fate=HALTED
Pos14,6,r6c9,division,4.0,0.6666666666666666,-2.3333333333333335,True,,,r6c14,82.74206873579708,84.27714962773979,0.7025427428358777,,mask+YFP
Pos14,25,r25c2,division,5.0,0.8333333333333334,-2.1666666666666665,True,,,r25c4,151.29359658475337,160.67883234658206,0.4687819837993613,,mask+YFP
Pos14,28,r28c2,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r28c7,76.75939744613322,79.82160473085983,0.3769699544916827,,mask+YFP
Pos14,28,r28c3,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r28c8,66.66380410822059,63.94578887725764,0.7012585065117961,,mask+YFP
Pos14,28,r28c4,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r28c9,72.94907413974305,71.88989615485411,1.3155832767708402,,mask+YFP
Pos14,28,r28c5,division,7.0,1.1666666666666667,-1.8333333333333333,True,,,r28c6,83.42510261281458,80.99459036562558,0.2399913240447628,,mask+YFP
Pos14,25,r25c4,division,10.0,1.6666666666666667,-1.3333333333333333,True,,,r25c6,150.15922877744867,163.80144771736008,0.5797056700210944,,mask+YFP
